Plot Title: FL_Drain_Baro,,,,,,,,,
#,Date,"Time, GMT-04:00","Time, GMT-04:01","Abs Pres, psi (LGR S/N: 10776670, SEN S/N: 10776670)","Temp, °F (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Detached (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Attached (LGR S/N: 10776670, SEN S/N: 10776670)","Stopped (LGR S/N: 10776670, SEN S/N: 10776670)","End Of File (LGR S/N: 10776670, SEN S/N: 10776670)"
56,3/31/2021,1:09:37,1:15:00,14.8437,65.509,,,,
57,3/31/2021,1:24:37,1:30:00,14.8423,65.509,,,,
58,3/31/2021,1:39:37,1:45:00,14.8408,65.509,,,,
59,3/31/2021,1:54:37,2:00:00,14.8394,65.509,,,,
60,3/31/2021,2:09:37,2:15:00,14.8394,65.509,,,,
61,3/31/2021,2:24:37,2:30:00,14.8378,65.509,,,,
62,3/31/2021,2:39:37,2:45:00,14.8334,65.509,,,,
63,3/31/2021,2:54:37,3:00:00,14.832,65.509,,,,
64,3/31/2021,3:09:37,3:15:00,14.8262,65.509,,,,
65,3/31/2021,3:24:37,3:30:00,14.8247,65.509,,,,
66,3/31/2021,3:39:37,3:45:00,14.8188,65.509,,,,
67,3/31/2021,3:54:37,4:00:00,14.8173,65.509,,,,
68,3/31/2021,4:09:37,4:15:00,14.8202,65.509,,,,
69,3/31/2021,4:24:37,4:30:00,14.8159,65.509,,,,
70,3/31/2021,4:39:37,4:45:00,14.8173,65.509,,,,
71,3/31/2021,4:54:37,5:00:00,14.8115,65.509,,,,
72,3/31/2021,5:09:37,5:15:00,14.8115,65.509,,,,
73,3/31/2021,5:24:37,5:30:00,14.8086,65.509,,,,
74,3/31/2021,5:39:37,5:45:00,14.8115,65.509,,,,
75,3/31/2021,5:54:37,6:00:00,14.8101,65.509,,,,
76,3/31/2021,6:09:37,6:15:00,14.813,65.509,,,,
77,3/31/2021,6:24:37,6:30:00,14.8144,65.509,,,,
78,3/31/2021,6:39:37,6:45:00,14.813,65.509,,,,
79,3/31/2021,6:54:37,7:00:00,14.8159,65.509,,,,
80,3/31/2021,7:09:37,7:15:00,14.8159,65.509,,,,
81,3/31/2021,7:24:37,7:30:00,14.8159,65.509,,,,
82,3/31/2021,7:39:37,7:45:00,14.8173,65.509,,,,
83,3/31/2021,7:54:37,8:00:00,14.8188,65.509,,,,
84,3/31/2021,8:09:37,8:15:00,14.8217,65.509,,,,
85,3/31/2021,8:24:37,8:30:00,14.8202,65.509,,,,
86,3/31/2021,8:39:37,8:45:00,14.8188,65.509,,,,
87,3/31/2021,8:54:37,9:00:00,14.8173,65.509,,,,
88,3/31/2021,9:09:37,9:15:00,14.8188,65.509,,,,
89,3/31/2021,9:24:37,9:30:00,14.8217,65.509,,,,
90,3/31/2021,9:39:37,9:45:00,14.8233,65.509,,,,
91,3/31/2021,9:54:37,10:00:00,14.8276,65.509,,,,
92,3/31/2021,10:09:37,10:15:00,14.8262,65.509,,,,
93,3/31/2021,10:24:37,10:30:00,14.8233,65.509,,,,
94,3/31/2021,10:39:37,10:45:00,14.8262,65.509,,,,
95,3/31/2021,10:54:37,11:00:00,14.8262,65.509,,,,
96,3/31/2021,11:09:37,11:15:00,14.8262,65.509,,,,
97,3/31/2021,11:24:37,11:30:00,14.8262,65.509,,,,
98,3/31/2021,11:39:37,11:45:00,14.8262,65.509,,,,
99,3/31/2021,11:54:37,12:00:00,14.8262,65.509,,,,
100,3/31/2021,12:09:37,12:15:00,14.8233,65.509,,,,
101,3/31/2021,12:24:37,12:30:00,14.8233,65.509,,,,
102,3/31/2021,12:39:37,12:45:00,14.8217,65.509,,,,
103,3/31/2021,12:54:37,13:00:00,14.8173,65.509,,,,
104,3/31/2021,13:09:37,13:15:00,14.8115,65.509,,,,
105,3/31/2021,13:24:37,13:30:00,14.8086,65.509,,,,
106,3/31/2021,13:39:37,13:45:00,14.8027,65.509,,,,
107,3/31/2021,13:54:37,14:00:00,14.7998,65.509,,,,
108,3/31/2021,14:09:37,14:15:00,14.8012,65.509,,,,
109,3/31/2021,14:24:37,14:30:00,14.7969,65.509,,,,
110,3/31/2021,14:39:37,14:45:00,14.7925,65.509,,,,
111,3/31/2021,14:54:37,15:00:00,14.788,65.509,,,,
112,3/31/2021,15:09:37,15:15:00,14.7851,65.509,,,,
113,3/31/2021,15:24:37,15:30:00,14.7779,65.509,,,,
114,3/31/2021,15:39:37,15:45:00,14.7764,65.509,,,,
115,3/31/2021,15:54:37,16:00:00,14.7719,65.509,,,,
116,3/31/2021,16:09:37,16:15:00,14.7676,65.509,,,,
117,3/31/2021,16:24:37,16:30:00,14.7661,65.509,,,,
118,3/31/2021,16:39:37,16:45:00,14.7647,65.509,,,,
119,3/31/2021,16:54:37,17:00:00,14.7618,65.509,,,,
120,3/31/2021,17:09:37,17:15:00,14.7588,65.509,,,,
121,3/31/2021,17:24:37,17:30:00,14.7632,65.509,,,,
122,3/31/2021,17:39:37,17:45:00,14.7632,65.509,,,,
123,3/31/2021,17:54:37,18:00:00,14.7632,65.509,,,,
124,3/31/2021,18:09:37,18:15:00,14.7647,65.509,,,,
125,3/31/2021,18:24:37,18:30:00,14.7661,65.509,,,,
126,3/31/2021,18:39:37,18:45:00,14.7676,65.509,,,,
127,3/31/2021,18:54:37,19:00:00,14.7705,65.509,,,,
128,3/31/2021,19:09:37,19:15:00,14.7705,65.509,,,,
129,3/31/2021,19:24:37,19:30:00,14.7734,65.509,,,,
130,3/31/2021,19:39:37,19:45:00,14.7764,65.509,,,,
131,3/31/2021,19:54:37,20:00:00,14.7793,65.509,,,,
132,3/31/2021,20:09:37,20:15:00,14.7808,65.509,,,,
133,3/31/2021,20:24:37,20:30:00,14.7851,65.509,,,,
134,3/31/2021,20:39:37,20:45:00,14.7866,65.509,,,,
135,3/31/2021,20:54:37,21:00:00,14.7866,65.509,,,,
136,3/31/2021,21:09:37,21:15:00,14.7866,65.509,,,,
137,3/31/2021,21:24:37,21:30:00,14.7925,65.509,,,,
138,3/31/2021,21:39:37,21:45:00,14.7998,65.509,,,,
139,3/31/2021,21:54:37,22:00:00,14.8086,65.509,,,,
140,3/31/2021,22:09:37,22:15:00,14.8101,65.509,,,,
141,3/31/2021,22:24:37,22:30:00,14.813,65.509,,,,
142,3/31/2021,22:39:37,22:45:00,14.8276,65.509,,,,
143,3/31/2021,22:54:37,23:00:00,14.8262,65.509,,,,
144,3/31/2021,23:09:37,23:15:00,14.8217,65.509,,,,
145,3/31/2021,23:24:37,23:30:00,14.8144,65.509,,,,
146,3/31/2021,23:39:37,23:45:00,14.8144,65.509,,,,
147,3/31/2021,23:54:37,0:00:00,14.8056,65.509,,,,
148,4/1/2021,0:09:37,0:15:00,14.8027,65.509,,,,
149,4/1/2021,0:24:37,0:30:00,14.788,65.509,,,,
150,4/1/2021,0:39:37,0:45:00,14.7808,65.509,,,,
151,4/1/2021,0:54:37,1:00:00,14.7793,65.509,,,,
152,4/1/2021,1:09:37,1:15:00,14.7779,65.509,,,,
153,4/1/2021,1:24:37,1:30:00,14.7779,65.509,,,,
154,4/1/2021,1:39:37,1:45:00,14.7793,65.509,,,,
155,4/1/2021,1:54:37,2:00:00,14.7734,65.509,,,,
156,4/1/2021,2:09:37,2:15:00,14.769,65.509,,,,
157,4/1/2021,2:24:37,2:30:00,14.7661,65.509,,,,
158,4/1/2021,2:39:37,2:45:00,14.7676,65.509,,,,
159,4/1/2021,2:54:37,3:00:00,14.769,65.509,,,,
160,4/1/2021,3:09:37,3:15:00,14.7676,65.509,,,,
161,4/1/2021,3:24:37,3:30:00,14.7661,65.509,,,,
162,4/1/2021,3:39:37,3:45:00,14.7632,65.509,,,,
163,4/1/2021,3:54:37,4:00:00,14.7661,65.509,,,,
164,4/1/2021,4:09:37,4:15:00,14.769,65.509,,,,
165,4/1/2021,4:24:37,4:30:00,14.7647,65.509,,,,
166,4/1/2021,4:39:37,4:45:00,14.7676,65.509,,,,
167,4/1/2021,4:54:37,5:00:00,14.769,65.509,,,,
168,4/1/2021,5:09:37,5:15:00,14.7705,65.509,,,,
169,4/1/2021,5:24:37,5:30:00,14.7734,65.509,,,,
170,4/1/2021,5:39:37,5:45:00,14.7734,65.509,,,,
171,4/1/2021,5:54:37,6:00:00,14.7734,65.509,,,,
172,4/1/2021,6:09:37,6:15:00,14.7764,65.509,,,,
173,4/1/2021,6:24:37,6:30:00,14.7779,65.509,,,,
174,4/1/2021,6:39:37,6:45:00,14.7822,65.509,,,,
175,4/1/2021,6:54:37,7:00:00,14.7837,65.509,,,,
176,4/1/2021,7:09:37,7:15:00,14.7866,65.509,,,,
177,4/1/2021,7:24:37,7:30:00,14.788,65.509,,,,
178,4/1/2021,7:39:37,7:45:00,14.7895,65.509,,,,
179,4/1/2021,7:54:37,8:00:00,14.7909,65.509,,,,
180,4/1/2021,8:09:37,8:15:00,14.8012,65.509,,,,
181,4/1/2021,8:24:37,8:30:00,14.8091,65.68,,,,
182,4/1/2021,8:39:37,8:45:00,14.8101,65.509,,,,
183,4/1/2021,8:54:37,9:00:00,14.813,65.509,,,,
184,4/1/2021,9:09:37,9:15:00,14.8208,65.68,,,,
185,4/1/2021,9:24:37,9:30:00,14.8237,65.68,,,,
186,4/1/2021,9:39:37,9:45:00,14.8266,65.68,,,,
187,4/1/2021,9:54:37,10:00:00,14.8295,65.68,,,,
188,4/1/2021,10:09:37,10:15:00,14.8295,65.68,,,,
189,4/1/2021,10:24:37,10:30:00,14.8324,65.68,,,,
190,4/1/2021,10:39:37,10:45:00,14.8324,65.68,,,,
191,4/1/2021,10:54:37,11:00:00,14.8355,65.68,,,,
192,4/1/2021,11:09:37,11:15:00,14.8369,65.68,,,,
193,4/1/2021,11:24:37,11:30:00,14.8369,65.68,,,,
194,4/1/2021,11:39:37,11:45:00,14.8369,65.68,,,,
195,4/1/2021,11:54:37,12:00:00,14.8369,65.68,,,,
196,4/1/2021,12:09:37,12:15:00,14.8369,65.68,,,,
197,4/1/2021,12:24:37,12:30:00,14.834,65.68,,,,
198,4/1/2021,12:39:37,12:45:00,14.834,65.68,,,,
199,4/1/2021,12:54:37,13:00:00,14.831,65.68,,,,
200,4/1/2021,13:09:37,13:15:00,14.8295,65.68,,,,
201,4/1/2021,13:24:37,13:30:00,14.8324,65.68,,,,
202,4/1/2021,13:39:37,13:45:00,14.8281,65.68,,,,
203,4/1/2021,13:54:37,14:00:00,14.8252,65.68,,,,
204,4/1/2021,14:09:37,14:15:00,14.8237,65.68,,,,
205,4/1/2021,14:24:37,14:30:00,14.8223,65.68,,,,
206,4/1/2021,14:39:37,14:45:00,14.8208,65.68,,,,
207,4/1/2021,14:54:37,15:00:00,14.8163,65.68,,,,
208,4/1/2021,15:09:37,15:15:00,14.812,65.68,,,,
209,4/1/2021,15:24:37,15:30:00,14.8091,65.68,,,,
210,4/1/2021,15:39:37,15:45:00,14.8047,65.68,,,,
211,4/1/2021,15:54:37,16:00:00,14.8047,65.68,,,,
212,4/1/2021,16:09:37,16:15:00,14.8017,65.68,,,,
213,4/1/2021,16:24:37,16:30:00,14.8033,65.68,,,,
214,4/1/2021,16:39:37,16:45:00,14.8002,65.68,,,,
215,4/1/2021,16:54:37,17:00:00,14.7973,65.68,,,,
216,4/1/2021,17:09:37,17:15:00,14.7988,65.68,,,,
217,4/1/2021,17:24:37,17:30:00,14.7973,65.68,,,,
218,4/1/2021,17:39:37,17:45:00,14.7988,65.68,,,,
219,4/1/2021,17:54:37,18:00:00,14.7988,65.68,,,,
220,4/1/2021,18:09:37,18:15:00,14.8002,65.68,,,,
221,4/1/2021,18:24:37,18:30:00,14.8002,65.68,,,,
222,4/1/2021,18:39:37,18:45:00,14.8047,65.68,,,,
223,4/1/2021,18:54:37,19:00:00,14.8076,65.68,,,,
224,4/1/2021,19:09:37,19:15:00,14.8105,65.68,,,,
225,4/1/2021,19:24:37,19:30:00,14.812,65.68,,,,
226,4/1/2021,19:39:37,19:45:00,14.8149,65.68,,,,
227,4/1/2021,19:54:37,20:00:00,14.8178,65.68,,,,
228,4/1/2021,20:09:37,20:15:00,14.8194,65.68,,,,
229,4/1/2021,20:24:37,20:30:00,14.8252,65.68,,,,
230,4/1/2021,20:39:37,20:45:00,14.8281,65.68,,,,
231,4/1/2021,20:54:37,21:00:00,14.834,65.68,,,,
232,4/1/2021,21:09:37,21:15:00,14.8384,65.68,,,,
233,4/1/2021,21:24:37,21:30:00,14.8398,65.68,,,,
234,4/1/2021,21:39:37,21:45:00,14.8442,65.68,,,,
235,4/1/2021,21:54:37,22:00:00,14.8485,65.68,,,,
236,4/1/2021,22:09:37,22:15:00,14.8516,65.68,,,,
237,4/1/2021,22:24:37,22:30:00,14.853,65.68,,,,
238,4/1/2021,22:39:37,22:45:00,14.8574,65.68,,,,
239,4/1/2021,22:54:37,23:00:00,14.8588,65.68,,,,
240,4/1/2021,23:09:37,23:15:00,14.8588,65.68,,,,
241,4/1/2021,23:24:37,23:30:00,14.8617,65.68,,,,
242,4/1/2021,23:39:37,23:45:00,14.8603,65.68,,,,
243,4/1/2021,23:54:37,0:00:00,14.8648,65.68,,,,
244,4/2/2021,0:09:37,0:15:00,14.8617,65.68,,,,
245,4/2/2021,0:24:37,0:30:00,14.8632,65.68,,,,
246,4/2/2021,0:39:37,0:45:00,14.8648,65.68,,,,
247,4/2/2021,0:54:37,1:00:00,14.8677,65.68,,,,
248,4/2/2021,1:09:37,1:15:00,14.8662,65.68,,,,
249,4/2/2021,1:24:37,1:30:00,14.8648,65.68,,,,
250,4/2/2021,1:39:37,1:45:00,14.8677,65.68,,,,
251,4/2/2021,1:54:37,2:00:00,14.8677,65.68,,,,
252,4/2/2021,2:09:37,2:15:00,14.8677,65.68,,,,
253,4/2/2021,2:24:37,2:30:00,14.8662,65.68,,,,
254,4/2/2021,2:39:37,2:45:00,14.8677,65.68,,,,
255,4/2/2021,2:54:37,3:00:00,14.8648,65.68,,,,
256,4/2/2021,3:09:37,3:15:00,14.8617,65.68,,,,
257,4/2/2021,3:24:37,3:30:00,14.8588,65.68,,,,
258,4/2/2021,3:39:37,3:45:00,14.8588,65.68,,,,
259,4/2/2021,3:54:37,4:00:00,14.8632,65.68,,,,
260,4/2/2021,4:09:37,4:15:00,14.8588,65.68,,,,
261,4/2/2021,4:24:37,4:30:00,14.8603,65.68,,,,
262,4/2/2021,4:39:37,4:45:00,14.8648,65.68,,,,
263,4/2/2021,4:54:37,5:00:00,14.8691,65.68,,,,
264,4/2/2021,5:09:37,5:15:00,14.8706,65.68,,,,
265,4/2/2021,5:24:37,5:30:00,14.8749,65.68,,,,
266,4/2/2021,5:39:37,5:45:00,14.8793,65.68,,,,
267,4/2/2021,5:54:37,6:00:00,14.8809,65.68,,,,
268,4/2/2021,6:09:37,6:15:00,14.8823,65.68,,,,
269,4/2/2021,6:24:37,6:30:00,14.8867,65.68,,,,
270,4/2/2021,6:39:37,6:45:00,14.8896,65.68,,,,
271,4/2/2021,6:54:37,7:00:00,14.8939,65.68,,,,
272,4/2/2021,7:09:37,7:15:00,14.8939,65.68,,,,
273,4/2/2021,7:24:37,7:30:00,14.8984,65.68,,,,
274,4/2/2021,7:39:37,7:45:00,14.8999,65.68,,,,
275,4/2/2021,7:54:37,8:00:00,14.9042,65.68,,,,
276,4/2/2021,8:09:37,8:15:00,14.9057,65.68,,,,
277,4/2/2021,8:24:37,8:30:00,14.9086,65.68,,,,
278,4/2/2021,8:39:37,8:45:00,14.9102,65.68,,,,
279,4/2/2021,8:54:37,9:00:00,14.9145,65.68,,,,
280,4/2/2021,9:09:37,9:15:00,14.9189,65.68,,,,
281,4/2/2021,9:24:37,9:30:00,14.9189,65.68,,,,
282,4/2/2021,9:39:37,9:45:00,14.9203,65.68,,,,
283,4/2/2021,9:54:37,10:00:00,14.9248,65.68,,,,
284,4/2/2021,10:09:37,10:15:00,14.9248,65.68,,,,
285,4/2/2021,10:24:37,10:30:00,14.9263,65.68,,,,
286,4/2/2021,10:39:37,10:45:00,14.9263,65.68,,,,
287,4/2/2021,10:54:37,11:00:00,14.9292,65.68,,,,
288,4/2/2021,11:09:37,11:15:00,14.9292,65.68,,,,
289,4/2/2021,11:24:37,11:30:00,14.9306,65.68,,,,
290,4/2/2021,11:39:37,11:45:00,14.9321,65.68,,,,
291,4/2/2021,11:54:37,12:00:00,14.9335,65.68,,,,
292,4/2/2021,12:09:37,12:15:00,14.935,65.68,,,,
293,4/2/2021,12:24:37,12:30:00,14.9292,65.68,,,,
294,4/2/2021,12:39:37,12:45:00,14.9277,65.68,,,,
295,4/2/2021,12:54:37,13:00:00,14.9263,65.68,,,,
296,4/2/2021,13:09:37,13:15:00,14.9218,65.68,,,,
297,4/2/2021,13:24:37,13:30:00,14.9189,65.68,,,,
298,4/2/2021,13:39:37,13:45:00,14.916,65.68,,,,
299,4/2/2021,13:54:37,14:00:00,14.9174,65.68,,,,
300,4/2/2021,14:09:37,14:15:00,14.9145,65.68,,,,
301,4/2/2021,14:24:37,14:30:00,14.9116,65.68,,,,
302,4/2/2021,14:39:37,14:45:00,14.9071,65.68,,,,
303,4/2/2021,14:54:37,15:00:00,14.9042,65.68,,,,
304,4/2/2021,15:09:37,15:15:00,14.9013,65.68,,,,
305,4/2/2021,15:24:37,15:30:00,14.8984,65.68,,,,
306,4/2/2021,15:39:37,15:45:00,14.8984,65.68,,,,
307,4/2/2021,15:54:37,16:00:00,14.8939,65.68,,,,
308,4/2/2021,16:09:37,16:15:00,14.897,65.68,,,,
309,4/2/2021,16:24:37,16:30:00,14.8925,65.68,,,,
310,4/2/2021,16:39:37,16:45:00,14.8925,65.68,,,,
311,4/2/2021,16:54:37,17:00:00,14.8955,65.68,,,,
312,4/2/2021,17:09:37,17:15:00,14.8925,65.68,,,,
313,4/2/2021,17:24:37,17:30:00,14.8939,65.68,,,,
314,4/2/2021,17:39:37,17:45:00,14.897,65.68,,,,
315,4/2/2021,17:54:37,18:00:00,14.897,65.68,,,,
316,4/2/2021,18:09:37,18:15:00,14.9013,65.68,,,,
317,4/2/2021,18:24:37,18:30:00,14.8999,65.68,,,,
318,4/2/2021,18:39:37,18:45:00,14.9042,65.68,,,,
319,4/2/2021,18:54:37,19:00:00,14.9071,65.68,,,,
320,4/2/2021,19:09:37,19:15:00,14.9116,65.68,,,,
321,4/2/2021,19:24:37,19:30:00,14.9116,65.68,,,,
322,4/2/2021,19:39:37,19:45:00,14.916,65.68,,,,
323,4/2/2021,19:54:37,20:00:00,14.9189,65.68,,,,
324,4/2/2021,20:09:37,20:15:00,14.9203,65.68,,,,
325,4/2/2021,20:24:37,20:30:00,14.9248,65.68,,,,
326,4/2/2021,20:39:37,20:45:00,14.9292,65.68,,,,
327,4/2/2021,20:54:37,21:00:00,14.9306,65.68,,,,
328,4/2/2021,21:09:37,21:15:00,14.9306,65.68,,,,
329,4/2/2021,21:24:37,21:30:00,14.9321,65.68,,,,
330,4/2/2021,21:39:37,21:45:00,14.9379,65.68,,,,
331,4/2/2021,21:54:37,22:00:00,14.9424,65.68,,,,
332,4/2/2021,22:09:37,22:15:00,14.9453,65.68,,,,
333,4/2/2021,22:24:37,22:30:00,14.9467,65.68,,,,
334,4/2/2021,22:39:37,22:45:00,14.9496,65.68,,,,
335,4/2/2021,22:54:37,23:00:00,14.9496,65.68,,,,
336,4/2/2021,23:09:37,23:15:00,14.9482,65.68,,,,
337,4/2/2021,23:24:37,23:30:00,14.9496,65.68,,,,
338,4/2/2021,23:39:37,23:45:00,14.9482,65.68,,,,
339,4/2/2021,23:54:37,0:00:00,14.9482,65.68,,,,
340,4/3/2021,0:09:37,0:15:00,14.9525,65.68,,,,
341,4/3/2021,0:24:37,0:30:00,14.9525,65.68,,,,
342,4/3/2021,0:39:37,0:45:00,14.9496,65.68,,,,
343,4/3/2021,0:54:37,1:00:00,14.9496,65.68,,,,
344,4/3/2021,1:09:37,1:15:00,14.9511,65.68,,,,
345,4/3/2021,1:24:37,1:30:00,14.9525,65.68,,,,
346,4/3/2021,1:39:37,1:45:00,14.954,65.68,,,,
347,4/3/2021,1:54:37,2:00:00,14.9525,65.68,,,,
348,4/3/2021,2:09:37,2:15:00,14.9496,65.68,,,,
349,4/3/2021,2:24:37,2:30:00,14.9525,65.68,,,,
350,4/3/2021,2:39:37,2:45:00,14.9511,65.68,,,,
351,4/3/2021,2:54:37,3:00:00,14.9482,65.68,,,,
352,4/3/2021,3:09:37,3:15:00,14.9496,65.68,,,,
353,4/3/2021,3:24:37,3:30:00,14.9467,65.68,,,,
354,4/3/2021,3:39:37,3:45:00,14.9467,65.68,,,,
355,4/3/2021,3:54:37,4:00:00,14.9482,65.68,,,,
356,4/3/2021,4:09:37,4:15:00,14.9438,65.68,,,,
357,4/3/2021,4:24:37,4:30:00,14.9438,65.68,,,,
358,4/3/2021,4:39:37,4:45:00,14.9453,65.68,,,,
359,4/3/2021,4:54:37,5:00:00,14.9438,65.68,,,,
360,4/3/2021,5:09:37,5:15:00,14.9482,65.68,,,,
361,4/3/2021,5:24:37,5:30:00,14.9482,65.68,,,,
362,4/3/2021,5:39:37,5:45:00,14.9496,65.68,,,,
363,4/3/2021,5:54:37,6:00:00,14.9511,65.68,,,,
364,4/3/2021,6:09:37,6:15:00,14.9525,65.68,,,,
365,4/3/2021,6:24:37,6:30:00,14.954,65.68,,,,
366,4/3/2021,6:39:37,6:45:00,14.957,65.68,,,,
367,4/3/2021,6:54:37,7:00:00,14.9585,65.68,,,,
368,4/3/2021,7:09:37,7:15:00,14.9614,65.68,,,,
369,4/3/2021,7:24:37,7:30:00,14.9657,65.68,,,,
370,4/3/2021,7:39:37,7:45:00,14.9686,65.68,,,,
371,4/3/2021,7:54:37,8:00:00,14.9731,65.68,,,,
372,4/3/2021,8:09:37,8:15:00,14.9686,65.68,,,,
373,4/3/2021,8:24:37,8:30:00,14.9717,65.68,,,,
374,4/3/2021,8:39:37,8:45:00,14.9717,65.68,,,,
375,4/3/2021,8:54:37,9:00:00,14.9717,65.68,,,,
376,4/3/2021,9:09:37,9:15:00,14.9717,65.68,,,,
377,4/3/2021,9:24:37,9:30:00,14.9717,65.68,,,,
378,4/3/2021,9:39:37,9:45:00,14.9746,65.68,,,,
379,4/3/2021,9:54:37,10:00:00,14.9746,65.68,,,,
380,4/3/2021,10:09:37,10:15:00,14.976,65.68,,,,
381,4/3/2021,10:24:37,10:30:00,14.9775,65.68,,,,
382,4/3/2021,10:39:37,10:45:00,14.9818,65.68,,,,
383,4/3/2021,10:54:37,11:00:00,14.9833,65.68,,,,
384,4/3/2021,11:09:37,11:15:00,14.9818,65.68,,,,
385,4/3/2021,11:24:37,11:30:00,14.9818,65.68,,,,
386,4/3/2021,11:39:37,11:45:00,14.9818,65.68,,,,
387,4/3/2021,11:54:37,12:00:00,14.9804,65.68,,,,
388,4/3/2021,12:09:37,12:15:00,14.9789,65.68,,,,
389,4/3/2021,12:24:37,12:30:00,14.9746,65.68,,,,
390,4/3/2021,12:39:37,12:45:00,14.9717,65.68,,,,
391,4/3/2021,12:54:37,13:00:00,14.9672,65.68,,,,
392,4/3/2021,13:09:37,13:15:00,14.9643,65.68,,,,
393,4/3/2021,13:24:37,13:30:00,14.9614,65.68,,,,
394,4/3/2021,13:39:37,13:45:00,14.9585,65.68,,,,
395,4/3/2021,13:54:37,14:00:00,14.954,65.68,,,,
396,4/3/2021,14:09:37,14:15:00,14.9496,65.68,,,,
397,4/3/2021,14:24:37,14:30:00,14.9467,65.68,,,,
398,4/3/2021,14:39:37,14:45:00,14.9467,65.68,,,,
