ID,Date,POC_mgL,DIC,DOC,POC_mmol,DIC_mmol,DOC_mmol,Q,Qbase,Qsurficial,depth,Temp_PT,CO2_mol,KH,CO2_mgL,CO2_mmol
6,2024-05-30T00:00:00Z,1.7733990147783487,86.32,82.72,0.04029536502563846,1.9613724153601453,1.8795728243581005,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-08T00:00:00Z,1.9848771266540555,11.42,8.778,0.04510059365267111,0.2594864803453761,0.1994546693933197,26.851857657301817,17.11656379422908,9.735293863072739,0.030934675715505004,70.308,1.8134887480827114e-4,0.03680109133109848,0.007981163980312012,0.18134887480827114
3,2024-05-08T00:00:00Z,8.04828973843059,101.5,97.21,0.18287411357488276,2.3062940240854353,2.2088161781413316,4.738393711350714,2.5336951503795615,2.2046985609711522,0.1958690661437267,69.107,1.9911530177168472e-4,0.03732945417301429,0.008763064430971844,0.1991153017716847
13,2024-05-08T00:00:00Z,1.6666666666666885,30.1,-8.386,0.03787018101946577,0.6839354692115429,-0.19054760281754143,2.2008844225960886,0.6393397295623019,1.5615446930337868,-0.01964777666929125,71.512,NA,NA,NA,NA
15,2024-04-18T00:00:00Z,NA,32.41,28.45,NA,0.7364235401045216,0.6464439900022723,10.802910547548448,3.8594253960914697,6.943485151456978,0.15616086994411726,66.537,2.036455992885418e-4,0.038508911661227295,0.008962442824688725,0.2036455992885418
5a,2024-04-18T00:00:00Z,NA,45.61,40.04,NA,1.0363553737786868,0.9097932288116336,8.10482734638231,2.8722143714258896,5.232612974956421,0.36879169996102174,64.139,6.009796010892997e-4,0.03965893961187451,0.02644911224394008,0.6009796010892997
13,2024-04-18T00:00:00Z,5.525846702317077,32.68,12.76,0.12555888894153777,0.742558509429675,0.28993410588502616,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-04-18T00:00:00Z,NA,67.48,62.51,NA,1.53328788911611,1.4203590093160643,10.818061612759884,3.9376980448508356,6.880363567909048,0.18096731466190202,67.221,5.404253470462102e-4,0.03819076892304551,0.023784119523503712,0.5404253470462103
6,2024-04-18T00:00:00Z,6.4864864864861715,57.61,53.87,0.14738665045412797,1.3090206771188366,1.2240399909111566,49.88704812988734,18.412533610818432,31.474514519068904,0.11567169330142903,64.481,3.7262098748901075e-4,0.03949315892044575,0.016399049659391363,0.37262098748901074
6a,2024-04-18T00:00:00Z,45.10250569476091,54.76,51.86,1.0248240330552354,1.244262667575551,1.1783685526016814,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-04-18T00:00:00Z,NA,77.21,74.16,NA,1.7543740059077482,1.6850715746421268,25.188107776345657,8.842733968356841,16.345373807988814,0.35202916867372186,65.509,2.637358029734383e-4,0.03899268169218956,0.011607012688861018,0.2637358029734383
5,2024-04-18T00:00:00Z,NA,30.09,28.28,NA,0.6837082481254261,0.6425812315382868,70.16256797090713,23.652341327348267,46.510226643558866,0.08740681663181497,67.392,1.5752254693255933e-4,0.03811592531752825,0.006932567290501936,0.15752254693255932
