Date,DO,Temp,SpC,pH,FDOM,CO2,Day,Mon,Year,Stage,Q,Site
2022-10-31T04:00:00Z,NA,68.22,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T05:00:00Z,NA,67.96,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T06:00:00Z,NA,67.75,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T07:00:00Z,NA,67.6,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T08:00:00Z,NA,66.99,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T09:00:00Z,NA,67.89,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T10:00:00Z,NA,70.77,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T11:00:00Z,NA,78.58,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T12:00:00Z,NA,81.86,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T13:00:00Z,NA,82.69,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T14:00:00Z,NA,84.81,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T15:00:00Z,NA,86,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T16:00:00Z,NA,85.82,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T17:00:00Z,NA,80.49,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T18:00:00Z,NA,77.4,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T19:00:00Z,NA,73.98,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T20:00:00Z,NA,70.84,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T21:00:00Z,NA,69.04,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T22:00:00Z,NA,68.61,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T23:00:00Z,NA,67.03,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-11-01T00:00:00Z,NA,65.66,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T01:00:00Z,NA,64.72,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T02:00:00Z,NA,65.19,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T03:00:00Z,NA,65.01,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T04:00:00Z,NA,63.97,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T05:00:00Z,NA,62.71,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T06:00:00Z,NA,62.28,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T07:00:00Z,NA,61.38,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T08:00:00Z,NA,60.66,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T09:00:00Z,NA,64.76,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T10:00:00Z,NA,69.12,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T11:00:00Z,NA,75.24,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T12:00:00Z,NA,77.36,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T13:00:00Z,NA,80.28,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T14:00:00Z,NA,84.31,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T15:00:00Z,NA,84.27,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T16:00:00Z,NA,83.66,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T17:00:00Z,NA,80.6,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T18:00:00Z,NA,77.58,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T19:00:00Z,NA,73.83,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T20:00:00Z,NA,70.2,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T21:00:00Z,NA,68.65,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T22:00:00Z,NA,67.14,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-01T23:00:00Z,NA,65.8,NA,NA,NA,NA,1,11,2022,-0.16569967139934258,0,9
2022-11-02T00:00:00Z,NA,64.62,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T01:00:00Z,NA,63.79,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T02:00:00Z,NA,63.25,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T03:00:00Z,NA,62.6,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T04:00:00Z,NA,61.92,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T05:00:00Z,NA,61.27,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T06:00:00Z,NA,61.7,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T07:00:00Z,NA,63.1,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T08:00:00Z,NA,63,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T09:00:00Z,NA,64.58,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T10:00:00Z,NA,68.94,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T11:00:00Z,NA,74.66,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T12:00:00Z,NA,77.11,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T13:00:00Z,NA,79.7,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T14:00:00Z,NA,83.37,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T15:00:00Z,NA,80.38,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T16:00:00Z,NA,80.74,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T17:00:00Z,NA,78.87,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T18:00:00Z,NA,77.61,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T19:00:00Z,NA,75.81,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T20:00:00Z,NA,73.54,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T21:00:00Z,NA,73.29,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T22:00:00Z,NA,71.82,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-02T23:00:00Z,NA,70.84,NA,NA,NA,NA,2,11,2022,-0.16379739486751624,0,9
2022-11-03T00:00:00Z,NA,70.02,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T01:00:00Z,NA,69.37,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T02:00:00Z,NA,68.83,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T03:00:00Z,NA,67.57,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T04:00:00Z,NA,67.53,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T05:00:00Z,NA,68.32,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T06:00:00Z,NA,67.75,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T07:00:00Z,NA,67.39,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T08:00:00Z,NA,67.71,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T09:00:00Z,NA,68.58,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T10:00:00Z,NA,69.87,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T11:00:00Z,NA,73.65,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T12:00:00Z,NA,74.88,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T13:00:00Z,NA,78.8,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T14:00:00Z,NA,82.26,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T15:00:00Z,NA,80.46,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T16:00:00Z,NA,79.3,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T17:00:00Z,NA,76.96,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T18:00:00Z,NA,74.48,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T19:00:00Z,NA,71.35,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T20:00:00Z,NA,68.9,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T21:00:00Z,NA,66.56,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T22:00:00Z,NA,63.07,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-03T23:00:00Z,NA,60.08,NA,NA,NA,NA,3,11,2022,-0.16548830734025133,0,9
2022-11-04T00:00:00Z,NA,59.14,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
2022-11-04T01:00:00Z,NA,62.02,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
2022-11-04T02:00:00Z,NA,61.34,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
2022-11-04T03:00:00Z,NA,60.22,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
2022-11-04T04:00:00Z,NA,59.25,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
2022-11-04T05:00:00Z,NA,59.43,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
2022-11-04T06:00:00Z,NA,60.22,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
2022-11-04T07:00:00Z,NA,60.15,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
2022-11-04T08:00:00Z,NA,60.55,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
2022-11-04T09:00:00Z,NA,62.02,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
2022-11-04T10:00:00Z,NA,66.45,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
2022-11-04T11:00:00Z,NA,73.04,NA,NA,NA,NA,4,11,2022,-0.16104966209932356,0,9
