"Plot Title: Brad_DG_09.28.23-2"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Full Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Temp, °F (LGR S/N: 20342070, SEN S/N: 20342070)","Coupler Detached (LGR S/N: 20342070)","Coupler Attached (LGR S/N: 20342070)","Host Connected (LGR S/N: 20342070)","Stopped (LGR S/N: 20342070)","End Of File (LGR S/N: 20342070)"
162,09/28/23 10:17:09 AM,103.7,101.0,73.40,,,,,
163,09/28/23 10:17:14 AM,103.6,101.0,73.40,,,,,
164,09/28/23 10:17:19 AM,103.7,101.0,73.38,,,,,
165,09/28/23 10:17:24 AM,103.7,101.0,73.38,,,,,
166,09/28/23 10:17:29 AM,103.9,101.4,73.38,,,,,
167,09/28/23 10:17:34 AM,103.8,101.4,73.36,,,,,
168,09/28/23 10:17:39 AM,103.8,101.0,73.38,,,,,
169,09/28/23 10:17:44 AM,103.7,101.0,73.38,,,,,
170,09/28/23 10:17:49 AM,103.7,101.0,73.38,,,,,
171,09/28/23 10:17:54 AM,103.7,101.4,73.38,,,,,
172,09/28/23 10:17:59 AM,105.6,103.2,73.36,,,,,
173,09/28/23 10:18:04 AM,105.6,103.2,73.36,,,,,
174,09/28/23 10:18:09 AM,105.9,103.2,73.36,,,,,
175,09/28/23 10:18:14 AM,107.0,104.3,73.36,,,,,
176,09/28/23 10:18:19 AM,106.8,104.3,73.36,,,,,
177,09/28/23 10:18:24 AM,109.1,106.1,73.36,,,,,
178,09/28/23 10:18:29 AM,107.2,104.6,73.36,,,,,
179,09/28/23 10:18:34 AM,107.5,104.6,73.36,,,,,
180,09/28/23 10:18:39 AM,109.0,106.1,73.36,,,,,
181,09/28/23 10:18:44 AM,108.9,106.5,73.36,,,,,
182,09/28/23 10:18:49 AM,117.9,115.2,73.36,,,,,
183,09/28/23 10:18:54 AM,118.6,115.9,73.36,,,,,
184,09/28/23 10:18:59 AM,120.4,117.7,73.36,,,,,
185,09/28/23 10:19:04 AM,119.1,116.6,73.36,,,,,
186,09/28/23 10:19:09 AM,122.4,119.5,73.36,,,,,
187,09/28/23 10:19:14 AM,124.8,122.5,73.36,,,,,
188,09/28/23 10:19:19 AM,125.8,123.5,73.36,,,,,
189,09/28/23 10:19:24 AM,127.4,125.4,73.35,,,,,
190,09/28/23 10:19:29 AM,128.3,125.7,73.36,,,,,
191,09/28/23 10:19:34 AM,128.7,126.5,73.36,,,,,
192,09/28/23 10:19:39 AM,130.0,127.9,73.36,,,,,
193,09/28/23 10:19:44 AM,132.8,130.8,73.35,,,,,
194,09/28/23 10:19:49 AM,133.3,131.2,73.36,,,,,
195,09/28/23 10:19:54 AM,138.0,135.9,73.35,,,,,
196,09/28/23 10:19:59 AM,138.5,136.3,73.36,,,,,
197,09/28/23 10:20:04 AM,138.9,136.7,73.36,,,,,
198,09/28/23 10:20:09 AM,140.1,138.1,73.36,,,,,
199,09/28/23 10:20:14 AM,140.3,138.5,73.36,,,,,
200,09/28/23 10:20:19 AM,141.9,139.9,73.36,,,,,
201,09/28/23 10:20:24 AM,142.4,141.0,73.36,,,,,
202,09/28/23 10:20:29 AM,144.2,142.5,73.36,,,,,
203,09/28/23 10:20:34 AM,145.2,143.2,73.36,,,,,
204,09/28/23 10:20:39 AM,146.2,144.3,73.35,,,,,
205,09/28/23 10:20:44 AM,146.5,144.7,73.35,,,,,
206,09/28/23 10:20:49 AM,146.2,144.3,73.35,,,,,
207,09/28/23 10:20:54 AM,147.5,145.8,73.35,,,,,
208,09/28/23 10:20:59 AM,147.6,146.1,73.35,,,,,
209,09/28/23 10:21:04 AM,147.3,145.8,73.35,,,,,
210,09/28/23 10:21:09 AM,148.9,147.6,73.35,,,,,
211,09/28/23 10:21:14 AM,148.9,147.6,73.35,,,,,
212,09/28/23 10:21:19 AM,149.3,147.6,73.35,,,,,
213,09/28/23 10:21:24 AM,149.0,147.6,73.35,,,,,
214,09/28/23 10:21:29 AM,148.9,147.6,73.35,,,,,
215,09/28/23 10:21:34 AM,148.8,147.6,73.35,,,,,
216,09/28/23 10:21:39 AM,149.0,147.6,73.35,,,,,
217,09/28/23 10:21:44 AM,149.2,147.6,73.35,,,,,
218,09/28/23 10:21:49 AM,149.1,147.6,73.35,,,,,
219,09/28/23 10:21:54 AM,149.1,147.6,73.35,,,,,
220,09/28/23 10:21:59 AM,149.0,147.6,73.36,,,,,
221,09/28/23 10:22:04 AM,149.0,147.6,73.35,,,,,
222,09/28/23 10:22:09 AM,148.9,147.6,73.35,,,,,
223,09/28/23 10:22:14 AM,148.6,146.9,73.35,,,,,
224,09/28/23 10:22:19 AM,148.4,146.5,73.35,,,,,
225,09/28/23 10:22:24 AM,148.3,146.5,73.35,,,,,
226,09/28/23 10:22:29 AM,148.3,146.5,73.35,,,,,
227,09/28/23 10:22:34 AM,148.1,146.5,73.35,,,,,
228,09/28/23 10:22:39 AM,147.8,146.1,73.35,,,,,
229,09/28/23 10:22:44 AM,147.6,145.8,73.35,,,,,
230,09/28/23 10:22:49 AM,147.2,145.4,73.35,,,,,
231,09/28/23 10:22:54 AM,146.9,145.4,73.35,,,,,
232,09/28/23 10:22:59 AM,146.5,144.7,73.35,,,,,
233,09/28/23 10:23:04 AM,145.6,143.9,73.35,,,,,
234,09/28/23 10:23:09 AM,144.7,142.8,73.35,,,,,
235,09/28/23 10:23:14 AM,144.4,142.5,73.35,,,,,
236,09/28/23 10:23:19 AM,144.0,142.1,73.35,,,,,
237,09/28/23 10:23:24 AM,143.7,141.8,73.35,,,,,
238,09/28/23 10:23:29 AM,142.9,141.0,73.35,,,,,
239,09/28/23 10:23:34 AM,142.4,140.3,73.35,,,,,
240,09/28/23 10:23:39 AM,142.2,140.3,73.35,,,,,
241,09/28/23 10:23:44 AM,141.2,139.2,73.35,,,,,
242,09/28/23 10:23:49 AM,141.0,138.8,73.35,,,,,
243,09/28/23 10:23:54 AM,140.8,138.8,73.35,,,,,
244,09/28/23 10:23:59 AM,141.1,139.2,73.35,,,,,
245,09/28/23 10:24:04 AM,141.0,139.2,73.35,,,,,
246,09/28/23 10:24:09 AM,140.7,138.8,73.35,,,,,
247,09/28/23 10:24:14 AM,139.2,137.4,73.35,,,,,
248,09/28/23 10:24:19 AM,138.0,136.3,73.35,,,,,
249,09/28/23 10:24:24 AM,138.1,136.3,73.35,,,,,
250,09/28/23 10:24:29 AM,136.9,134.8,73.35,,,,,
251,09/28/23 10:24:34 AM,136.8,134.8,73.35,,,,,
252,09/28/23 10:24:39 AM,137.0,134.8,73.35,,,,,
253,09/28/23 10:24:44 AM,136.0,133.7,73.35,,,,,
254,09/28/23 10:24:49 AM,135.8,133.0,73.35,,,,,
255,09/28/23 10:24:54 AM,135.1,133.0,73.35,,,,,
256,09/28/23 10:24:59 AM,133.5,131.2,73.35,,,,,
257,09/28/23 10:25:04 AM,132.8,130.8,73.35,,,,,
258,09/28/23 10:25:09 AM,133.0,131.2,73.36,,,,,
259,09/28/23 10:25:14 AM,131.4,129.0,73.35,,,,,
260,09/28/23 10:25:19 AM,131.7,129.4,73.35,,,,,
261,09/28/23 10:25:24 AM,131.6,129.4,73.35,,,,,
262,09/28/23 10:25:29 AM,131.1,128.6,73.35,,,,,
263,09/28/23 10:25:34 AM,130.5,128.3,73.35,,,,,
264,09/28/23 10:25:39 AM,130.1,127.9,73.35,,,,,
265,09/28/23 10:25:44 AM,129.0,126.8,73.35,,,,,
266,09/28/23 10:25:49 AM,128.9,126.5,73.35,,,,,
267,09/28/23 10:25:54 AM,128.5,126.5,73.35,,,,,
268,09/28/23 10:25:59 AM,127.7,125.4,73.35,,,,,
269,09/28/23 10:26:04 AM,126.5,124.3,73.35,,,,,
270,09/28/23 10:26:09 AM,126.3,123.9,73.35,,,,,
271,09/28/23 10:26:14 AM,126.5,124.3,73.35,,,,,
272,09/28/23 10:26:19 AM,126.1,123.5,73.35,,,,,
273,09/28/23 10:26:24 AM,126.2,123.9,73.35,,,,,
274,09/28/23 10:26:29 AM,126.2,123.5,73.35,,,,,
275,09/28/23 10:26:34 AM,124.1,121.4,73.35,,,,,
276,09/28/23 10:26:39 AM,124.0,121.4,73.35,,,,,
277,09/28/23 10:26:44 AM,124.3,122.1,73.35,,,,,
278,09/28/23 10:26:49 AM,124.4,121.7,73.35,,,,,
279,09/28/23 10:26:54 AM,123.6,121.0,73.35,,,,,
280,09/28/23 10:26:59 AM,123.2,120.6,73.35,,,,,
281,09/28/23 10:27:04 AM,122.6,120.3,73.35,,,,,
