"Plot Title: Brad_DG_2023-06-01"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Full Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Temp, °F (LGR S/N: 20342070, SEN S/N: 20342070)","Host Connected (LGR S/N: 20342070)","Coupler Detached (LGR S/N: 20342070)","Coupler Attached (LGR S/N: 20342070)","End Of File (LGR S/N: 20342070)"
73,06/01/23 10:24:26 AM,0.4,-0.9,82.72,,,,
74,06/01/23 10:24:31 AM,0.4,-0.9,82.74,,,,
75,06/01/23 10:24:36 AM,0.4,-0.9,82.76,,,,
76,06/01/23 10:24:41 AM,0.3,-0.9,82.76,,,,
77,06/01/23 10:24:46 AM,1.6,-0.9,82.78,,,,
78,06/01/23 10:24:51 AM,0.4,-0.9,82.78,,,,
79,06/01/23 10:24:56 AM,0.4,-0.9,82.80,,,,
80,06/01/23 10:25:01 AM,0.3,-0.9,82.81,,,,
81,06/01/23 10:25:06 AM,0.4,-0.9,82.85,,,,
82,06/01/23 10:25:11 AM,0.3,-4.5,82.85,,,,
83,06/01/23 10:25:16 AM,0.3,-0.9,82.87,,,,
84,06/01/23 10:25:21 AM,0.3,-0.9,82.89,,,,
85,06/01/23 10:25:26 AM,0.3,-0.9,82.89,,,,
86,06/01/23 10:25:31 AM,0.4,-0.9,82.90,,,,
87,06/01/23 10:25:36 AM,0.4,-0.9,82.92,,,,
88,06/01/23 10:25:41 AM,0.4,-0.9,82.92,,,,
89,06/01/23 10:25:46 AM,1.6,-0.9,82.94,,,,
90,06/01/23 10:25:51 AM,0.3,-3.4,82.96,,,,
91,06/01/23 10:25:56 AM,0.3,-0.9,82.99,,,,
92,06/01/23 10:26:01 AM,1.6,-0.9,82.99,,,,
93,06/01/23 10:26:06 AM,0.4,-0.9,83.01,,,,
94,06/01/23 10:26:11 AM,0.3,-3.4,83.01,,,,
95,06/01/23 10:26:16 AM,0.3,-0.9,83.03,,,,
96,06/01/23 10:26:21 AM,0.4,-0.9,83.05,,,,
97,06/01/23 10:26:26 AM,0.3,-0.9,83.05,,,,
98,06/01/23 10:26:31 AM,0.3,-4.5,83.07,,,,
99,06/01/23 10:26:36 AM,0.4,-0.9,83.07,,,,
100,06/01/23 10:26:41 AM,0.4,-0.9,83.08,,,,
101,06/01/23 10:26:46 AM,0.3,-0.9,83.12,,,,
102,06/01/23 10:26:51 AM,1.8,-0.9,83.12,,,,
103,06/01/23 10:26:56 AM,0.3,-0.9,83.12,,,,
104,06/01/23 10:27:01 AM,0.4,-0.9,83.14,,,,
105,06/01/23 10:27:06 AM,0.3,-0.9,83.14,,,,
106,06/01/23 10:27:11 AM,0.4,-0.9,83.14,,,,
107,06/01/23 10:27:16 AM,0.3,-0.9,83.16,,,,
108,06/01/23 10:27:21 AM,0.3,-0.9,83.16,,,,
109,06/01/23 10:27:26 AM,0.4,-0.9,83.16,,,,
110,06/01/23 10:27:31 AM,0.4,-0.9,83.16,,,,
111,06/01/23 10:27:36 AM,0.3,-0.9,83.17,,,,
112,06/01/23 10:27:41 AM,0.4,-0.9,83.17,,,,
113,06/01/23 10:27:46 AM,0.3,-0.9,83.17,,,,
114,06/01/23 10:27:51 AM,0.3,-0.9,83.19,,,,
115,06/01/23 10:27:56 AM,0.3,-3.4,83.19,,,,
116,06/01/23 10:28:01 AM,0.3,-0.9,83.19,,,,
117,06/01/23 10:28:06 AM,0.4,-0.9,83.19,,,,
