Plot Title: Bradford_streams_6-24-21,,,,,,,,
#,"Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20342068, SEN S/N: 20342068)","Full Range, μS/cm (LGR S/N: 20342068, SEN S/N: 20342068)","Temp, °F (LGR S/N: 20342068, SEN S/N: 20342068)",Coupler Detached (LGR S/N: 20342068),Coupler Attached (LGR S/N: 20342068),Host Connected (LGR S/N: 20342068),End Of File (LGR S/N: 20342068)
69,6/24/2021 11:05:40,1.8,0.4,88.57,,,,
70,6/24/2021 11:05:45,1.9,0.4,88.63,,,,
71,6/24/2021 11:05:50,1.8,0.4,88.52,,,,
72,6/24/2021 11:05:55,1.8,0.4,88.34,,,,
73,6/24/2021 11:06:00,1.8,0.4,88.27,,,,
74,6/24/2021 11:06:05,1.8,0.4,88.21,,,,
75,6/24/2021 11:06:10,0.8,0.4,88.18,,,,
76,6/24/2021 11:06:15,0.8,0.4,88.12,,,,
77,6/24/2021 11:06:20,1.8,0.4,88.12,,,,
78,6/24/2021 11:06:25,88.9,85.2,78.31,,,,
79,6/24/2021 11:06:30,83.3,79.8,77.04,,,,
80,6/24/2021 11:06:35,82.9,79.5,76.6,,,,
81,6/24/2021 11:06:40,82.8,79.5,76.57,,,,
82,6/24/2021 11:06:45,82.3,79.1,76.46,,,,
83,6/24/2021 11:06:50,83.1,80.2,76.35,,,,
84,6/24/2021 11:06:55,81.8,78.7,76.6,,,,
85,6/24/2021 11:07:00,81.7,78.4,76.69,,,,
86,6/24/2021 11:07:05,82,78.7,76.59,,,,
87,6/24/2021 11:07:10,81.9,78.7,76.59,,,,
88,6/24/2021 11:07:15,80.9,78,76.66,,,,
89,6/24/2021 11:07:20,82.9,79.5,76.5,,,,
90,6/24/2021 11:07:25,80.5,77.3,76.62,,,,
91,6/24/2021 11:07:30,80.3,76.5,76.68,,,,
92,6/24/2021 11:07:35,81.8,78.7,76.5,,,,
93,6/24/2021 11:07:40,81.7,78.4,76.57,,,,
94,6/24/2021 11:07:45,81.6,78.4,76.57,,,,
95,6/24/2021 11:07:50,81.3,78,76.57,,,,
96,6/24/2021 11:07:55,81.4,78,76.53,,,,
97,6/24/2021 11:08:00,80.8,78,76.59,,,,
98,6/24/2021 11:08:05,79.5,76.5,76.71,,,,
99,6/24/2021 11:08:10,79.6,76.5,76.68,,,,
100,6/24/2021 11:08:15,81.5,78,76.59,,,,
101,6/24/2021 11:08:20,79,75.4,76.57,,,,
102,6/24/2021 11:08:25,81.5,78.4,76.48,,,,
103,6/24/2021 11:08:30,81.6,78.4,76.44,,,,
104,6/24/2021 11:08:35,80.6,76.9,76.53,,,,
105,6/24/2021 11:08:40,81.5,78.4,76.42,,,,
106,6/24/2021 11:08:45,79.2,75.8,76.55,,,,
107,6/24/2021 11:08:50,80.2,76.5,76.44,,,,
108,6/24/2021 11:08:55,80.5,77.3,76.42,,,,
109,6/24/2021 11:09:00,79.3,76.2,76.42,,,,
110,6/24/2021 11:09:05,79.9,76.5,76.46,,,,
111,6/24/2021 11:09:10,81.4,78,76.35,,,,
112,6/24/2021 11:09:15,81.8,78.7,76.37,,,,
113,6/24/2021 11:09:20,82,78.7,76.33,,,,
114,6/24/2021 11:09:25,81.4,78,76.33,,,,
115,6/24/2021 11:09:30,81.1,78,76.33,,,,
116,6/24/2021 11:09:35,80.6,77.3,76.33,,,,
117,6/24/2021 11:09:40,81.6,78,76.33,,,,
118,6/24/2021 11:09:45,80.5,76.9,76.33,,,,
119,6/24/2021 11:09:50,81.4,78,76.3,,,,
120,6/24/2021 11:09:55,81,77.6,76.33,,,,
121,6/24/2021 11:10:00,79.7,75.8,76.33,,,,
122,6/24/2021 11:10:05,82.4,79.1,76.3,,,,
123,6/24/2021 11:10:10,82.2,78.4,76.3,,,,
124,6/24/2021 11:10:15,82.4,79.1,76.3,,,,
125,6/24/2021 11:10:20,80.9,77.3,76.3,,,,
126,6/24/2021 11:10:25,81.2,78,76.3,,,,
127,6/24/2021 11:10:30,80.3,76.9,76.32,,,,
128,6/24/2021 11:10:35,82,78.4,76.28,,,,
129,6/24/2021 11:10:40,82,78.4,76.3,,,,
130,6/24/2021 11:10:45,81.4,78,76.3,,,,
131,6/24/2021 11:10:50,80.9,77.3,76.3,,,,
132,6/24/2021 11:10:55,82,78,76.3,,,,
133,6/24/2021 11:11:00,81,77.6,76.28,,,,
134,6/24/2021 11:11:05,82.1,78.4,76.28,,,,
135,6/24/2021 11:11:10,82.4,78.7,76.28,,,,
136,6/24/2021 11:11:15,81.8,78,76.28,,,,
137,6/24/2021 11:11:20,82.8,79.5,76.28,,,,
138,6/24/2021 11:11:25,82,78.4,76.24,,,,
139,6/24/2021 11:11:30,82.2,78.7,76.3,,,,
140,6/24/2021 11:11:35,82.4,78.7,76.28,,,,
141,6/24/2021 11:11:40,82,78,76.24,,,,
142,6/24/2021 11:11:45,82.4,78.4,76.24,,,,
143,6/24/2021 11:11:50,82.9,79.1,76.24,,,,
144,6/24/2021 11:11:55,83.2,79.5,76.21,,,,
145,6/24/2021 11:12:00,82.3,78.4,76.28,,,,
146,6/24/2021 11:12:05,82.4,78.4,76.24,,,,
147,6/24/2021 11:12:10,82.2,78.7,76.28,,,,
148,6/24/2021 11:12:15,82,78,76.3,,,,
149,6/24/2021 11:12:20,83,79.5,76.24,,,,
150,6/24/2021 11:12:25,82.6,79.1,76.24,,,,
151,6/24/2021 11:12:30,82.4,78.7,76.28,,,,
152,6/24/2021 11:12:35,82,78,76.24,,,,
153,6/24/2021 11:12:40,82.3,78.7,76.28,,,,
154,6/24/2021 11:12:45,82.6,78.4,76.28,,,,
155,6/24/2021 11:12:50,82.1,78.4,76.28,,,,
156,6/24/2021 11:12:55,82.8,79.1,76.28,,,,
157,6/24/2021 11:13:00,82.7,79.1,76.28,,,,
158,6/24/2021 11:13:05,82,78,76.28,,,,
159,6/24/2021 11:13:10,82.7,79.1,76.28,,,,
160,6/24/2021 11:13:15,82,78,76.28,,,,
161,6/24/2021 11:13:20,82.5,78.4,76.28,,,,
162,6/24/2021 11:13:25,82.4,78.4,76.3,,,,
163,6/24/2021 11:13:30,82.6,78.7,76.28,,,,
164,6/24/2021 11:13:35,82.8,78.7,76.3,,,,
165,6/24/2021 11:13:40,83,79.1,76.28,,,,
166,6/24/2021 11:13:45,82.8,78.7,76.28,,,,
167,6/24/2021 11:13:50,83.1,79.1,76.28,,,,
168,6/24/2021 11:13:55,82.6,78.4,76.3,,,,
169,6/24/2021 11:14:00,82.5,78.4,76.32,,,,
170,6/24/2021 11:14:05,83,79.1,76.3,,,,
171,6/24/2021 11:14:10,82.2,78,76.3,,,,
172,6/24/2021 11:14:15,82.8,78.7,76.3,,,,
173,6/24/2021 11:14:20,82.8,79.1,76.32,,,,
174,6/24/2021 11:14:25,83.1,79.5,76.32,,,,
175,6/24/2021 11:14:30,82.6,78.7,76.32,,,,
176,6/24/2021 11:14:35,83.2,79.5,76.32,,,,
177,6/24/2021 11:14:40,82.8,79.1,76.33,,,,
178,6/24/2021 11:14:45,82.8,79.1,76.32,,,,
179,6/24/2021 11:14:50,82.8,78.7,76.32,,,,
180,6/24/2021 11:14:55,82.8,79.1,76.32,,,,
181,6/24/2021 11:15:00,83.1,79.1,76.33,,,,
182,6/24/2021 11:15:05,83.1,79.1,76.32,,,,
183,6/24/2021 11:15:10,82.8,79.1,76.32,,,,
184,6/24/2021 11:15:15,82.9,79.1,76.33,,,,
185,6/24/2021 11:15:20,82.9,78.7,76.33,,,,
186,6/24/2021 11:15:25,83,79.1,76.33,,,,
187,6/24/2021 11:15:30,83,79.1,76.32,,,,
188,6/24/2021 11:15:35,83,78.7,76.33,,,,
189,6/24/2021 11:15:40,83.1,79.5,76.33,,,,
190,6/24/2021 11:15:45,83.1,79.1,76.33,,,,
191,6/24/2021 11:15:50,83.2,79.5,76.33,,,,
192,6/24/2021 11:15:55,83.2,79.5,76.35,,,,
193,6/24/2021 11:16:00,83,79.1,76.33,,,,
194,6/24/2021 11:16:05,82.7,78.7,76.35,,,,
195,6/24/2021 11:16:10,83.3,79.5,76.33,,,,
196,6/24/2021 11:16:15,83,79.1,76.33,,,,
197,6/24/2021 11:16:20,82.7,79.1,76.33,,,,
198,6/24/2021 11:16:25,83.3,79.5,76.37,,,,
199,6/24/2021 11:16:30,83.2,79.5,76.37,,,,
200,6/24/2021 11:16:35,82.8,78.4,76.35,,,,
201,6/24/2021 11:16:40,83.2,79.5,76.37,,,,
202,6/24/2021 11:16:45,83.1,79.5,76.35,,,,
203,6/24/2021 11:16:50,82.8,78.7,76.35,,,,
204,6/24/2021 11:16:55,82.8,78.7,76.37,,,,
205,6/24/2021 11:17:00,83.1,79.1,76.37,,,,
206,6/24/2021 11:17:05,83.2,79.1,76.35,,,,
207,6/24/2021 11:17:10,83.2,79.5,76.35,,,,
208,6/24/2021 11:17:15,83.4,79.5,76.33,,,,
209,6/24/2021 11:17:20,83.1,79.5,76.35,,,,
210,6/24/2021 11:17:25,82.8,78.7,76.41,,,,
211,6/24/2021 11:17:30,82.5,78.7,76.35,,,,
212,6/24/2021 11:17:35,82.8,79.1,76.35,,,,
213,6/24/2021 11:17:40,82.7,78.7,76.35,,,,
214,6/24/2021 11:17:45,83,79.5,76.35,,,,
215,6/24/2021 11:17:50,83,79.1,76.35,,,,
216,6/24/2021 11:17:55,83.4,79.5,76.35,,,,
217,6/24/2021 11:18:00,83.2,79.5,76.37,,,,
218,6/24/2021 11:18:05,83.3,79.5,76.35,,,,
219,6/24/2021 11:18:10,83.2,79.5,76.37,,,,
220,6/24/2021 11:18:15,83.3,79.5,76.35,,,,
221,6/24/2021 11:18:20,82.8,78.7,76.35,,,,
222,6/24/2021 11:18:25,83,78.7,76.35,,,,
223,6/24/2021 11:18:30,83.2,79.5,76.35,,,,
224,6/24/2021 11:18:35,83.2,79.5,76.35,,,,
225,6/24/2021 11:18:40,83.3,79.5,76.35,,,,
226,6/24/2021 11:18:45,83.3,79.1,76.35,,,,
227,6/24/2021 11:18:50,83.1,79.1,76.35,,,,
228,6/24/2021 11:18:55,83.3,79.5,76.37,,,,
229,6/24/2021 11:19:00,83.2,79.5,76.37,,,,
230,6/24/2021 11:19:05,83.2,79.5,76.35,,,,
231,6/24/2021 11:19:10,83.4,79.5,76.37,,,,
232,6/24/2021 11:19:15,83.6,79.5,76.35,,,,
233,6/24/2021 11:19:20,83.4,79.5,76.37,,,,
234,6/24/2021 11:19:25,83.4,79.5,76.37,,,,
235,6/24/2021 11:19:30,83.4,79.5,76.41,,,,
236,6/24/2021 11:19:35,83.4,79.5,76.37,,,,
237,6/24/2021 11:19:40,83.4,79.5,76.41,,,,
238,6/24/2021 11:19:45,83.2,79.5,76.41,,,,
239,6/24/2021 11:19:50,83.6,79.5,76.41,,,,
240,6/24/2021 11:19:55,83.6,79.5,76.41,,,,
241,6/24/2021 11:20:00,83.2,79.5,76.41,,,,
242,6/24/2021 11:20:05,83.3,79.5,76.41,,,,
243,6/24/2021 11:20:10,83.4,79.5,76.42,,,,
244,6/24/2021 11:20:15,83.7,79.5,76.42,,,,
245,6/24/2021 11:20:20,83.4,79.5,76.44,,,,
246,6/24/2021 11:20:25,83.4,79.5,76.42,,,,
247,6/24/2021 11:20:30,83.3,79.5,76.41,,,,
248,6/24/2021 11:20:35,83.3,79.5,76.42,,,,
249,6/24/2021 11:20:40,83.4,79.5,76.42,,,,
250,6/24/2021 11:20:45,83.3,79.5,76.42,,,,
251,6/24/2021 11:20:50,83.2,79.5,76.42,,,,
252,6/24/2021 11:20:55,83.6,79.5,76.44,,,,
253,6/24/2021 11:21:00,83.6,79.8,76.42,,,,
254,6/24/2021 11:21:05,83.6,79.5,76.44,,,,
255,6/24/2021 11:21:10,83.7,79.5,76.42,,,,
256,6/24/2021 11:21:15,83.6,79.8,76.42,,,,
257,6/24/2021 11:21:20,83.7,79.8,76.44,,,,
258,6/24/2021 11:21:25,83.4,79.5,76.44,,,,
259,6/24/2021 11:21:30,83.6,79.8,76.44,,,,
260,6/24/2021 11:21:35,83.6,79.8,76.42,,,,
261,6/24/2021 11:21:40,83.8,79.8,76.42,,,,
262,6/24/2021 11:21:45,83.4,79.5,76.44,,,,
263,6/24/2021 11:21:50,83.5,79.5,76.44,,,,
264,6/24/2021 11:21:55,83.6,79.8,76.42,,,,
265,6/24/2021 11:22:00,83.3,79.5,76.42,,,,
266,6/24/2021 11:22:05,83.8,79.8,76.41,,,,
267,6/24/2021 11:22:10,83.8,79.8,76.37,,,,
268,6/24/2021 11:22:15,83.4,79.5,76.41,,,,
269,6/24/2021 11:22:20,83.5,79.5,76.41,,,,
270,6/24/2021 11:22:25,83.6,79.8,76.37,,,,
271,6/24/2021 11:22:30,83.4,79.5,76.41,,,,
272,6/24/2021 11:22:35,83.1,79.1,76.41,,,,
273,6/24/2021 11:22:40,83.1,79.1,76.37,,,,
274,6/24/2021 11:22:45,83.4,79.5,76.41,,,,
275,6/24/2021 11:22:50,83.2,79.5,76.37,,,,
276,6/24/2021 11:22:55,83.5,79.8,76.37,,,,
277,6/24/2021 11:23:00,83.6,79.8,76.41,,,,
278,6/24/2021 11:23:05,83.5,79.5,76.41,,,,
279,6/24/2021 11:23:10,84,80.2,76.37,,,,
280,6/24/2021 11:23:15,83.7,79.8,76.41,,,,
281,6/24/2021 11:23:20,84,79.8,76.42,,,,
282,6/24/2021 11:23:25,84,80.2,76.41,,,,
283,6/24/2021 11:23:30,83.8,79.8,76.41,,,,
284,6/24/2021 11:23:35,83.5,79.8,76.41,,,,
285,6/24/2021 11:23:40,83.1,79.5,76.42,,,,
286,6/24/2021 11:23:45,83.2,79.5,76.42,,,,
287,6/24/2021 11:23:50,83.7,79.8,76.42,,,,
288,6/24/2021 11:23:55,83.5,79.5,76.44,,,,
289,6/24/2021 11:24:00,83.6,79.8,76.42,,,,
290,6/24/2021 11:24:05,83.6,79.8,76.44,,,,
291,6/24/2021 11:24:10,83.2,79.1,76.42,,,,
292,6/24/2021 11:24:15,83.8,79.8,76.42,,,,
293,6/24/2021 11:24:20,83.5,79.8,76.46,,,,
294,6/24/2021 11:24:25,84,79.8,76.42,,,,
295,6/24/2021 11:24:30,83.1,79.5,76.42,,,,
296,6/24/2021 11:24:35,83.8,79.8,76.42,,,,
297,6/24/2021 11:24:40,83.7,79.8,76.42,,,,
298,6/24/2021 11:24:45,83,79.1,76.42,,,,
299,6/24/2021 11:24:50,83.7,79.8,76.42,,,,
300,6/24/2021 11:24:55,83.8,79.8,76.42,,,,
301,6/24/2021 11:25:00,83.6,79.8,76.42,,,,
302,6/24/2021 11:25:05,83.7,79.8,76.42,,,,
303,6/24/2021 11:25:10,83.4,79.5,76.42,,,,
304,6/24/2021 11:25:15,84,80.2,76.42,,,,
305,6/24/2021 11:25:20,83.6,79.8,76.42,,,,
306,6/24/2021 11:25:25,83.7,79.5,76.41,,,,
307,6/24/2021 11:25:30,83.8,80.2,76.42,,,,
308,6/24/2021 11:25:35,83.5,79.8,76.42,,,,
309,6/24/2021 11:25:40,83.7,79.8,76.44,,,,
310,6/24/2021 11:25:45,84,80.2,76.44,,,,
311,6/24/2021 11:25:50,84.1,80.2,76.46,,,,
312,6/24/2021 11:25:55,84,80.2,76.46,,,,
313,6/24/2021 11:26:00,83.8,80.2,76.48,,,,
314,6/24/2021 11:26:05,84,80.2,76.44,,,,
315,6/24/2021 11:26:10,83.8,80.2,76.46,,,,
316,6/24/2021 11:26:15,83.8,80.2,76.48,,,,
317,6/24/2021 11:26:20,83.8,79.8,76.44,,,,
318,6/24/2021 11:26:25,83.7,79.8,76.42,,,,
319,6/24/2021 11:26:30,83.6,79.8,76.44,,,,
320,6/24/2021 11:26:35,83.4,79.5,76.44,,,,
321,6/24/2021 11:26:40,83.8,79.8,76.44,,,,
322,6/24/2021 11:26:45,83.5,79.8,76.44,,,,
323,6/24/2021 11:26:50,83.5,79.8,76.42,,,,
324,6/24/2021 11:26:55,83.6,79.8,76.44,,,,
325,6/24/2021 11:27:00,83.3,79.8,76.44,,,,
326,6/24/2021 11:27:05,83,79.1,76.44,,,,
327,6/24/2021 11:27:10,83.8,80.2,76.46,,,,
328,6/24/2021 11:27:15,83.5,79.8,76.44,,,,
329,6/24/2021 11:27:20,83.3,79.5,76.46,,,,
330,6/24/2021 11:27:25,83.4,79.8,76.46,,,,
331,6/24/2021 11:27:30,83.3,79.5,76.46,,,,
332,6/24/2021 11:27:35,83.4,79.5,76.46,,,,
333,6/24/2021 11:27:40,83.8,80.2,76.46,,,,
334,6/24/2021 11:27:45,83.6,79.8,76.44,,,,
335,6/24/2021 11:27:50,83.4,79.5,76.44,,,,
336,6/24/2021 11:27:55,83.5,79.8,76.44,,,,
337,6/24/2021 11:28:00,83.4,79.8,76.44,,,,
338,6/24/2021 11:28:05,83.7,79.8,76.44,,,,
339,6/24/2021 11:28:10,83.3,79.5,76.44,,,,
340,6/24/2021 11:28:15,83.6,79.8,76.46,,,,
341,6/24/2021 11:28:20,83.8,80.2,76.44,,,,
342,6/24/2021 11:28:25,84,80.2,76.44,,,,
343,6/24/2021 11:28:30,83.8,80.2,76.46,,,,
344,6/24/2021 11:28:35,83.4,79.8,76.44,,,,
345,6/24/2021 11:28:40,83.2,79.5,76.46,,,,
346,6/24/2021 11:28:45,83.4,79.8,76.46,,,,
347,6/24/2021 11:28:50,83.8,79.8,76.46,,,,
348,6/24/2021 11:28:55,83.6,80.2,76.46,,,,
349,6/24/2021 11:29:00,83.6,79.8,76.46,,,,
350,6/24/2021 11:29:05,83.6,79.8,76.46,,,,
351,6/24/2021 11:29:10,83.6,79.8,76.46,,,,
352,6/24/2021 11:29:15,84,80.2,76.44,,,,
353,6/24/2021 11:29:20,83.7,79.8,76.46,,,,
354,6/24/2021 11:29:25,83.6,79.8,76.44,,,,
355,6/24/2021 11:29:30,83.7,79.8,76.44,,,,
356,6/24/2021 11:29:35,83.9,80.2,76.44,,,,
357,6/24/2021 11:29:40,83.8,80.2,76.44,,,,
358,6/24/2021 11:29:45,83.7,80.2,76.44,,,,
359,6/24/2021 11:29:50,83.7,80.2,76.46,,,,
360,6/24/2021 11:29:55,83.6,79.8,76.46,,,,
361,6/24/2021 11:30:00,83.8,80.2,76.46,,,,
362,6/24/2021 11:30:05,83.6,79.8,76.46,,,,
363,6/24/2021 11:30:10,84,80.2,76.46,,,,
364,6/24/2021 11:30:15,83.8,80.2,76.5,,,,
365,6/24/2021 11:30:20,84,80.2,76.48,,,,
366,6/24/2021 11:30:25,8,4.1,76.69,,,,
367,6/24/2021 11:30:30,5.9,1.9,76.82,,,,
368,6/24/2021 11:30:35,5.3,1.2,76.95,,,,
369,6/24/2021 11:30:40,5.1,1.2,77.05,,,,
370,6/24/2021 11:30:45,4.8,1.2,77.16,,,,
371,6/24/2021 11:30:50,83.9,80.2,76.53,,,,
372,6/24/2021 11:30:55,83.8,80.2,76.59,,,,
373,6/24/2021 11:31:00,84,80.6,76.5,,,,
374,6/24/2021 11:31:05,84,80.6,76.48,,,,
375,6/24/2021 11:31:10,83.8,80.6,76.48,,,,
376,6/24/2021 11:31:15,83.8,80.2,76.48,,,,
377,6/24/2021 11:31:20,84,80.6,76.46,,,,
378,6/24/2021 11:31:25,83.9,80.6,76.48,,,,
379,6/24/2021 11:31:30,84.2,80.6,76.48,,,,
380,6/24/2021 11:31:35,83.8,80.2,76.48,,,,
381,6/24/2021 11:31:40,84,80.6,76.46,,,,
382,6/24/2021 11:31:45,83.8,80.2,76.46,,,,
383,6/24/2021 11:31:50,83.9,80.2,76.46,,,,
384,6/24/2021 11:31:55,84.1,80.6,76.48,,,,
385,6/24/2021 11:32:00,84,80.6,76.46,,,,
386,6/24/2021 11:32:05,84.1,80.6,76.46,,,,
387,6/24/2021 11:32:10,84,80.6,76.48,,,,
388,6/24/2021 11:32:15,83.8,80.6,76.46,,,,
389,6/24/2021 11:32:20,84,80.2,76.46,,,,
390,6/24/2021 11:32:25,84.2,80.6,76.48,,,,
391,6/24/2021 11:32:30,83.9,80.6,76.48,,,,
392,6/24/2021 11:32:35,83.8,80.2,76.46,,,,
393,6/24/2021 11:32:40,84,80.6,76.46,,,,
394,6/24/2021 11:32:45,84.1,80.6,76.48,,,,
395,6/24/2021 11:32:50,84.2,80.6,76.46,,,,
396,6/24/2021 11:32:55,84.1,80.6,76.46,,,,
397,6/24/2021 11:33:00,84,80.2,76.48,,,,
398,6/24/2021 11:33:05,83.8,80.2,76.46,,,,
399,6/24/2021 11:33:10,84,80.2,76.46,,,,
400,6/24/2021 11:33:15,84,80.2,76.46,,,,
401,6/24/2021 11:33:20,83.9,80.6,76.46,,,,
402,6/24/2021 11:33:25,84.1,80.6,76.46,,,,
403,6/24/2021 11:33:30,84.1,80.6,76.46,,,,
404,6/24/2021 11:33:35,83.8,80.2,76.46,,,,
405,6/24/2021 11:33:40,84.2,80.6,76.46,,,,
406,6/24/2021 11:33:45,84.1,80.6,76.46,,,,
407,6/24/2021 11:33:50,84,80.2,76.46,,,,
408,6/24/2021 11:33:55,84,80.6,76.46,,,,
409,6/24/2021 11:34:00,83.8,80.2,76.46,,,,
410,6/24/2021 11:34:05,83.8,80.2,76.46,,,,
411,6/24/2021 11:34:10,83.9,80.2,76.46,,,,
412,6/24/2021 11:34:15,84.1,80.6,76.44,,,,
413,6/24/2021 11:34:20,84.1,80.6,76.46,,,,
414,6/24/2021 11:34:25,84,80.6,76.46,,,,
415,6/24/2021 11:34:30,84.2,80.6,76.46,,,,
416,6/24/2021 11:34:35,84,80.6,76.46,,,,
417,6/24/2021 11:34:40,84,80.6,76.46,,,,
418,6/24/2021 11:34:45,83.8,80.2,76.46,,,,
419,6/24/2021 11:34:50,84,80.6,76.48,,,,
420,6/24/2021 11:34:55,84,80.6,76.46,,,,
421,6/24/2021 11:35:00,83.8,80.6,76.46,,,,
422,6/24/2021 11:35:05,83.9,80.2,76.46,,,,
423,6/24/2021 11:35:10,83.8,80.2,76.46,,,,
424,6/24/2021 11:35:15,83.9,80.6,76.46,,,,
425,6/24/2021 11:35:20,83.6,80.2,76.46,,,,
426,6/24/2021 11:35:25,84,80.6,76.46,,,,
427,6/24/2021 11:35:30,83.7,80.2,76.46,,,,
428,6/24/2021 11:35:35,83.8,80.2,76.46,,,,
429,6/24/2021 11:35:40,83.8,80.6,76.46,,,,
430,6/24/2021 11:35:45,83.8,80.2,76.46,,,,
431,6/24/2021 11:35:50,83.5,79.8,76.46,,,,
432,6/24/2021 11:35:55,83.9,80.6,76.46,,,,
433,6/24/2021 11:36:00,83.4,79.8,76.46,,,,
434,6/24/2021 11:36:05,83.7,80.2,76.46,,,,
435,6/24/2021 11:36:10,83.6,80.2,76.44,,,,
436,6/24/2021 11:36:15,83.8,80.2,76.46,,,,
437,6/24/2021 11:36:20,83.8,80.6,76.46,,,,
438,6/24/2021 11:36:25,83.7,80.2,76.44,,,,
439,6/24/2021 11:36:30,83.7,80.2,76.46,,,,
440,6/24/2021 11:36:35,83.7,80.2,76.46,,,,
441,6/24/2021 11:36:40,83.7,80.2,76.44,,,,
442,6/24/2021 11:36:45,83.4,80.2,76.44,,,,
