Date,Eosense,Vaisala,K30
2024-06-15T02:45:00Z,1743.41,486.5126,105.9944
2024-06-15T03:00:00Z,1758.229,496.6138,105.9682
2024-06-15T03:15:00Z,1758.611,520.0117,106.0844
2024-06-15T03:30:00Z,1758.502,520.2941,106.253
2024-06-15T03:45:00Z,1758.336,508.4349,105.9712
2024-06-15T04:00:00Z,1743.46,507.0868,105.7208
2024-06-15T04:15:00Z,1743.725,501.8743,106.0037
2024-06-15T04:30:00Z,1743.255,524.5657,105.7485
2024-06-15T04:45:00Z,1743.2,494.2737,105.6892
2024-06-15T05:00:00Z,1743.645,520.6141,115.9367
2024-06-15T05:15:00Z,1743.601,485.8391,115.7723
2024-06-15T05:30:00Z,1743.265,494.2751,115.5065
2024-06-15T05:45:00Z,1743.121,519.1307,116.0567
2024-06-15T06:00:00Z,1743.583,520.6349,115.9269
2024-06-15T06:15:00Z,1743.195,496.6781,115.9965
2024-06-15T06:30:00Z,1758.404,494.3687,115.4991
2024-06-15T06:45:00Z,1743.678,487.4442,115.5228
2024-06-15T07:00:00Z,1743.75,485.7644,115.8371
2024-06-15T07:15:00Z,1743.401,484.2783,115.677
2024-06-15T07:30:00Z,1758.313,504.2415,115.5472
2024-06-15T07:45:00Z,1758.466,508.83,116.0281
2024-06-15T08:00:00Z,1758.309,484.3246,115.7191
2024-06-15T08:15:00Z,1758.383,492.6004,115.8503
2024-06-15T08:30:00Z,1758.782,490.2298,116.0135
2024-06-15T08:45:00Z,1788.462,498.9919,116.0718
2024-06-15T09:00:00Z,1804.054,499.3435,115.882
2024-06-15T09:15:00Z,1804.001,475.8272,115.8264
2024-06-15T09:30:00Z,1818.573,498.9462,116.0414
2024-06-15T09:45:00Z,1818.624,463.9221,115.7786
2024-06-15T10:00:00Z,1818.786,482.9111,115.9244
2024-06-15T10:15:00Z,1834.075,488.5869,116.0988
2024-06-15T10:30:00Z,1834.602,464.9897,115.9281
2024-06-15T10:45:00Z,1834.073,498.5202,115.8377
2024-06-15T11:00:00Z,1834.448,490.0155,116.0936
2024-06-15T11:15:00Z,1834.496,465.1757,115.8402
2024-06-15T11:30:00Z,1849.438,510.6564,116.1702
2024-06-15T11:45:00Z,1864.201,474.0013,115.6253
2024-06-15T12:00:00Z,1864.715,500.6418,116.0719
2024-06-15T12:15:00Z,1879.369,499.7456,116.3058
2024-06-15T12:30:00Z,1894.513,486.9206,115.8853
2024-06-15T12:45:00Z,1894.61,479.4492,116.3834
2024-06-15T13:00:00Z,1895.004,475.8322,116.1009
2024-06-15T13:15:00Z,1909.996,486.6968,126.4013
2024-06-15T13:30:00Z,1909.953,478.7053,115.6763
2024-06-15T13:45:00Z,1909.948,489.9447,128.953
2024-06-15T14:00:00Z,1925.124,500.463,115.9194
2024-06-15T14:15:00Z,1924.905,504.9942,131.6455
2024-06-15T14:30:00Z,1939.692,499.6841,115.8611
2024-06-15T14:45:00Z,1939.917,485.1932,115.6882
2024-06-15T15:00:00Z,1955.596,500.8152,116.1933
2024-06-15T15:15:00Z,1970.683,476.2,116.134
2024-06-15T15:30:00Z,1970.617,488.0632,116.1763
2024-06-15T15:45:00Z,1970.142,487.4333,116.0438
2024-06-15T16:00:00Z,1985.317,509.4432,115.9259
2024-06-15T16:15:00Z,1985.102,474.5111,116.0008
2024-06-15T16:30:00Z,2000.774,500.567,116.0121
2024-06-15T16:45:00Z,2000.302,496.2153,115.7264
2024-06-15T17:00:00Z,2015.693,476.0597,115.9374
2024-06-15T17:15:00Z,2030.57,499.0971,115.9146
2024-06-15T17:30:00Z,2046.112,475.8831,115.6394
2024-06-15T17:45:00Z,2076.082,487.0432,116.1581
2024-06-15T18:00:00Z,2091.716,486.7002,115.8416
2024-06-15T18:15:00Z,2106.19,504.4338,115.8566
2024-06-15T18:30:00Z,2106.284,508.6557,115.8509
2024-06-15T18:45:00Z,2121.722,508.9805,115.8514
2024-06-15T19:00:00Z,2136.712,485.8225,125.8671
2024-06-15T19:15:00Z,2136.752,484.3221,125.4483
2024-06-15T19:30:00Z,2136.913,486.8708,125.4024
2024-06-15T19:45:00Z,2167.261,499.5497,125.7238
2024-06-15T20:00:00Z,2181.725,475.5,125.682
2024-06-15T20:15:00Z,2182.033,499.2345,125.6857
2024-06-15T20:30:00Z,2197.164,474.4223,125.4738
2024-06-15T20:45:00Z,2212.677,511.1447,125.9331
2024-06-15T21:00:00Z,2227.398,474.7573,125.3714
2024-06-15T21:15:00Z,2242.422,481.6726,125.9153
2024-06-15T21:30:00Z,2257.889,509.305,125.6576
2024-06-15T21:45:00Z,2272.59,484.6466,125.5729
2024-06-15T22:00:00Z,2288.216,511.1563,125.9589
2024-06-15T22:15:00Z,2302.795,494.6422,135.2037
2024-06-15T22:30:00Z,2318.646,521.1316,135.5279
2024-06-15T22:45:00Z,2333.289,485.331,135.4736
2024-06-15T23:00:00Z,2348.899,521.0256,135.5221
2024-06-15T23:15:00Z,2363.453,494.8223,135.203
2024-06-15T23:30:00Z,2379.243,521.1518,135.6287
2024-06-15T23:45:00Z,2378.796,529.1664,135.7516
2024-06-16T00:00:00Z,2379.162,508.1926,135.196
2024-06-16T00:15:00Z,2363.471,530.4129,135.7215
2024-06-16T00:30:00Z,2318.311,504.7928,135.1522
2024-06-16T00:45:00Z,2303.368,534.9427,135.5285
2024-06-16T01:00:00Z,2303.412,523.9047,135.5004
2024-06-16T01:15:00Z,2272.797,504.9793,135.1428
2024-06-16T01:30:00Z,2257.855,530.7994,135.7586
2024-06-16T01:45:00Z,2257.732,504.3853,135.2062
2024-06-16T02:00:00Z,2243.01,515.7364,135.1905
2024-06-16T02:15:00Z,2227.838,516.7709,135.5018
2024-06-16T02:30:00Z,2227.861,530.9246,135.7023
2024-06-16T02:45:00Z,2227.728,518.1119,135.1432
2024-06-16T03:00:00Z,2212.593,539.1087,135.9186
2024-06-16T03:15:00Z,2212.463,508.0879,135.1687
2024-06-16T03:30:00Z,2197.69,530.7755,136.1391
2024-06-16T03:45:00Z,2197.442,539.7785,135.4334
2024-06-16T04:00:00Z,2197.822,527.903,146.0427
2024-06-16T04:15:00Z,2181.641,539.7446,135.4138
2024-06-16T04:30:00Z,2181.77,554.2523,148.2755
2024-06-16T04:45:00Z,2182.211,541.1586,135.7269
2024-06-16T05:00:00Z,2166.921,549.4303,150.4016
2024-06-16T05:15:00Z,2167.463,551.3809,135.6863
2024-06-16T05:30:00Z,2166.935,549.9758,149.3246
2024-06-16T05:45:00Z,2152.066,527.7662,135.1683
2024-06-16T06:00:00Z,2151.897,529.3561,135.6373
2024-06-16T06:15:00Z,2151.701,549.4579,135.4209
2024-06-16T06:30:00Z,2152.118,548.2084,135.4411
2024-06-16T06:45:00Z,2137.112,551.6769,135.7314
