Date,Rep,V,CDOM,CO2
6/13/2023 16:00,194,12.37,8.185543,27.05388
6/13/2023 17:00,195,12.37,8.185543,26.57854
6/13/2023 18:00,196,12.36,5.457028,28.71202
6/13/2023 19:00,197,12.35,8.185543,25.20781
6/13/2023 20:00,198,12.35,5.457037,29.66218
6/13/2023 21:00,199,12.35,5.457033,17.81244
6/13/2023 22:00,200,12.34,6.14012,24.57771
6/13/2023 23:00,201,12.33,8.186882,26.70014
6/14/2023 0:00,202,12.33,8.187363,27.98244
6/14/2023 1:00,203,12.32,7.50562,30.74602
6/14/2023 2:00,204,12.32,5.458811,30.83445
6/14/2023 3:00,205,12.31,6.825089,31.54193
6/14/2023 4:00,206,12.31,8.19104,29.57429
6/14/2023 5:00,207,12.3,5.460742,23.16317
6/14/2023 6:00,208,12.3,5.460751,24.93397
6/14/2023 7:00,209,12.3,5.460751,25.35264
6/14/2023 8:00,210,12.3,5.45968,32.73582
6/14/2023 9:00,211,12.32,5.458377,33.26642
6/14/2023 10:00,212,12.3,7.503469,33.24426
6/14/2023 11:00,213,12.3,5.457035,34.65925
6/14/2023 12:00,214,12.3,8.185738,33.90755
6/14/2023 13:00,215,12.32,7.503414,33.14481
6/14/2023 14:00,216,12.32,5.457028,24.53349
6/14/2023 15:00,217,12.32,8.185543,35.78679
6/14/2023 16:00,218,12.31,6.821285,35.58781
6/14/2023 17:00,219,12.32,5.458268,33.73164
6/14/2023 18:00,220,12.31,5.458243,23.02226
6/14/2023 19:00,221,12.31,8.187113,23.14765
6/14/2023 20:00,222,12.3,8.186937,23.31354
6/14/2023 21:00,223,12.29,8.187028,21.87672
6/14/2023 22:00,224,12.28,5.459597,20.67526
6/14/2023 23:00,225,12.27,8.189728,25.68723
6/15/2023 0:00,226,12.26,6.141756,25.85496
6/15/2023 1:00,227,12.26,5.459399,26.67595
6/15/2023 2:00,228,12.25,5.45926,26.09974
6/15/2023 3:00,229,12.24,6.141775,25.47008
6/15/2023 4:00,230,12.24,5.460154,26.01206
6/15/2023 5:00,231,12.23,5.460227,28.69761
6/15/2023 6:00,232,12.23,8.191134,31.39704
6/15/2023 7:00,233,12.23,7.508543,31.22918
6/15/2023 8:00,234,12.23,8.190955,31.03883
6/15/2023 9:00,235,12.26,5.459497,26.41725
6/15/2023 10:00,236,12.24,6.141251,26.53461
6/15/2023 11:00,237,12.24,8.188335,27.00968
6/15/2023 12:00,238,12.23,5.45889,26.05688
6/15/2023 13:00,239,12.23,7.505974,22.17564
6/15/2023 14:00,240,12.23,5.45889,17.58998
6/15/2023 15:00,241,12.21,5.45889,20.93219
6/15/2023 16:00,242,12.21,6.142252,21.49739
6/15/2023 17:00,243,12.2,8.191121,21.98495
6/15/2023 18:00,244,12.2,6.143344,21.57466
6/15/2023 19:00,245,12.19,5.460751,22.47027
6/15/2023 20:00,246,12.19,5.460751,23.2223
6/15/2023 21:00,247,12.18,6.143344,24.07334
6/15/2023 22:00,248,12.18,7.508532,24.74776
6/15/2023 23:00,249,12.18,6.825938,24.50453
6/16/2023 0:00,250,12.17,8.191126,23.91855
6/16/2023 1:00,251,12.17,6.143344,23.88538
6/16/2023 2:00,252,12.16,5.460751,24.01806
6/16/2023 3:00,253,12.16,8.191126,24.22812
6/16/2023 4:00,254,12.16,7.508532,24.59298
6/16/2023 5:00,255,12.15,8.191126,24.85833
6/16/2023 6:00,256,12.15,7.508532,24.59298
6/16/2023 7:00,257,12.15,6.14272,24.79199
6/16/2023 8:00,258,12.16,5.459498,25.1679
6/16/2023 9:00,259,12.16,8.188651,24.49346
6/16/2023 10:00,260,12.17,8.188335,26.46823
6/16/2023 11:00,261,12.17,8.188335,26.32431
6/16/2023 12:00,262,12.18,5.45889,25.65
6/16/2023 13:00,263,12.17,8.188335,25.74946
6/16/2023 14:00,264,12.16,7.505974,26.94333
6/16/2023 15:00,265,12.16,5.45889,25.64998
6/16/2023 16:00,266,12.17,7.505974,26.26902
6/16/2023 17:00,267,12.16,8.188335,25.71631
6/16/2023 18:00,268,12.15,6.823612,25.10832
6/16/2023 19:00,269,12.15,6.141251,25.20781
6/16/2023 20:00,270,12.14,8.188335,26.63381
6/16/2023 21:00,271,12.14,8.188335,26.44982
6/16/2023 22:00,272,12.13,5.45892,26.26245
6/16/2023 23:00,273,12.13,8.189476,25.70964
6/17/2023 0:00,274,12.12,8.190205,26.42829
6/17/2023 1:00,275,12.12,8.190616,26.54991
6/17/2023 2:00,276,12.12,5.460407,27.34596
6/17/2023 3:00,277,12.11,6.142689,29.40241
6/17/2023 4:00,278,12.1,7.508205,31.5252
6/17/2023 5:00,279,12.1,5.460195,31.11612
6/17/2023 6:00,280,12.09,8.190746,31.87899
6/17/2023 7:00,281,12.09,5.46043,27.2354
6/17/2023 8:00,282,12.09,5.460484,30.50803
6/17/2023 9:00,283,12.09,8.189157,30.04367
6/17/2023 10:00,284,12.09,5.458905,29.94416
6/17/2023 11:00,285,12.1,8.188335,25.70964
6/17/2023 12:00,286,12.12,8.188335,27.95133
6/17/2023 13:00,287,12.11,5.45889,27.73926
6/17/2023 14:00,288,12.11,5.45889,30.25965
6/17/2023 15:00,289,12.1,6.141251,35.07933
6/17/2023 16:00,290,12.1,8.188335,35.76327
6/17/2023 17:00,291,12.09,6.823612,33.93768
6/17/2023 18:00,292,12.09,6.141251,30.30217
6/17/2023 19:00,293,12.08,8.188335,28.42461
6/17/2023 20:00,294,12.08,5.45889,28.6457
6/17/2023 21:00,295,12.07,7.505974,29.06948
6/17/2023 22:00,296,12.07,5.459157,29.49086
6/17/2023 23:00,297,12.07,5.459669,30.2869
6/18/2023 0:00,298,12.06,7.507735,30.98344
6/18/2023 1:00,299,12.05,5.459593,31.54731
6/18/2023 2:00,300,12.05,5.460269,33.05095
6/18/2023 3:00,301,12.04,5.45966,32.85194
6/18/2023 4:00,302,12.04,8.190357,32.7856
6/18/2023 5:00,303,12.03,5.460164,32.67504
6/18/2023 6:00,304,12.03,8.190969,22.50335
6/18/2023 7:00,305,12.03,8.19102,36.78794
6/18/2023 8:00,306,12.03,5.460632,34.88628
6/18/2023 9:00,307,12.03,5.459646,35.21796
6/18/2023 10:00,308,12.03,6.82362,33.28312
6/18/2023 11:00,309,12.04,8.188335,35.44434
6/18/2023 12:00,310,12.05,5.45889,34.07339
6/18/2023 13:00,311,12.05,7.505974,33.35486
6/18/2023 14:00,312,12.04,8.188335,34.21709
6/18/2023 15:00,313,12.04,5.45889,33.69754
6/18/2023 16:00,314,12.03,8.188335,34.43818
6/18/2023 17:00,315,12.03,5.45889,34.39396
6/18/2023 18:00,316,12.03,6.141251,32.58105
6/18/2023 19:00,317,12.02,5.45889,33.21115
6/18/2023 20:00,318,12.01,8.188335,24.01396
6/18/2023 21:00,319,12.01,5.45889,33.10404
6/18/2023 22:00,320,12,7.505974,35.40592
6/18/2023 23:00,321,12,6.141361,35.6046
6/19/2023 0:00,322,11.99,8.189627,22.86819
6/19/2023 1:00,323,11.99,8.189855,34.49931
