"Plot Title: Bradford13_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10926097, SEN S/N: 10926097)","Temp, °F (LGR S/N: 10926097, SEN S/N: 10926097)","Coupler Attached (LGR S/N: 10926097, SEN S/N: 10926097)","Coupler Detached (LGR S/N: 10926097, SEN S/N: 10926097)","Host Connected (LGR S/N: 10926097, SEN S/N: 10926097)","End Of File (LGR S/N: 10926097, SEN S/N: 10926097)"
44,04/20/24 12:00:00 PM,6.48,73.65,,,,
45,04/20/24 01:00:00 PM,6.63,75.49,,,,
46,04/20/24 02:00:00 PM,6.43,76.32,,,,
47,04/20/24 03:00:00 PM,6.53,76.17,,,,
48,04/20/24 04:00:00 PM,6.37,75.67,,,,
49,04/20/24 05:00:00 PM,6.19,74.95,,,,
50,04/20/24 06:00:00 PM,6.07,74.41,,,,
51,04/20/24 07:00:00 PM,6.07,73.11,,,,
52,04/20/24 08:00:00 PM,6.08,71.82,,,,
53,04/20/24 09:00:00 PM,6.09,70.88,,,,
54,04/20/24 10:00:00 PM,6.19,69.91,,,,
55,04/20/24 11:00:00 PM,6.16,69.01,,,,
56,04/21/24 12:00:00 AM,6.22,68.25,,,,
57,04/21/24 01:00:00 AM,6.22,67.57,,,,
58,04/21/24 02:00:00 AM,6.25,66.99,,,,
59,04/21/24 03:00:00 AM,6.41,66.45,,,,
60,04/21/24 04:00:00 AM,6.45,66.20,,,,
61,04/21/24 05:00:00 AM,6.49,66.56,,,,
62,04/21/24 06:00:00 AM,6.55,66.74,,,,
63,04/21/24 07:00:00 AM,6.61,66.92,,,,
64,04/21/24 08:00:00 AM,6.69,67.86,,,,
65,04/21/24 09:00:00 AM,6.71,69.26,,,,
66,04/21/24 10:00:00 AM,6.72,70.34,,,,
67,04/21/24 11:00:00 AM,6.68,71.38,,,,
68,04/21/24 12:00:00 PM,6.65,72.10,,,,
69,04/21/24 01:00:00 PM,6.66,74.23,,,,
70,04/21/24 02:00:00 PM,6.62,75.02,,,,
71,04/21/24 03:00:00 PM,6.63,74.62,,,,
72,04/21/24 04:00:00 PM,6.54,74.12,,,,
73,04/21/24 05:00:00 PM,6.35,73.22,,,,
74,04/21/24 06:00:00 PM,6.34,71.89,,,,
75,04/21/24 07:00:00 PM,6.26,71.60,,,,
76,04/21/24 08:00:00 PM,6.25,69.08,,,,
77,04/21/24 09:00:00 PM,6.10,68.61,,,,
78,04/21/24 10:00:00 PM,6.19,67.60,,,,
79,04/21/24 11:00:00 PM,6.31,66.78,,,,
80,04/22/24 12:00:00 AM,6.13,66.38,,,,
81,04/22/24 01:00:00 AM,6.38,65.70,,,,
82,04/22/24 02:00:00 AM,6.69,64.94,,,,
83,04/22/24 03:00:00 AM,6.94,64.15,,,,
84,04/22/24 04:00:00 AM,7.12,63.54,,,,
85,04/22/24 05:00:00 AM,7.16,63.21,,,,
86,04/22/24 06:00:00 AM,7.19,62.82,,,,
87,04/22/24 07:00:00 AM,7.23,62.53,,,,
88,04/22/24 08:00:00 AM,7.34,62.92,,,,
89,04/22/24 09:00:00 AM,7.31,63.79,,,,
90,04/22/24 10:00:00 AM,7.28,64.65,,,,
91,04/22/24 11:00:00 AM,7.34,65.95,,,,
92,04/22/24 12:00:00 PM,7.34,67.24,,,,
93,04/22/24 01:00:00 PM,7.26,68.11,,,,
94,04/22/24 02:00:00 PM,7.29,69.62,,,,
95,04/22/24 03:00:00 PM,7.29,68.50,,,,
96,04/22/24 04:00:00 PM,7.18,68.25,,,,
97,04/22/24 05:00:00 PM,7.10,67.75,,,,
98,04/22/24 06:00:00 PM,6.81,68.54,,,,
99,04/22/24 07:00:00 PM,6.96,65.59,,,,
100,04/22/24 08:00:00 PM,7.06,63.97,,,,
101,04/22/24 09:00:00 PM,7.20,62.28,,,,
102,04/22/24 10:00:00 PM,7.33,60.84,,,,
103,04/22/24 11:00:00 PM,7.45,59.83,,,,
104,04/23/24 12:00:00 AM,7.54,58.89,,,,
105,04/23/24 01:00:00 AM,7.63,57.96,,,,
106,04/23/24 02:00:00 AM,7.71,57.13,,,,
107,04/23/24 03:00:00 AM,7.82,56.62,,,,
108,04/23/24 04:00:00 AM,7.61,56.16,,,,
109,04/23/24 05:00:00 AM,7.16,55.51,,,,
110,04/23/24 06:00:00 AM,7.60,55.04,,,,
111,04/23/24 07:00:00 AM,8.06,55.87,,,,
112,04/23/24 08:00:00 AM,7.83,59.00,,,,
113,04/23/24 09:00:00 AM,7.70,61.27,,,,
114,04/23/24 10:00:00 AM,7.62,63.03,,,,
115,04/23/24 11:00:00 AM,7.64,64.44,,,,
116,04/23/24 12:00:00 PM,7.60,66.34,,,,
117,04/23/24 01:00:00 PM,7.57,68.40,,,,
118,04/23/24 02:00:00 PM,7.32,70.99,,,,
119,04/23/24 03:00:00 PM,7.45,69.73,,,,
120,04/23/24 04:00:00 PM,7.32,68.90,,,,
121,04/23/24 05:00:00 PM,7.16,68.32,,,,
122,04/23/24 06:00:00 PM,6.72,69.73,,,,
123,04/23/24 07:00:00 PM,6.87,66.34,,,,
124,04/23/24 08:00:00 PM,6.97,64.29,,,,
125,04/23/24 09:00:00 PM,6.99,63.28,,,,
126,04/23/24 10:00:00 PM,6.92,63.00,,,,
127,04/23/24 11:00:00 PM,6.99,61.63,,,,
128,04/24/24 12:00:00 AM,6.95,60.91,,,,
129,04/24/24 01:00:00 AM,6.94,60.08,,,,
130,04/24/24 02:00:00 AM,7.07,59.11,,,,
131,04/24/24 03:00:00 AM,7.22,58.10,,,,
132,04/24/24 04:00:00 AM,7.58,57.60,,,,
133,04/24/24 05:00:00 AM,7.67,57.09,,,,
134,04/24/24 06:00:00 AM,7.73,56.66,,,,
135,04/24/24 07:00:00 AM,7.84,56.91,,,,
136,04/24/24 08:00:00 AM,7.63,60.04,,,,
137,04/24/24 09:00:00 AM,7.47,62.96,,,,
138,04/24/24 10:00:00 AM,7.38,65.16,,,,
139,04/24/24 11:00:00 AM,7.05,66.60,,,,
140,04/24/24 12:00:00 PM,7.56,68.68,,,,
141,04/24/24 01:00:00 PM,7.55,70.34,,,,
142,04/24/24 02:00:00 PM,7.46,70.84,,,,
143,04/24/24 03:00:00 PM,7.33,71.31,,,,
144,04/24/24 04:00:00 PM,7.25,71.13,,,,
145,04/24/24 05:00:00 PM,6.89,69.91,,,,
146,04/24/24 06:00:00 PM,6.55,71.28,,,,
147,04/24/24 07:00:00 PM,6.75,67.82,,,,
148,04/24/24 08:00:00 PM,6.88,65.52,,,,
149,04/24/24 09:00:00 PM,6.96,63.68,,,,
150,04/24/24 10:00:00 PM,7.01,62.89,,,,
151,04/24/24 11:00:00 PM,7.01,62.35,,,,
152,04/25/24 12:00:00 AM,7.09,61.41,,,,
153,04/25/24 01:00:00 AM,7.21,60.58,,,,
154,04/25/24 02:00:00 AM,7.24,60.15,,,,
155,04/25/24 03:00:00 AM,7.21,59.32,,,,
156,04/25/24 04:00:00 AM,7.29,58.71,,,,
157,04/25/24 05:00:00 AM,7.52,58.03,,,,
158,04/25/24 06:00:00 AM,7.57,58.03,,,,
159,04/25/24 07:00:00 AM,7.58,58.64,,,,
160,04/25/24 08:00:00 AM,7.42,61.66,,,,
161,04/25/24 09:00:00 AM,7.26,64.36,,,,
162,04/25/24 10:00:00 AM,7.22,66.67,,,,
163,04/25/24 11:00:00 AM,7.23,68.22,,,,
164,04/25/24 12:00:00 PM,7.34,70.27,,,,
165,04/25/24 01:00:00 PM,7.21,72.68,,,,
166,04/25/24 02:00:00 PM,7.12,74.80,,,,
167,04/25/24 03:00:00 PM,7.07,73.11,,,,
168,04/25/24 04:00:00 PM,6.99,72.46,,,,
169,04/25/24 05:00:00 PM,6.76,72.07,,,,
170,04/25/24 06:00:00 PM,6.40,73.08,,,,
171,04/25/24 07:00:00 PM,6.45,70.02,,,,
172,04/25/24 08:00:00 PM,6.50,67.96,,,,
173,04/25/24 09:00:00 PM,6.40,67.32,,,,
174,04/25/24 10:00:00 PM,6.46,66.67,,,,
175,04/25/24 11:00:00 PM,6.50,65.59,,,,
176,04/26/24 12:00:00 AM,6.41,64.54,,,,
177,04/26/24 01:00:00 AM,6.70,63.93,,,,
178,04/26/24 02:00:00 AM,6.62,62.96,,,,
179,04/26/24 03:00:00 AM,6.81,62.49,,,,
180,04/26/24 04:00:00 AM,6.85,62.42,,,,
181,04/26/24 05:00:00 AM,6.92,62.24,,,,
182,04/26/24 06:00:00 AM,6.99,62.02,,,,
183,04/26/24 07:00:00 AM,6.96,62.89,,,,
184,04/26/24 08:00:00 AM,6.86,65.34,,,,
185,04/26/24 09:00:00 AM,6.92,67.75,,,,
186,04/26/24 10:00:00 AM,7.04,69.33,,,,
187,04/26/24 11:00:00 AM,7.14,70.41,,,,
188,04/26/24 12:00:00 PM,7.18,72.43,,,,
189,04/26/24 01:00:00 PM,7.18,74.12,,,,
190,04/26/24 02:00:00 PM,7.10,75.34,,,,
191,04/26/24 03:00:00 PM,7.00,73.76,,,,
192,04/26/24 04:00:00 PM,6.65,74.95,,,,
193,04/26/24 05:00:00 PM,6.82,72.90,,,,
194,04/26/24 06:00:00 PM,6.21,74.70,,,,
195,04/26/24 07:00:00 PM,6.28,70.88,,,,
196,04/26/24 08:00:00 PM,6.36,69.01,,,,
197,04/26/24 09:00:00 PM,6.36,67.60,,,,
198,04/26/24 10:00:00 PM,6.41,66.31,,,,
199,04/26/24 11:00:00 PM,6.58,65.01,,,,
200,04/27/24 12:00:00 AM,6.65,63.57,,,,
201,04/27/24 01:00:00 AM,6.57,63.32,,,,
202,04/27/24 02:00:00 AM,6.57,63.75,,,,
203,04/27/24 03:00:00 AM,6.53,63.57,,,,
204,04/27/24 04:00:00 AM,6.37,64.22,,,,
205,04/27/24 05:00:00 AM,6.32,64.40,,,,
206,04/27/24 06:00:00 AM,6.53,63.97,,,,
207,04/27/24 07:00:00 AM,6.51,65.08,,,,
208,04/27/24 08:00:00 AM,6.48,67.35,,,,
209,04/27/24 09:00:00 AM,6.45,67.17,,,,
210,04/27/24 10:00:00 AM,6.69,67.42,,,,
211,04/27/24 11:00:00 AM,6.80,67.75,,,,
212,04/27/24 12:00:00 PM,6.92,68.68,,,,
213,04/27/24 01:00:00 PM,7.03,71.82,,,,
214,04/27/24 02:00:00 PM,7.09,72.07,,,,
215,04/27/24 03:00:00 PM,7.14,72.57,,,,
216,04/27/24 04:00:00 PM,7.08,71.85,,,,
217,04/27/24 05:00:00 PM,6.96,71.06,,,,
218,04/27/24 06:00:00 PM,6.82,70.52,,,,
219,04/27/24 07:00:00 PM,6.65,69.33,,,,
220,04/27/24 08:00:00 PM,6.60,68.36,,,,
221,04/27/24 09:00:00 PM,6.54,68.00,,,,
222,04/27/24 10:00:00 PM,6.49,67.64,,,,
223,04/27/24 11:00:00 PM,6.49,67.32,,,,
224,04/28/24 12:00:00 AM,6.49,67.06,,,,
225,04/28/24 01:00:00 AM,6.54,66.60,,,,
226,04/28/24 02:00:00 AM,6.65,65.41,,,,
227,04/28/24 03:00:00 AM,6.73,64.47,,,,
228,04/28/24 04:00:00 AM,6.79,63.93,,,,
229,04/28/24 05:00:00 AM,6.74,63.82,,,,
230,04/28/24 06:00:00 AM,6.86,63.57,,,,
231,04/28/24 07:00:00 AM,6.92,63.75,,,,
232,04/28/24 08:00:00 AM,6.82,65.88,,,,
233,04/28/24 09:00:00 AM,6.94,67.78,,,,
234,04/28/24 10:00:00 AM,7.07,69.48,,,,
235,04/28/24 11:00:00 AM,7.19,71.02,,,,
236,04/28/24 12:00:00 PM,7.30,72.36,,,,
237,04/28/24 01:00:00 PM,7.33,74.34,,,,
238,04/28/24 02:00:00 PM,7.34,74.34,,,,
239,04/28/24 03:00:00 PM,7.21,74.77,,,,
240,04/28/24 04:00:00 PM,7.13,73.36,,,,
241,04/28/24 05:00:00 PM,6.92,72.64,,,,
242,04/28/24 06:00:00 PM,6.51,72.72,,,,
243,04/28/24 07:00:00 PM,6.48,70.09,,,,
244,04/28/24 08:00:00 PM,6.56,68.11,,,,
245,04/28/24 09:00:00 PM,6.37,67.32,,,,
246,04/28/24 10:00:00 PM,6.46,65.73,,,,
247,04/28/24 11:00:00 PM,6.67,63.64,,,,
248,04/29/24 12:00:00 AM,6.83,62.31,,,,
249,04/29/24 01:00:00 AM,6.84,62.02,,,,
250,04/29/24 02:00:00 AM,6.80,61.63,,,,
251,04/29/24 03:00:00 AM,6.92,60.62,,,,
252,04/29/24 04:00:00 AM,7.01,59.90,,,,
253,04/29/24 05:00:00 AM,7.07,59.43,,,,
254,04/29/24 06:00:00 AM,7.17,58.82,,,,
255,04/29/24 07:00:00 AM,7.12,59.72,,,,
256,04/29/24 08:00:00 AM,6.74,64.00,,,,
257,04/29/24 09:00:00 AM,6.70,67.82,,,,
258,04/29/24 10:00:00 AM,6.85,69.91,,,,
259,04/29/24 11:00:00 AM,6.95,71.20,,,,
260,04/29/24 12:00:00 PM,7.04,73.80,,,,
261,04/29/24 01:00:00 PM,7.09,75.02,,,,
262,04/29/24 02:00:00 PM,7.07,77.25,,,,
263,04/29/24 03:00:00 PM,6.92,76.57,,,,
264,04/29/24 04:00:00 PM,6.73,75.38,,,,
265,04/29/24 05:00:00 PM,6.63,74.98,,,,
266,04/29/24 06:00:00 PM,6.26,74.37,,,,
267,04/29/24 07:00:00 PM,6.22,71.74,,,,
268,04/29/24 08:00:00 PM,6.26,69.94,,,,
269,04/29/24 09:00:00 PM,6.15,69.37,,,,
270,04/29/24 10:00:00 PM,6.08,68.83,,,,
271,04/29/24 11:00:00 PM,6.13,68.50,,,,
272,04/30/24 12:00:00 AM,6.20,67.86,,,,
273,04/30/24 01:00:00 AM,6.24,67.17,,,,
274,04/30/24 02:00:00 AM,6.31,65.59,,,,
275,04/30/24 03:00:00 AM,6.47,64.44,,,,
276,04/30/24 04:00:00 AM,6.58,63.57,,,,
277,04/30/24 05:00:00 AM,6.53,63.25,,,,
278,04/30/24 06:00:00 AM,6.43,64.22,,,,
279,04/30/24 07:00:00 AM,6.31,66.13,,,,
280,04/30/24 08:00:00 AM,6.15,68.72,,,,
281,04/30/24 09:00:00 AM,6.32,71.10,,,,
282,04/30/24 10:00:00 AM,6.55,72.61,,,,
283,04/30/24 11:00:00 AM,6.80,73.69,,,,
284,04/30/24 12:00:00 PM,7.04,75.42,,,,
285,04/30/24 01:00:00 PM,7.12,76.89,,,,
286,04/30/24 02:00:00 PM,7.08,77.65,,,,
287,04/30/24 03:00:00 PM,6.93,78.73,,,,
288,04/30/24 04:00:00 PM,6.86,77.07,,,,
289,04/30/24 05:00:00 PM,6.44,76.14,,,,
290,04/30/24 06:00:00 PM,6.07,76.39,,,,
291,04/30/24 07:00:00 PM,5.98,73.26,,,,
292,04/30/24 08:00:00 PM,6.09,70.70,,,,
293,04/30/24 09:00:00 PM,5.96,69.98,,,,
294,04/30/24 10:00:00 PM,5.71,70.20,,,,
295,04/30/24 11:00:00 PM,5.75,70.30,,,,
296,05/01/24 12:00:00 AM,5.92,68.94,,,,
297,05/01/24 01:00:00 AM,5.95,67.17,,,,
298,05/01/24 02:00:00 AM,5.94,66.16,,,,
299,05/01/24 03:00:00 AM,6.17,65.44,,,,
300,05/01/24 04:00:00 AM,6.29,64.36,,,,
301,05/01/24 05:00:00 AM,6.26,63.57,,,,
302,05/01/24 06:00:00 AM,6.41,63.10,,,,
303,05/01/24 07:00:00 AM,6.38,64.11,,,,
304,05/01/24 08:00:00 AM,6.11,67.78,,,,
305,05/01/24 09:00:00 AM,5.94,70.70,,,,
306,05/01/24 10:00:00 AM,6.20,73.08,,,,
307,05/01/24 11:00:00 AM,6.38,74.41,,,,
308,05/01/24 12:00:00 PM,6.71,77.40,,,,
309,05/01/24 01:00:00 PM,6.83,78.94,,,,
310,05/01/24 02:00:00 PM,6.76,79.16,,,,
311,05/01/24 03:00:00 PM,6.57,78.30,,,,
312,05/01/24 04:00:00 PM,6.44,78.37,,,,
313,05/01/24 05:00:00 PM,6.22,77.00,,,,
314,05/01/24 06:00:00 PM,6.06,75.60,,,,
315,05/01/24 07:00:00 PM,5.86,74.12,,,,
316,05/01/24 08:00:00 PM,5.71,72.93,,,,
317,05/01/24 09:00:00 PM,5.68,72.39,,,,
318,05/01/24 10:00:00 PM,5.66,70.70,,,,
319,05/01/24 11:00:00 PM,5.77,69.22,,,,
320,05/02/24 12:00:00 AM,5.88,68.11,,,,
321,05/02/24 01:00:00 AM,5.94,67.32,,,,
322,05/02/24 02:00:00 AM,6.03,66.63,,,,
323,05/02/24 03:00:00 AM,5.96,65.77,,,,
324,05/02/24 04:00:00 AM,5.99,65.16,,,,
325,05/02/24 05:00:00 AM,6.10,64.87,,,,
326,05/02/24 06:00:00 AM,6.17,64.80,,,,
327,05/02/24 07:00:00 AM,6.04,66.42,,,,
328,05/02/24 08:00:00 AM,5.90,69.84,,,,
329,05/02/24 09:00:00 AM,5.84,72.86,,,,
330,05/02/24 10:00:00 AM,6.02,76.10,,,,
331,05/02/24 11:00:00 AM,6.30,76.96,,,,
332,05/02/24 12:00:00 PM,6.46,79.34,,,,
333,05/02/24 01:00:00 PM,6.84,80.49,,,,
334,05/02/24 02:00:00 PM,6.62,81.82,,,,
335,05/02/24 03:00:00 PM,6.73,80.82,,,,
336,05/02/24 04:00:00 PM,6.42,79.74,,,,
337,05/02/24 05:00:00 PM,6.31,78.33,,,,
338,05/02/24 06:00:00 PM,6.03,79.20,,,,
339,05/02/24 07:00:00 PM,5.99,75.20,,,,
340,05/02/24 08:00:00 PM,5.99,73.76,,,,
341,05/02/24 09:00:00 PM,5.79,72.50,,,,
342,05/02/24 10:00:00 PM,5.63,72.18,,,,
343,05/02/24 11:00:00 PM,5.24,71.42,,,,
344,05/03/24 12:00:00 AM,5.39,70.84,,,,
345,05/03/24 01:00:00 AM,5.48,69.76,,,,
346,05/03/24 02:00:00 AM,5.69,68.36,,,,
347,05/03/24 03:00:00 AM,5.79,67.78,,,,
348,05/03/24 04:00:00 AM,5.78,66.99,,,,
349,05/03/24 05:00:00 AM,5.90,66.24,,,,
350,05/03/24 06:00:00 AM,5.99,65.62,,,,
351,05/03/24 07:00:00 AM,5.95,67.28,,,,
352,05/03/24 08:00:00 AM,5.74,70.66,,,,
353,05/03/24 09:00:00 AM,5.62,73.94,,,,
354,05/03/24 10:00:00 AM,5.97,75.81,,,,
355,05/03/24 11:00:00 AM,6.13,77.04,,,,
356,05/03/24 12:00:00 PM,6.30,79.45,,,,
357,05/03/24 01:00:00 PM,6.69,80.64,,,,
358,05/03/24 02:00:00 PM,6.50,83.55,,,,
359,05/03/24 03:00:00 PM,6.30,81.79,,,,
360,05/03/24 04:00:00 PM,6.29,80.85,,,,
361,05/03/24 05:00:00 PM,6.06,78.37,,,,
362,05/03/24 06:00:00 PM,6.15,77.29,,,,
363,05/03/24 07:00:00 PM,5.85,76.39,,,,
364,05/03/24 08:00:00 PM,5.58,74.70,,,,
365,05/03/24 09:00:00 PM,5.63,74.01,,,,
366,05/03/24 10:00:00 PM,5.62,73.04,,,,
367,05/03/24 11:00:00 PM,5.49,71.42,,,,
368,05/04/24 12:00:00 AM,5.25,70.63,,,,
369,05/04/24 01:00:00 AM,5.46,70.34,,,,
370,05/04/24 02:00:00 AM,5.58,69.01,,,,
371,05/04/24 03:00:00 AM,5.67,67.89,,,,
372,05/04/24 04:00:00 AM,5.55,67.68,,,,
373,05/04/24 05:00:00 AM,5.65,67.57,,,,
374,05/04/24 06:00:00 AM,5.71,67.35,,,,
375,05/04/24 07:00:00 AM,5.56,69.01,,,,
376,05/04/24 08:00:00 AM,5.61,70.52,,,,
377,05/04/24 09:00:00 AM,5.74,73.08,,,,
378,05/04/24 10:00:00 AM,5.61,75.74,,,,
379,05/04/24 11:00:00 AM,6.42,77.29,,,,
380,05/04/24 12:00:00 PM,6.69,78.30,,,,
381,05/04/24 01:00:00 PM,6.79,80.71,,,,
382,05/04/24 02:00:00 PM,7.05,80.85,,,,
383,05/04/24 03:00:00 PM,6.86,79.84,,,,
384,05/04/24 04:00:00 PM,6.68,78.76,,,,
385,05/04/24 05:00:00 PM,6.49,78.69,,,,
386,05/04/24 06:00:00 PM,6.08,78.66,,,,
387,05/04/24 07:00:00 PM,5.95,76.60,,,,
388,05/04/24 08:00:00 PM,5.78,74.30,,,,
389,05/04/24 09:00:00 PM,5.61,72.79,,,,
390,05/04/24 10:00:00 PM,5.40,71.78,,,,
391,05/04/24 11:00:00 PM,5.44,70.56,,,,
392,05/05/24 12:00:00 AM,5.24,69.73,,,,
393,05/05/24 01:00:00 AM,5.41,68.32,,,,
394,05/05/24 02:00:00 AM,5.47,67.53,,,,
395,05/05/24 03:00:00 AM,5.46,66.85,,,,
396,05/05/24 04:00:00 AM,5.43,66.16,,,,
397,05/05/24 05:00:00 AM,5.34,65.66,,,,
398,05/05/24 06:00:00 AM,5.42,65.44,,,,
399,05/05/24 07:00:00 AM,5.83,67.17,,,,
400,05/05/24 08:00:00 AM,5.67,71.74,,,,
401,05/05/24 09:00:00 AM,5.44,76.14,,,,
402,05/05/24 10:00:00 AM,5.92,77.90,,,,
403,05/05/24 11:00:00 AM,6.13,77.94,,,,
404,05/05/24 12:00:00 PM,6.28,77.68,,,,
405,05/05/24 01:00:00 PM,6.43,82.29,,,,
406,05/05/24 02:00:00 PM,6.60,86.97,,,,
407,05/05/24 03:00:00 PM,6.65,83.30,,,,
408,05/05/24 04:00:00 PM,6.66,72.90,,,,
409,05/05/24 05:00:00 PM,5.29,73.98,,,,
410,05/05/24 06:00:00 PM,4.86,73.72,,,,
411,05/05/24 07:00:00 PM,5.04,73.08,,,,
412,05/05/24 08:00:00 PM,5.18,72.14,,,,
413,05/05/24 09:00:00 PM,5.29,71.53,,,,
414,05/05/24 10:00:00 PM,5.43,71.28,,,,
415,05/05/24 11:00:00 PM,5.56,70.63,,,,
416,05/06/24 12:00:00 AM,5.63,70.09,,,,
417,05/06/24 01:00:00 AM,5.49,69.98,,,,
418,05/06/24 02:00:00 AM,5.67,69.73,,,,
419,05/06/24 03:00:00 AM,5.59,69.15,,,,
420,05/06/24 04:00:00 AM,4.96,68.65,,,,
421,05/06/24 05:00:00 AM,5.81,68.50,,,,
422,05/06/24 06:00:00 AM,6.07,68.22,,,,
423,05/06/24 07:00:00 AM,6.13,68.86,,,,
424,05/06/24 08:00:00 AM,6.18,70.63,,,,
425,05/06/24 09:00:00 AM,6.15,72.75,,,,
426,05/06/24 10:00:00 AM,6.45,74.16,,,,
427,05/06/24 11:00:00 AM,6.58,74.95,,,,
428,05/06/24 12:00:00 PM,6.79,76.75,,,,
429,05/06/24 01:00:00 PM,7.00,78.80,,,,
430,05/06/24 02:00:00 PM,6.94,80.06,,,,
431,05/06/24 03:00:00 PM,6.94,79.59,,,,
432,05/06/24 04:00:00 PM,6.60,79.34,,,,
433,05/06/24 05:00:00 PM,6.36,77.58,,,,
434,05/06/24 06:00:00 PM,6.12,76.68,,,,
435,05/06/24 07:00:00 PM,5.84,75.16,,,,
436,05/06/24 08:00:00 PM,5.75,74.12,,,,
437,05/06/24 09:00:00 PM,5.63,73.22,,,,
438,05/06/24 10:00:00 PM,5.58,72.64,,,,
439,05/06/24 11:00:00 PM,5.63,71.42,,,,
440,05/07/24 12:00:00 AM,5.71,70.63,,,,
441,05/07/24 01:00:00 AM,5.58,70.52,,,,
442,05/07/24 02:00:00 AM,5.67,69.94,,,,
443,05/07/24 03:00:00 AM,5.79,68.68,,,,
444,05/07/24 04:00:00 AM,5.91,68.04,,,,
445,05/07/24 05:00:00 AM,5.92,67.42,,,,
446,05/07/24 06:00:00 AM,5.96,67.35,,,,
447,05/07/24 07:00:00 AM,5.90,68.90,,,,
448,05/07/24 08:00:00 AM,5.60,71.82,,,,
449,05/07/24 09:00:00 AM,5.78,75.06,,,,
450,05/07/24 10:00:00 AM,6.11,76.64,,,,
451,05/07/24 11:00:00 AM,6.20,78.15,,,,
452,05/07/24 12:00:00 PM,6.49,80.02,,,,
453,05/07/24 01:00:00 PM,6.75,82.33,,,,
454,05/07/24 02:00:00 PM,6.91,83.19,,,,
455,05/07/24 03:00:00 PM,6.67,82.33,,,,
456,05/07/24 04:00:00 PM,6.36,81.32,,,,
457,05/07/24 05:00:00 PM,6.17,81.10,,,,
458,05/07/24 06:00:00 PM,5.48,79.66,,,,
459,05/07/24 07:00:00 PM,5.59,77.72,,,,
460,05/07/24 08:00:00 PM,5.48,75.60,,,,
461,05/07/24 09:00:00 PM,5.58,73.72,,,,
462,05/07/24 10:00:00 PM,5.40,72.25,,,,
463,05/07/24 11:00:00 PM,5.31,70.88,,,,
464,05/08/24 12:00:00 AM,5.18,69.69,,,,
465,05/08/24 01:00:00 AM,5.09,68.76,,,,
466,05/08/24 02:00:00 AM,5.30,67.75,,,,
467,05/08/24 03:00:00 AM,5.36,67.10,,,,
