"Plot Title: Bradford_7DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733142, SEN S/N: 10733142)","Temp, °F (LGR S/N: 10733142, SEN S/N: 10733142)","Coupler Attached (LGR S/N: 10733142, SEN S/N: 10733142)","Coupler Detached (LGR S/N: 10733142, SEN S/N: 10733142)","Host Connected (LGR S/N: 10733142, SEN S/N: 10733142)","Stopped (LGR S/N: 10733142, SEN S/N: 10733142)","End Of File (LGR S/N: 10733142, SEN S/N: 10733142)"
117,04/23/24 08:00:00 AM,0.79,61.88,,,,,
118,04/23/24 09:00:00 AM,0.57,62.17,,,,,
119,04/23/24 10:00:00 AM,0.14,62.46,,,,,
120,04/23/24 11:00:00 AM,-0.03,63.68,,,,,
121,04/23/24 12:00:00 PM,0.44,64.51,,,,,
122,04/23/24 01:00:00 PM,0.16,65.01,,,,,
123,04/23/24 02:00:00 PM,0.30,65.91,,,,,
124,04/23/24 03:00:00 PM,0.27,66.38,,,,,
125,04/23/24 04:00:00 PM,0.23,66.92,,,,,
126,04/23/24 05:00:00 PM,0.35,67.42,,,,,
127,04/23/24 06:00:00 PM,0.81,67.75,,,,,
128,04/23/24 07:00:00 PM,0.02,67.78,,,,,
129,04/23/24 08:00:00 PM,-0.03,67.60,,,,,
130,04/23/24 09:00:00 PM,0.71,67.24,,,,,
131,04/23/24 10:00:00 PM,0.05,66.81,,,,,
132,04/23/24 11:00:00 PM,0.78,66.31,,,,,
133,04/24/24 12:00:00 AM,0.90,65.80,,,,,
134,04/24/24 01:00:00 AM,0.90,65.26,,,,,
135,04/24/24 02:00:00 AM,0.88,64.72,,,,,
136,04/24/24 03:00:00 AM,0.88,64.22,,,,,
137,04/24/24 04:00:00 AM,0.91,63.68,,,,,
138,04/24/24 05:00:00 AM,0.87,63.03,,,,,
139,04/24/24 06:00:00 AM,0.82,62.67,,,,,
140,04/24/24 07:00:00 AM,0.80,62.42,,,,,
141,04/24/24 08:00:00 AM,0.80,62.56,,,,,
142,04/24/24 09:00:00 AM,0.41,63.07,,,,,
143,04/24/24 10:00:00 AM,0.18,63.68,,,,,
144,04/24/24 11:00:00 AM,1.02,65.01,,,,,
145,04/24/24 12:00:00 PM,0.88,65.59,,,,,
146,04/24/24 01:00:00 PM,0.35,65.98,,,,,
147,04/24/24 02:00:00 PM,1.34,66.96,,,,,
148,04/24/24 03:00:00 PM,0.92,67.39,,,,,
149,04/24/24 04:00:00 PM,1.08,67.93,,,,,
150,04/24/24 05:00:00 PM,0.43,68.22,,,,,
151,04/24/24 06:00:00 PM,0.31,68.50,,,,,
152,04/24/24 07:00:00 PM,0.03,68.65,,,,,
153,04/24/24 08:00:00 PM,0.02,68.50,,,,,
154,04/24/24 09:00:00 PM,0.15,68.22,,,,,
155,04/24/24 10:00:00 PM,0.17,67.89,,,,,
156,04/24/24 11:00:00 PM,0.06,67.42,,,,,
157,04/25/24 12:00:00 AM,1.00,66.96,,,,,
158,04/25/24 01:00:00 AM,0.99,66.45,,,,,
159,04/25/24 02:00:00 AM,1.14,65.88,,,,,
160,04/25/24 03:00:00 AM,1.09,65.48,,,,,
161,04/25/24 04:00:00 AM,1.06,64.98,,,,,
162,04/25/24 05:00:00 AM,1.05,64.47,,,,,
163,04/25/24 06:00:00 AM,0.87,64.11,,,,,
164,04/25/24 07:00:00 AM,0.85,63.86,,,,,
165,04/25/24 08:00:00 AM,0.36,64.00,,,,,
166,04/25/24 09:00:00 AM,0.19,64.69,,,,,
167,04/25/24 10:00:00 AM,0.05,65.19,,,,,
168,04/25/24 11:00:00 AM,0.85,66.74,,,,,
169,04/25/24 12:00:00 PM,0.88,67.39,,,,,
170,04/25/24 01:00:00 PM,0.70,67.82,,,,,
171,04/25/24 02:00:00 PM,0.79,68.94,,,,,
172,04/25/24 03:00:00 PM,1.64,69.44,,,,,
173,04/25/24 04:00:00 PM,0.75,69.84,,,,,
174,04/25/24 05:00:00 PM,0.48,70.20,,,,,
175,04/25/24 06:00:00 PM,0.52,70.38,,,,,
176,04/25/24 07:00:00 PM,0.47,70.41,,,,,
177,04/25/24 08:00:00 PM,0.35,70.30,,,,,
178,04/25/24 09:00:00 PM,0.12,70.12,,,,,
179,04/25/24 10:00:00 PM,-0.03,69.94,,,,,
180,04/25/24 11:00:00 PM,-0.03,69.69,,,,,
181,04/26/24 12:00:00 AM,-0.03,69.40,,,,,
182,04/26/24 01:00:00 AM,-0.03,69.08,,,,,
183,04/26/24 02:00:00 AM,0.68,68.68,,,,,
184,04/26/24 03:00:00 AM,0.59,68.25,,,,,
185,04/26/24 04:00:00 AM,1.06,67.93,,,,,
186,04/26/24 05:00:00 AM,1.28,67.53,,,,,
187,04/26/24 06:00:00 AM,0.96,67.17,,,,,
188,04/26/24 07:00:00 AM,0.28,66.99,,,,,
189,04/26/24 08:00:00 AM,0.06,67.17,,,,,
190,04/26/24 09:00:00 AM,0.26,67.75,,,,,
191,04/26/24 10:00:00 AM,0.88,68.36,,,,,
192,04/26/24 11:00:00 AM,0.91,69.80,,,,,
193,04/26/24 12:00:00 PM,0.41,70.48,,,,,
194,04/26/24 01:00:00 PM,0.48,70.41,,,,,
