MiniDOT Logger Concatenated Data File
Sensor:             7450-866812
Concatenation Date: 2024Feb13 09:18:08 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1688954400,           2023-07-10 02:00:00,           2023-07-09 22:00:00,      3.490000,     25.646000,          0.192000,                     2.351316,      0.982000
                1688958000,           2023-07-10 03:00:00,           2023-07-09 23:00:00,      3.490000,     25.604000,          0.503000,                     6.155236,      0.987000
                1688961600,           2023-07-10 04:00:00,           2023-07-10 00:00:00,      3.490000,     25.536000,          0.417000,                     5.096512,      0.986000
                1688965200,           2023-07-10 05:00:00,           2023-07-10 01:00:00,      3.480000,     25.486000,          0.451000,                     5.507016,      0.986000
                1688968800,           2023-07-10 06:00:00,           2023-07-10 02:00:00,      3.480000,     25.452000,          0.451000,                     5.503590,      0.987000
                1688972400,           2023-07-10 07:00:00,           2023-07-10 03:00:00,      3.480000,     25.401000,          0.464000,                     5.656944,      0.987000
                1688976000,           2023-07-10 08:00:00,           2023-07-10 04:00:00,      3.480000,     25.342000,          0.408000,                     4.968834,      0.986000
                1688979600,           2023-07-10 09:00:00,           2023-07-10 05:00:00,      3.480000,     25.325000,          0.474000,                     5.770816,      0.987000
                1688983200,           2023-07-10 10:00:00,           2023-07-10 06:00:00,      3.480000,     25.292000,          0.381000,                     4.635760,      0.986000
                1688986800,           2023-07-10 11:00:00,           2023-07-10 07:00:00,      3.480000,     25.267000,          0.372000,                     4.524178,      0.985000
                1688990400,           2023-07-10 12:00:00,           2023-07-10 08:00:00,      3.480000,     25.258000,          0.261000,                     3.173697,      0.983000
                1688994000,           2023-07-10 13:00:00,           2023-07-10 09:00:00,      3.480000,     25.258000,          0.216000,                     2.626508,      0.982000
                1688997600,           2023-07-10 14:00:00,           2023-07-10 10:00:00,      3.480000,     25.292000,          0.183000,                     2.226625,      0.982000
                1689001200,           2023-07-10 15:00:00,           2023-07-10 11:00:00,      3.480000,     25.351000,          0.140000,                     1.705273,      0.981000
