"Plot Title: Bradford_15con"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342064, SEN S/N: 20342064)","Temp, °F (LGR S/N: 20342064, SEN S/N: 20342064)","Stopped (LGR S/N: 20342064, SEN S/N: 20342064)","End Of File (LGR S/N: 20342064, SEN S/N: 20342064)"
103,03/03/25 06:00:00 PM,86.6,61.05,,
104,03/03/25 07:00:00 PM,86.3,60.51,,
105,03/03/25 08:00:00 PM,85.6,59.95,,
106,03/03/25 09:00:00 PM,85.2,59.43,,
107,03/03/25 10:00:00 PM,84.9,58.96,,
108,03/03/25 11:00:00 PM,84.2,58.46,,
109,03/04/25 12:00:00 AM,83.8,57.99,,
110,03/04/25 01:00:00 AM,83.1,57.56,,
111,03/04/25 02:00:00 AM,82.8,57.07,,
112,03/04/25 03:00:00 AM,82.0,56.64,,
113,03/04/25 04:00:00 AM,81.7,56.28,,
114,03/04/25 05:00:00 AM,81.3,55.94,,
115,03/04/25 06:00:00 AM,81.3,55.67,,
116,03/04/25 07:00:00 AM,81.3,55.51,,
117,03/04/25 08:00:00 AM,81.0,55.71,,
118,03/04/25 09:00:00 AM,81.7,56.64,,
119,03/04/25 10:00:00 AM,83.1,58.10,,
120,03/04/25 11:00:00 AM,84.8,59.97,,
121,03/04/25 12:00:00 PM,86.6,61.66,,
122,03/04/25 01:00:00 PM,88.0,63.09,,
123,03/04/25 02:00:00 PM,89.8,64.56,,
124,03/04/25 03:00:00 PM,90.1,65.08,,
125,03/04/25 04:00:00 PM,90.4,65.32,,
126,03/04/25 05:00:00 PM,90.4,65.41,,
127,03/04/25 06:00:00 PM,90.1,64.98,,
128,03/04/25 07:00:00 PM,89.8,64.40,,
129,03/04/25 08:00:00 PM,89.1,63.86,,
130,03/04/25 09:00:00 PM,88.7,63.43,,
131,03/04/25 10:00:00 PM,88.0,63.03,,
132,03/04/25 11:00:00 PM,87.6,62.73,,
133,03/05/25 12:00:00 AM,87.6,62.49,,
134,03/05/25 01:00:00 AM,87.7,62.28,,
135,03/05/25 02:00:00 AM,87.7,62.17,,
136,03/05/25 03:00:00 AM,87.7,62.15,,
137,03/05/25 04:00:00 AM,87.7,62.17,,
138,03/05/25 05:00:00 AM,87.7,62.06,,
139,03/05/25 06:00:00 AM,87.7,62.01,,
140,03/05/25 07:00:00 AM,87.7,62.04,,
141,03/05/25 08:00:00 AM,87.7,62.31,,
142,03/05/25 09:00:00 AM,88.0,62.98,,
143,03/05/25 10:00:00 AM,88.7,63.48,,
144,03/05/25 11:00:00 AM,86.9,63.50,,
145,03/05/25 12:00:00 PM,87.6,64.11,,
146,03/05/25 01:00:00 PM,89.7,65.61,,
147,03/05/25 02:00:00 PM,91.8,67.12,,
148,03/05/25 03:00:00 PM,92.2,67.82,,
149,03/05/25 04:00:00 PM,91.4,67.50,,
150,03/05/25 05:00:00 PM,90.7,66.69,,
151,03/05/25 06:00:00 PM,90.1,65.43,,
152,03/05/25 07:00:00 PM,89.0,64.29,,
153,03/05/25 08:00:00 PM,88.3,63.41,,
154,03/05/25 09:00:00 PM,87.3,62.62,,
155,03/05/25 10:00:00 PM,86.2,61.97,,
156,03/05/25 11:00:00 PM,85.9,61.32,,
157,03/06/25 12:00:00 AM,84.8,60.78,,
158,03/06/25 01:00:00 AM,84.4,60.24,,
159,03/06/25 02:00:00 AM,83.4,59.16,,
160,03/06/25 03:00:00 AM,81.9,58.30,,
161,03/06/25 04:00:00 AM,81.3,57.43,,
162,03/06/25 05:00:00 AM,80.5,56.68,,
163,03/06/25 06:00:00 AM,79.8,56.08,,
164,03/06/25 07:00:00 AM,78.8,55.45,,
165,03/06/25 08:00:00 AM,78.4,55.00,,
166,03/06/25 09:00:00 AM,78.8,55.17,,
167,03/06/25 10:00:00 AM,79.5,55.72,,
168,03/06/25 11:00:00 AM,79.8,56.79,,
169,03/06/25 12:00:00 PM,81.2,57.88,,
170,03/06/25 01:00:00 PM,83.0,60.01,,
171,03/06/25 02:00:00 PM,84.7,61.50,,
172,03/06/25 03:00:00 PM,85.4,62.19,,
173,03/06/25 04:00:00 PM,85.1,61.90,,
174,03/06/25 05:00:00 PM,84.7,61.50,,
175,03/06/25 06:00:00 PM,84.4,60.82,,
176,03/06/25 07:00:00 PM,83.7,60.04,,
177,03/06/25 08:00:00 PM,82.6,59.31,,
178,03/06/25 09:00:00 PM,81.6,58.59,,
179,03/06/25 10:00:00 PM,81.2,57.88,,
180,03/06/25 11:00:00 PM,80.5,57.16,,
181,03/07/25 12:00:00 AM,79.8,56.43,,
182,03/07/25 01:00:00 AM,79.1,55.67,,
183,03/07/25 02:00:00 AM,78.0,54.90,,
184,03/07/25 03:00:00 AM,77.3,54.19,,
185,03/07/25 04:00:00 AM,76.6,53.51,,
186,03/07/25 05:00:00 AM,76.3,52.86,,
187,03/07/25 06:00:00 AM,75.6,52.30,,
188,03/07/25 07:00:00 AM,74.5,51.84,,
189,03/07/25 08:00:00 AM,74.5,51.58,,
190,03/07/25 09:00:00 AM,75.2,52.41,,
191,03/07/25 10:00:00 AM,76.6,53.74,,
192,03/07/25 11:00:00 AM,78.0,55.44,,
193,03/07/25 12:00:00 PM,79.8,56.88,,
194,03/07/25 01:00:00 PM,82.3,59.54,,
195,03/07/25 02:00:00 PM,82.5,61.52,,
196,03/07/25 03:00:00 PM,86.5,62.60,,
197,03/07/25 04:00:00 PM,85.8,62.64,,
198,03/07/25 05:00:00 PM,85.4,62.42,,
199,03/07/25 06:00:00 PM,84.7,61.86,,
200,03/07/25 07:00:00 PM,84.4,61.23,,
201,03/07/25 08:00:00 PM,84.0,60.66,,
202,03/07/25 09:00:00 PM,83.0,59.97,,
203,03/07/25 10:00:00 PM,82.3,59.13,,
204,03/07/25 11:00:00 PM,81.2,58.28,,
205,03/08/25 12:00:00 AM,80.5,57.47,,
206,03/08/25 01:00:00 AM,79.8,56.61,,
207,03/08/25 02:00:00 AM,78.7,55.96,,
208,03/08/25 03:00:00 AM,78.8,55.45,,
209,03/08/25 04:00:00 AM,78.0,54.93,,
210,03/08/25 05:00:00 AM,77.3,54.50,,
211,03/08/25 06:00:00 AM,77.3,54.25,,
212,03/08/25 07:00:00 AM,77.0,54.21,,
213,03/08/25 08:00:00 AM,77.3,54.37,,
214,03/08/25 09:00:00 AM,77.7,54.91,,
215,03/08/25 10:00:00 AM,78.8,55.45,,
216,03/08/25 11:00:00 AM,78.7,55.99,,
217,03/08/25 12:00:00 PM,77.6,56.84,,
218,03/08/25 01:00:00 PM,79.0,57.81,,
219,03/08/25 02:00:00 PM,80.5,58.59,,
220,03/08/25 03:00:00 PM,81.9,59.43,,
221,03/08/25 04:00:00 PM,81.9,59.83,,
222,03/08/25 05:00:00 PM,82.2,60.15,,
223,03/08/25 06:00:00 PM,82.6,60.28,,
224,03/08/25 07:00:00 PM,83.0,60.26,,
225,03/08/25 08:00:00 PM,82.6,60.15,,
226,03/08/25 09:00:00 PM,83.0,60.12,,
227,03/08/25 10:00:00 PM,82.6,60.10,,
228,03/08/25 11:00:00 PM,82.6,59.99,,
229,03/09/25 12:00:00 AM,82.2,59.92,,
230,03/09/25 01:00:00 AM,82.2,59.76,,
231,03/09/25 02:00:00 AM,81.9,59.65,,
232,03/09/25 03:00:00 AM,81.9,59.49,,
233,03/09/25 04:00:00 AM,81.5,59.41,,
234,03/09/25 05:00:00 AM,81.5,59.41,,
235,03/09/25 06:00:00 AM,81.5,59.45,,
236,03/09/25 07:00:00 AM,81.5,59.50,,
237,03/09/25 08:00:00 AM,81.9,59.59,,
238,03/09/25 09:00:00 AM,82.6,60.01,,
239,03/09/25 10:00:00 AM,79.3,60.39,,
240,03/09/25 11:00:00 AM,81.1,61.27,,
241,03/09/25 12:00:00 PM,82.8,62.64,,
242,03/09/25 01:00:00 PM,85.0,64.06,,
243,03/09/25 02:00:00 PM,85.7,65.23,,
244,03/09/25 03:00:00 PM,86.7,66.06,,
245,03/09/25 04:00:00 PM,86.7,66.00,,
246,03/09/25 05:00:00 PM,86.7,65.91,,
247,03/09/25 06:00:00 PM,86.4,65.44,,
248,03/09/25 07:00:00 PM,86.1,64.76,,
249,03/09/25 08:00:00 PM,85.4,64.00,,
250,03/09/25 09:00:00 PM,82.8,63.09,,
251,03/09/25 10:00:00 PM,82.5,62.42,,
252,03/09/25 11:00:00 PM,79.6,61.81,,
253,03/10/25 12:00:00 AM,78.8,61.57,,
254,03/10/25 01:00:00 AM,80.3,61.48,,
255,03/10/25 02:00:00 AM,81.1,61.45,,
256,03/10/25 03:00:00 AM,79.2,61.48,,
257,03/10/25 04:00:00 AM,78.1,61.48,,
258,03/10/25 05:00:00 AM,78.1,61.52,,
259,03/10/25 06:00:00 AM,76.2,61.68,,
260,03/10/25 07:00:00 AM,76.6,62.01,,
261,03/10/25 08:00:00 AM,76.2,62.15,,
262,03/10/25 09:00:00 AM,76.2,62.38,,
263,03/10/25 10:00:00 AM,75.4,63.05,,
264,03/10/25 11:00:00 AM,76.1,63.82,,
265,03/10/25 12:00:00 PM,75.4,64.54,,
266,03/10/25 01:00:00 PM,76.4,65.59,,
267,03/10/25 02:00:00 PM,77.9,66.16,,
268,03/10/25 03:00:00 PM,78.6,65.97,,
269,03/10/25 04:00:00 PM,79.7,65.57,,
270,03/10/25 05:00:00 PM,80.1,64.90,,
271,03/10/25 06:00:00 PM,80.5,64.18,,
272,03/10/25 07:00:00 PM,81.0,63.37,,
273,03/10/25 08:00:00 PM,81.0,62.76,,
274,03/10/25 09:00:00 PM,81.4,62.19,,
275,03/10/25 10:00:00 PM,81.4,61.63,,
276,03/10/25 11:00:00 PM,81.8,61.09,,
277,03/11/25 12:00:00 AM,81.8,60.48,,
278,03/11/25 01:00:00 AM,81.9,59.99,,
279,03/11/25 02:00:00 AM,81.9,59.56,,
280,03/11/25 03:00:00 AM,81.9,59.11,,
281,03/11/25 04:00:00 AM,82.3,58.69,,
282,03/11/25 05:00:00 AM,82.0,58.28,,
283,03/11/25 06:00:00 AM,82.0,57.87,,
284,03/11/25 07:00:00 AM,81.6,57.47,,
285,03/11/25 08:00:00 AM,82.0,57.29,,
286,03/11/25 09:00:00 AM,82.4,57.61,,
287,03/11/25 10:00:00 AM,83.1,58.24,,
288,03/11/25 11:00:00 AM,84.9,59.38,,
289,03/11/25 12:00:00 PM,86.3,60.62,,
290,03/11/25 01:00:00 PM,87.7,61.74,,
291,03/11/25 02:00:00 PM,88.8,62.53,,
292,03/11/25 03:00:00 PM,89.5,63.00,,
293,03/11/25 04:00:00 PM,89.8,63.14,,
294,03/11/25 05:00:00 PM,90.6,63.18,,
295,03/11/25 06:00:00 PM,90.6,63.19,,
296,03/11/25 07:00:00 PM,90.9,63.18,,
297,03/11/25 08:00:00 PM,91.0,62.85,,
298,03/11/25 09:00:00 PM,90.6,62.42,,
299,03/11/25 10:00:00 PM,90.3,61.97,,
300,03/11/25 11:00:00 PM,89.6,61.50,,
301,03/12/25 12:00:00 AM,88.8,60.94,,
302,03/12/25 01:00:00 AM,88.9,60.33,,
303,03/12/25 02:00:00 AM,87.8,59.72,,
304,03/12/25 03:00:00 AM,87.5,59.14,,
305,03/12/25 04:00:00 AM,87.1,58.60,,
306,03/12/25 05:00:00 AM,86.4,58.03,,
307,03/12/25 06:00:00 AM,86.1,57.47,,
308,03/12/25 07:00:00 AM,85.4,56.97,,
309,03/12/25 08:00:00 AM,85.4,56.71,,
310,03/12/25 09:00:00 AM,85.7,57.11,,
311,03/12/25 10:00:00 AM,86.4,57.78,,
312,03/12/25 11:00:00 AM,87.5,59.00,,
313,03/12/25 12:00:00 PM,88.9,60.28,,
314,03/12/25 01:00:00 PM,90.3,61.48,,
315,03/12/25 02:00:00 PM,91.7,62.35,,
316,03/12/25 03:00:00 PM,92.4,62.91,,
317,03/12/25 04:00:00 PM,92.8,63.07,,
318,03/12/25 05:00:00 PM,93.5,63.16,,
319,03/12/25 06:00:00 PM,93.5,63.16,,
320,03/12/25 07:00:00 PM,93.9,63.12,,
321,03/12/25 08:00:00 PM,93.5,62.78,,
322,03/12/25 09:00:00 PM,93.2,62.42,,
323,03/12/25 10:00:00 PM,93.2,62.11,,
324,03/12/25 11:00:00 PM,92.9,61.72,,
325,03/13/25 12:00:00 AM,92.2,61.25,,
326,03/13/25 01:00:00 AM,92.2,60.76,,
327,03/13/25 02:00:00 AM,91.5,60.24,,
328,03/13/25 03:00:00 AM,91.1,59.72,,
329,03/13/25 04:00:00 AM,90.8,59.22,,
330,03/13/25 05:00:00 AM,90.4,58.71,,
331,03/13/25 06:00:00 AM,89.7,58.19,,
332,03/13/25 07:00:00 AM,89.0,57.72,,
333,03/13/25 08:00:00 AM,88.7,57.54,,
334,03/13/25 09:00:00 AM,89.0,57.97,,
335,03/13/25 10:00:00 AM,90.1,58.78,,
336,03/13/25 11:00:00 AM,91.1,60.01,,
337,03/13/25 12:00:00 PM,92.1,61.38,,
338,03/13/25 01:00:00 PM,93.6,62.33,,
339,03/13/25 02:00:00 PM,94.6,63.14,,
340,03/13/25 03:00:00 PM,95.3,63.77,,
341,03/13/25 04:00:00 PM,95.7,63.86,,
342,03/13/25 05:00:00 PM,95.7,63.88,,
343,03/13/25 06:00:00 PM,95.7,63.79,,
344,03/13/25 07:00:00 PM,96.1,63.79,,
345,03/13/25 08:00:00 PM,96.1,63.63,,
346,03/13/25 09:00:00 PM,96.5,63.37,,
347,03/13/25 10:00:00 PM,95.4,63.12,,
348,03/13/25 11:00:00 PM,95.4,62.80,,
349,03/14/25 12:00:00 AM,94.7,62.46,,
350,03/14/25 01:00:00 AM,94.3,62.06,,
351,03/14/25 02:00:00 AM,94.0,61.65,,
352,03/14/25 03:00:00 AM,93.6,61.18,,
353,03/14/25 04:00:00 AM,92.9,60.71,,
354,03/14/25 05:00:00 AM,92.6,60.28,,
355,03/14/25 06:00:00 AM,92.2,59.81,,
356,03/14/25 07:00:00 AM,91.9,59.38,,
357,03/14/25 08:00:00 AM,91.9,59.25,,
358,03/14/25 09:00:00 AM,91.9,59.70,,
359,03/14/25 10:00:00 AM,92.6,60.51,,
360,03/14/25 11:00:00 AM,94.0,61.79,,
361,03/14/25 12:00:00 PM,95.4,63.23,,
362,03/14/25 01:00:00 PM,96.8,64.54,,
363,03/14/25 02:00:00 PM,97.8,65.39,,
364,03/14/25 03:00:00 PM,98.5,65.71,,
365,03/14/25 04:00:00 PM,98.5,65.71,,
366,03/14/25 05:00:00 PM,98.6,65.50,,
367,03/14/25 06:00:00 PM,98.6,65.28,,
368,03/14/25 07:00:00 PM,98.2,65.01,,
369,03/14/25 08:00:00 PM,98.2,64.76,,
370,03/14/25 09:00:00 PM,98.2,64.45,,
371,03/14/25 10:00:00 PM,97.5,64.15,,
372,03/14/25 11:00:00 PM,97.5,63.88,,
373,03/15/25 12:00:00 AM,97.2,63.70,,
374,03/15/25 01:00:00 AM,96.8,63.50,,
375,03/15/25 02:00:00 AM,97.6,63.28,,
376,03/15/25 03:00:00 AM,96.5,63.01,,
377,03/15/25 04:00:00 AM,96.5,62.74,,
378,03/15/25 05:00:00 AM,97.3,62.53,,
379,03/15/25 06:00:00 AM,96.2,62.37,,
380,03/15/25 07:00:00 AM,95.4,62.22,,
381,03/15/25 08:00:00 AM,96.5,62.33,,
382,03/15/25 09:00:00 AM,96.9,62.89,,
383,03/15/25 10:00:00 AM,97.2,63.73,,
384,03/15/25 11:00:00 AM,98.6,65.26,,
385,03/15/25 12:00:00 PM,100.0,66.78,,
386,03/15/25 01:00:00 PM,101.0,67.89,,
387,03/15/25 02:00:00 PM,103.5,68.99,,
388,03/15/25 03:00:00 PM,103.1,69.21,,
389,03/15/25 04:00:00 PM,104.2,69.01,,
390,03/15/25 05:00:00 PM,103.1,68.74,,
391,03/15/25 06:00:00 PM,102.4,68.27,,
392,03/15/25 07:00:00 PM,102.5,67.89,,
393,03/15/25 08:00:00 PM,101.7,67.53,,
394,03/15/25 09:00:00 PM,101.8,67.24,,
395,03/15/25 10:00:00 PM,102.9,66.97,,
396,03/15/25 11:00:00 PM,101.1,66.72,,
397,03/16/25 12:00:00 AM,100.3,66.52,,
398,03/16/25 01:00:00 AM,100.3,66.31,,
399,03/16/25 02:00:00 AM,100.0,66.16,,
400,03/16/25 03:00:00 AM,101.1,66.06,,
401,03/16/25 04:00:00 AM,100.0,66.02,,
402,03/16/25 05:00:00 AM,100.7,65.98,,
403,03/16/25 06:00:00 AM,101.8,65.97,,
404,03/16/25 07:00:00 AM,100.7,66.07,,
405,03/16/25 08:00:00 AM,102.9,66.16,,
406,03/16/25 09:00:00 AM,101.8,66.34,,
407,03/16/25 10:00:00 AM,100.3,66.43,,
408,03/16/25 11:00:00 AM,100.0,66.61,,
409,03/16/25 12:00:00 PM,99.2,66.69,,
410,03/16/25 01:00:00 PM,97.7,66.70,,
411,03/16/25 02:00:00 PM,100.3,66.79,,
412,03/16/25 03:00:00 PM,98.5,66.79,,
413,03/16/25 04:00:00 PM,98.1,66.87,,
414,03/16/25 05:00:00 PM,97.0,66.79,,
415,03/16/25 06:00:00 PM,97.0,66.81,,
416,03/16/25 07:00:00 PM,96.6,66.58,,
417,03/16/25 08:00:00 PM,96.3,66.29,,
418,03/16/25 09:00:00 PM,95.9,65.93,,
419,03/16/25 10:00:00 PM,95.6,65.44,,
420,03/16/25 11:00:00 PM,94.9,64.96,,
421,03/17/25 12:00:00 AM,94.6,64.45,,
422,03/17/25 01:00:00 AM,93.8,64.00,,
423,03/17/25 02:00:00 AM,93.5,63.63,,
424,03/17/25 03:00:00 AM,93.5,63.28,,
425,03/17/25 04:00:00 AM,95.0,62.80,,
426,03/17/25 05:00:00 AM,92.1,62.22,,
427,03/17/25 06:00:00 AM,91.8,61.54,,
428,03/17/25 07:00:00 AM,91.4,60.82,,
429,03/17/25 08:00:00 AM,90.4,60.19,,
430,03/17/25 09:00:00 AM,90.4,59.86,,
431,03/17/25 10:00:00 AM,90.8,59.86,,
432,03/17/25 11:00:00 AM,90.7,60.66,,
433,03/17/25 12:00:00 PM,92.1,61.72,,
434,03/17/25 01:00:00 PM,93.5,62.80,,
435,03/17/25 02:00:00 PM,94.2,63.57,,
436,03/17/25 03:00:00 PM,95.0,63.93,,
437,03/17/25 04:00:00 PM,95.0,63.79,,
438,03/17/25 05:00:00 PM,94.6,63.09,,
439,03/17/25 06:00:00 PM,94.7,62.56,,
440,03/17/25 07:00:00 PM,94.3,61.97,,
441,03/17/25 08:00:00 PM,94.0,61.50,,
442,03/17/25 09:00:00 PM,92.9,61.03,,
443,03/17/25 10:00:00 PM,92.6,60.55,,
444,03/17/25 11:00:00 PM,92.2,60.04,,
445,03/18/25 12:00:00 AM,92.2,59.58,,
446,03/18/25 01:00:00 AM,91.5,59.02,,
447,03/18/25 02:00:00 AM,90.8,58.42,,
448,03/18/25 03:00:00 AM,90.5,57.85,,
449,03/18/25 04:00:00 AM,90.2,57.34,,
450,03/18/25 05:00:00 AM,89.1,56.86,,
451,03/18/25 06:00:00 AM,89.1,56.34,,
452,03/18/25 07:00:00 AM,88.0,55.80,,
453,03/18/25 08:00:00 AM,87.6,55.63,,
454,03/18/25 09:00:00 AM,92.4,56.08,,
455,03/18/25 10:00:00 AM,88.7,56.91,,
456,03/18/25 11:00:00 AM,90.1,58.33,,
457,03/18/25 12:00:00 PM,91.9,59.90,,
458,03/18/25 01:00:00 PM,93.3,61.47,,
459,03/18/25 02:00:00 PM,94.3,62.56,,
460,03/18/25 03:00:00 PM,95.4,63.18,,
461,03/18/25 04:00:00 PM,95.4,63.34,,
462,03/18/25 05:00:00 PM,96.1,62.85,,
463,03/18/25 06:00:00 PM,99.5,62.47,,
464,03/18/25 07:00:00 PM,94.3,61.92,,
465,03/18/25 08:00:00 PM,93.6,61.32,,
466,03/18/25 09:00:00 PM,93.7,60.91,,
467,03/18/25 10:00:00 PM,92.6,60.37,,
468,03/18/25 11:00:00 PM,91.9,59.76,,
469,03/19/25 12:00:00 AM,91.2,59.09,,
470,03/19/25 01:00:00 AM,90.5,58.42,,
471,03/19/25 02:00:00 AM,90.1,57.81,,
472,03/19/25 03:00:00 AM,89.0,57.27,,
473,03/19/25 04:00:00 AM,89.1,56.75,,
474,03/19/25 05:00:00 AM,88.0,56.28,,
475,03/19/25 06:00:00 AM,88.0,55.81,,
476,03/19/25 07:00:00 AM,87.7,55.42,,
477,03/19/25 08:00:00 AM,87.7,55.38,,
478,03/19/25 09:00:00 AM,87.6,56.17,,
479,03/19/25 10:00:00 AM,89.4,57.25,,
480,03/19/25 11:00:00 AM,90.4,58.93,,
481,03/19/25 12:00:00 PM,92.2,60.76,,
482,03/19/25 01:00:00 PM,94.7,62.64,,
483,03/19/25 02:00:00 PM,95.3,63.88,,
484,03/19/25 03:00:00 PM,96.4,64.65,,
485,03/19/25 04:00:00 PM,96.4,64.90,,
486,03/19/25 05:00:00 PM,96.4,64.35,,
487,03/19/25 06:00:00 PM,96.4,63.88,,
488,03/19/25 07:00:00 PM,96.1,63.30,,
489,03/19/25 08:00:00 PM,95.0,62.62,,
490,03/19/25 09:00:00 PM,94.3,62.10,,
491,03/19/25 10:00:00 PM,94.0,61.50,,
492,03/19/25 11:00:00 PM,93.7,60.89,,
493,03/20/25 12:00:00 AM,92.6,60.15,,
494,03/20/25 01:00:00 AM,91.1,59.43,,
495,03/20/25 02:00:00 AM,90.8,58.86,,
496,03/20/25 03:00:00 AM,90.1,58.39,,
497,03/20/25 04:00:00 AM,90.1,57.97,,
498,03/20/25 05:00:00 AM,89.4,57.74,,
499,03/20/25 06:00:00 AM,89.0,57.67,,
500,03/20/25 07:00:00 AM,89.4,57.67,,
501,03/20/25 08:00:00 AM,89.0,57.90,,
502,03/20/25 09:00:00 AM,90.4,58.69,,
503,03/20/25 10:00:00 AM,90.8,59.72,,
504,03/20/25 11:00:00 AM,92.5,61.05,,
505,03/20/25 12:00:00 PM,93.9,62.47,,
506,03/20/25 01:00:00 PM,94.3,63.00,,
