"Plot Title: Bradford_15con"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342064, SEN S/N: 20342064)","Temp, °F (LGR S/N: 20342064, SEN S/N: 20342064)","Coupler Detached (LGR S/N: 20342064)","Coupler Attached (LGR S/N: 20342064)","Stopped (LGR S/N: 20342064)","End Of File (LGR S/N: 20342064)"
72,11/04/23 10:00:00 AM,-0.4,65.05,,,,
73,11/04/23 11:00:00 AM,-0.4,70.41,,,,
74,11/04/23 12:00:00 PM,-0.5,79.57,,,,
75,11/04/23 01:00:00 PM,-4.1,73.27,,,,
76,11/04/23 02:00:00 PM,-0.5,74.52,,,,
77,11/04/23 03:00:00 PM,-0.4,71.29,,,,
78,11/04/23 04:00:00 PM,-0.4,69.69,,,,
79,11/04/23 05:00:00 PM,-3.0,66.87,,,,
80,11/04/23 06:00:00 PM,-3.0,63.43,,,,
81,11/04/23 07:00:00 PM,-0.4,61.16,,,,
82,11/04/23 08:00:00 PM,-0.4,60.10,,,,
83,11/04/23 09:00:00 PM,-0.4,57.43,,,,
84,11/04/23 10:00:00 PM,-0.4,55.33,,,,
85,11/04/23 11:00:00 PM,-0.4,53.82,,,,
86,11/05/23 12:00:00 AM,11.9,53.10,,,,
87,11/05/23 01:00:00 AM,-0.4,52.00,,,,
88,11/05/23 02:00:00 AM,-0.4,50.85,,,,
89,11/05/23 03:00:00 AM,-0.4,50.00,,,,
90,11/05/23 04:00:00 AM,-0.4,49.59,,,,
91,11/05/23 05:00:00 AM,-0.4,48.61,,,,
92,11/05/23 06:00:00 AM,-0.4,48.45,,,,
93,11/05/23 07:00:00 AM,-0.4,48.33,,,,
94,11/05/23 08:00:00 AM,-0.4,51.33,,,,
95,11/05/23 09:00:00 AM,-0.4,62.24,,,,
96,11/05/23 10:00:00 AM,-0.5,75.79,,,,
97,11/05/23 11:00:00 AM,-3.1,85.03,,,,
98,11/05/23 12:00:00 PM,-0.5,82.76,,,,
99,11/05/23 01:00:00 PM,-0.5,74.77,,,,
100,11/05/23 02:00:00 PM,-0.5,82.53,,,,
101,11/05/23 03:00:00 PM,-0.4,72.28,,,,
102,11/05/23 04:00:00 PM,-0.4,69.93,,,,
103,11/05/23 05:00:00 PM,-0.4,67.10,,,,
104,11/05/23 06:00:00 PM,-3.0,63.61,,,,
105,11/05/23 07:00:00 PM,-0.4,60.12,,,,
106,11/05/23 08:00:00 PM,-0.4,57.34,,,,
107,11/05/23 09:00:00 PM,-0.4,55.18,,,,
108,11/05/23 10:00:00 PM,-0.4,53.24,,,,
109,11/05/23 11:00:00 PM,-3.0,52.09,,,,
110,11/06/23 12:00:00 AM,-3.0,50.88,,,,
111,11/06/23 01:00:00 AM,-0.4,49.89,,,,
112,11/06/23 02:00:00 AM,-0.4,48.99,,,,
113,11/06/23 03:00:00 AM,-0.4,48.18,,,,
114,11/06/23 04:00:00 AM,-0.4,46.99,,,,
115,11/06/23 05:00:00 AM,-0.4,46.38,,,,
116,11/06/23 06:00:00 AM,-0.4,45.79,,,,
117,11/06/23 07:00:00 AM,-0.4,45.54,,,,
118,11/06/23 08:00:00 AM,-0.4,48.09,,,,
119,11/06/23 09:00:00 AM,-3.0,58.03,,,,
120,11/06/23 10:00:00 AM,-0.5,75.51,,,,
121,11/06/23 11:00:00 AM,-0.5,87.37,,,,
122,11/06/23 12:00:00 PM,-0.5,88.20,,,,
123,11/06/23 01:00:00 PM,-0.5,76.59,,,,
124,11/06/23 02:00:00 PM,-0.5,82.78,,,,
125,11/06/23 03:00:00 PM,-0.5,73.99,,,,
126,11/06/23 04:00:00 PM,-3.0,71.20,,,,
127,11/06/23 05:00:00 PM,-0.4,68.27,,,,
128,11/06/23 06:00:00 PM,-0.4,64.31,,,,
129,11/06/23 07:00:00 PM,-0.4,60.94,,,,
130,11/06/23 08:00:00 PM,-0.4,58.59,,,,
131,11/06/23 09:00:00 PM,-0.4,56.21,,,,
132,11/06/23 10:00:00 PM,-0.4,55.33,,,,
133,11/06/23 11:00:00 PM,-0.4,55.08,,,,
134,11/07/23 12:00:00 AM,-0.4,53.51,,,,
135,11/07/23 01:00:00 AM,-0.4,52.43,,,,
136,11/07/23 02:00:00 AM,-0.4,50.81,,,,
137,11/07/23 03:00:00 AM,-0.4,50.49,,,,
138,11/07/23 04:00:00 AM,-0.4,51.03,,,,
139,11/07/23 05:00:00 AM,-0.4,50.68,,,,
140,11/07/23 06:00:00 AM,-0.4,49.41,,,,
141,11/07/23 07:00:00 AM,-0.4,48.88,,,,
142,11/07/23 08:00:00 AM,-0.4,51.39,,,,
143,11/07/23 09:00:00 AM,-0.4,64.09,,,,
144,11/07/23 10:00:00 AM,-0.5,78.46,,,,
145,11/07/23 11:00:00 AM,-0.5,91.90,,,,
146,11/07/23 12:00:00 PM,11.5,89.44,,,,
147,11/07/23 01:00:00 PM,11.6,78.37,,,,
148,11/07/23 02:00:00 PM,-0.5,83.61,,,,
149,11/07/23 03:00:00 PM,11.7,75.78,,,,
150,11/07/23 04:00:00 PM,-0.4,72.57,,,,
151,11/07/23 05:00:00 PM,-0.1,69.85,,,,
152,11/07/23 06:00:00 PM,-0.4,66.22,,,,
153,11/07/23 07:00:00 PM,-3.0,62.46,,,,
154,11/07/23 08:00:00 PM,-0.4,60.28,,,,
155,11/07/23 09:00:00 PM,-0.4,58.05,,,,
156,11/07/23 10:00:00 PM,-3.0,56.08,,,,
157,11/07/23 11:00:00 PM,-0.4,54.90,,,,
158,11/08/23 12:00:00 AM,-0.4,53.37,,,,
159,11/08/23 01:00:00 AM,-3.0,52.23,,,,
160,11/08/23 02:00:00 AM,-3.0,51.42,,,,
161,11/08/23 03:00:00 AM,-0.4,50.34,,,,
162,11/08/23 04:00:00 AM,-0.4,49.60,,,,
163,11/08/23 05:00:00 AM,-0.4,48.81,,,,
164,11/08/23 06:00:00 AM,-0.4,48.33,,,,
165,11/08/23 07:00:00 AM,-3.0,48.18,,,,
166,11/08/23 08:00:00 AM,-0.4,50.56,,,,
167,11/08/23 09:00:00 AM,-0.4,64.87,,,,
168,11/08/23 10:00:00 AM,-3.0,77.16,,,,
169,11/08/23 11:00:00 AM,-0.5,92.14,,,,
170,11/08/23 12:00:00 PM,-3.1,87.57,,,,
171,11/08/23 01:00:00 PM,-0.5,79.02,,,,
172,11/08/23 02:00:00 PM,-0.5,87.85,,,,
173,11/08/23 03:00:00 PM,-0.5,76.87,,,,
174,11/08/23 04:00:00 PM,-0.5,73.80,,,,
175,11/08/23 05:00:00 PM,-0.4,70.86,,,,
176,11/08/23 06:00:00 PM,-0.4,67.51,,,,
177,11/08/23 07:00:00 PM,-0.4,64.71,,,,
178,11/08/23 08:00:00 PM,-3.0,62.62,,,,
179,11/08/23 09:00:00 PM,-0.4,60.96,,,,
180,11/08/23 10:00:00 PM,-0.4,59.59,,,,
181,11/08/23 11:00:00 PM,-0.4,59.16,,,,
182,11/09/23 12:00:00 AM,-3.0,58.51,,,,
183,11/09/23 01:00:00 AM,11.9,57.87,,,,
184,11/09/23 02:00:00 AM,-0.4,57.40,,,,
185,11/09/23 03:00:00 AM,-0.4,56.37,,,,
186,11/09/23 04:00:00 AM,11.9,55.56,,,,
187,11/09/23 05:00:00 AM,-0.4,55.11,,,,
188,11/09/23 06:00:00 AM,-0.4,54.86,,,,
189,11/09/23 07:00:00 AM,-0.4,54.59,,,,
190,11/09/23 08:00:00 AM,11.9,57.13,,,,
191,11/09/23 09:00:00 AM,-0.4,69.64,,,,
192,11/09/23 10:00:00 AM,-0.5,72.88,,,,
193,11/09/23 11:00:00 AM,-0.5,82.11,,,,
194,11/09/23 12:00:00 PM,-0.1,79.74,,,,
195,11/09/23 01:00:00 PM,-0.5,78.31,,,,
196,11/09/23 02:00:00 PM,-0.5,82.72,,,,
197,11/09/23 03:00:00 PM,-0.5,78.75,,,,
198,11/09/23 04:00:00 PM,-3.0,76.69,,,,
199,11/09/23 05:00:00 PM,-0.4,72.68,,,,
200,11/09/23 06:00:00 PM,-0.4,69.71,,,,
201,11/09/23 07:00:00 PM,-3.0,68.22,,,,
202,11/09/23 08:00:00 PM,-0.4,66.99,,,,
203,11/09/23 09:00:00 PM,-0.4,65.93,,,,
204,11/09/23 10:00:00 PM,-0.4,64.65,,,,
205,11/09/23 11:00:00 PM,-0.4,63.55,,,,
206,11/10/23 12:00:00 AM,-0.4,62.10,,,,
207,11/10/23 01:00:00 AM,-0.4,60.78,,,,
208,11/10/23 02:00:00 AM,-0.4,60.08,,,,
209,11/10/23 03:00:00 AM,-0.4,60.60,,,,
210,11/10/23 04:00:00 AM,-0.4,61.03,,,,
211,11/10/23 05:00:00 AM,11.8,60.89,,,,
212,11/10/23 06:00:00 AM,-0.4,61.23,,,,
213,11/10/23 07:00:00 AM,-0.4,61.66,,,,
214,11/10/23 08:00:00 AM,-0.4,63.82,,,,
215,11/10/23 09:00:00 AM,-0.5,74.08,,,,
216,11/10/23 10:00:00 AM,-0.5,81.00,,,,
217,11/10/23 11:00:00 AM,-0.5,90.99,,,,
218,11/10/23 12:00:00 PM,-0.5,88.09,,,,
219,11/10/23 01:00:00 PM,-0.5,84.45,,,,
220,11/10/23 02:00:00 PM,-0.5,91.31,,,,
221,11/10/23 03:00:00 PM,-0.5,80.76,,,,
222,11/10/23 04:00:00 PM,-0.5,77.04,,,,
223,11/10/23 05:00:00 PM,-0.5,74.80,,,,
224,11/10/23 06:00:00 PM,-0.5,73.56,,,,
225,11/10/23 07:00:00 PM,-0.4,72.30,,,,
226,11/10/23 08:00:00 PM,-0.4,70.39,,,,
227,11/10/23 09:00:00 PM,11.7,68.92,,,,
228,11/10/23 10:00:00 PM,-0.4,67.95,,,,
229,11/10/23 11:00:00 PM,-3.0,66.87,,,,
230,11/11/23 12:00:00 AM,-0.4,66.56,,,,
231,11/11/23 01:00:00 AM,-0.4,66.51,,,,
232,11/11/23 02:00:00 AM,-0.4,66.58,,,,
233,11/11/23 03:00:00 AM,-0.4,66.51,,,,
234,11/11/23 04:00:00 AM,11.8,66.65,,,,
235,11/11/23 05:00:00 AM,-0.4,67.08,,,,
236,11/11/23 06:00:00 AM,-0.4,67.01,,,,
237,11/11/23 07:00:00 AM,-0.4,67.48,,,,
238,11/11/23 08:00:00 AM,-0.4,69.35,,,,
239,11/11/23 09:00:00 AM,-0.5,75.29,,,,
240,11/11/23 10:00:00 AM,-0.5,77.16,,,,
241,11/11/23 11:00:00 AM,-0.5,89.20,,,,
242,11/11/23 12:00:00 PM,-3.1,86.54,,,,
243,11/11/23 01:00:00 PM,-0.5,83.75,,,,
244,11/11/23 02:00:00 PM,-0.5,82.87,,,,
245,11/11/23 03:00:00 PM,-0.5,80.55,,,,
246,11/11/23 04:00:00 PM,-0.5,78.75,,,,
247,11/11/23 05:00:00 PM,-0.5,74.97,,,,
248,11/11/23 06:00:00 PM,-0.4,72.27,,,,
249,11/11/23 07:00:00 PM,-0.4,70.16,,,,
250,11/11/23 08:00:00 PM,-0.4,68.83,,,,
251,11/11/23 09:00:00 PM,-0.4,67.89,,,,
252,11/11/23 10:00:00 PM,-0.4,67.05,,,,
253,11/11/23 11:00:00 PM,-0.4,66.11,,,,
254,11/12/23 12:00:00 AM,-0.4,65.41,,,,
255,11/12/23 01:00:00 AM,11.8,64.72,,,,
256,11/12/23 02:00:00 AM,-0.4,64.24,,,,
257,11/12/23 03:00:00 AM,-0.4,63.61,,,,
258,11/12/23 04:00:00 AM,11.8,62.80,,,,
259,11/12/23 05:00:00 AM,-0.4,61.90,,,,
260,11/12/23 06:00:00 AM,-0.4,61.74,,,,
261,11/12/23 07:00:00 AM,-0.4,61.18,,,,
262,11/12/23 08:00:00 AM,-0.4,60.89,,,,
263,11/12/23 09:00:00 AM,11.8,60.49,,,,
264,11/12/23 10:00:00 AM,-0.4,61.83,,,,
265,11/12/23 11:00:00 AM,-0.4,64.26,,,,
266,11/12/23 12:00:00 PM,-0.4,65.37,,,,
267,11/12/23 01:00:00 PM,-0.4,65.71,,,,
268,11/12/23 02:00:00 PM,-3.0,64.85,,,,
269,11/12/23 03:00:00 PM,-0.4,65.12,,,,
270,11/12/23 04:00:00 PM,-0.4,64.40,,,,
271,11/12/23 05:00:00 PM,-0.4,62.85,,,,
272,11/12/23 06:00:00 PM,-0.4,61.54,,,,
273,11/12/23 07:00:00 PM,-0.4,60.82,,,,
274,11/12/23 08:00:00 PM,-0.4,60.85,,,,
275,11/12/23 09:00:00 PM,-0.4,60.60,,,,
276,11/12/23 10:00:00 PM,-0.4,60.46,,,,
277,11/12/23 11:00:00 PM,-0.4,60.12,,,,
278,11/13/23 12:00:00 AM,-0.4,59.77,,,,
279,11/13/23 01:00:00 AM,-0.4,59.43,,,,
280,11/13/23 02:00:00 AM,-0.4,58.73,,,,
281,11/13/23 03:00:00 AM,-0.4,58.14,,,,
282,11/13/23 04:00:00 AM,-0.4,58.24,,,,
283,11/13/23 05:00:00 AM,11.9,58.57,,,,
284,11/13/23 06:00:00 AM,11.8,59.27,,,,
285,11/13/23 07:00:00 AM,-0.4,59.56,,,,
286,11/13/23 08:00:00 AM,-0.4,59.72,,,,
287,11/13/23 09:00:00 AM,-0.4,60.21,,,,
288,11/13/23 10:00:00 AM,-0.4,60.71,,,,
289,11/13/23 11:00:00 AM,-0.4,61.12,,,,
290,11/13/23 12:00:00 PM,-0.4,62.11,,,,
291,11/13/23 01:00:00 PM,-0.4,62.85,,,,
292,11/13/23 02:00:00 PM,-0.4,63.28,,,,
293,11/13/23 03:00:00 PM,-0.4,64.20,,,,
294,11/13/23 04:00:00 PM,-0.4,63.55,,,,
295,11/13/23 05:00:00 PM,-0.4,62.67,,,,
296,11/13/23 06:00:00 PM,-0.4,61.95,,,,
297,11/13/23 07:00:00 PM,-0.4,61.36,,,,
298,11/13/23 08:00:00 PM,-0.4,61.21,,,,
299,11/13/23 09:00:00 PM,-3.0,60.82,,,,
300,11/13/23 10:00:00 PM,-0.4,60.67,,,,
301,11/13/23 11:00:00 PM,-0.4,60.28,,,,
302,11/14/23 12:00:00 AM,-0.4,59.86,,,,
303,11/14/23 01:00:00 AM,-0.4,59.83,,,,
304,11/14/23 02:00:00 AM,-0.4,59.99,,,,
305,11/14/23 03:00:00 AM,-0.4,60.30,,,,
306,11/14/23 04:00:00 AM,-0.4,60.62,,,,
307,11/14/23 05:00:00 AM,-0.4,60.93,,,,
308,11/14/23 06:00:00 AM,-0.4,61.07,,,,
309,11/14/23 07:00:00 AM,-0.4,61.48,,,,
310,11/14/23 08:00:00 AM,-0.4,62.53,,,,
311,11/14/23 09:00:00 AM,-0.4,64.38,,,,
312,11/14/23 10:00:00 AM,-0.4,65.80,,,,
313,11/14/23 11:00:00 AM,-0.4,69.42,,,,
314,11/14/23 12:00:00 PM,-3.0,71.33,,,,
315,11/14/23 01:00:00 PM,-0.4,68.16,,,,
316,11/14/23 02:00:00 PM,15.1,64.24,,,,
317,11/14/23 03:00:00 PM,11.8,63.59,,,,
318,11/14/23 04:00:00 PM,-1.9,63.79,,,,
319,11/14/23 05:00:00 PM,-1.9,63.57,,,,
320,11/14/23 06:00:00 PM,2.5,62.92,,,,
321,11/14/23 07:00:00 PM,2.5,62.87,,,,
322,11/14/23 08:00:00 PM,1.8,62.33,,,,
323,11/14/23 09:00:00 PM,2.2,61.81,,,,
324,11/14/23 10:00:00 PM,2.6,62.02,,,,
325,11/14/23 11:00:00 PM,2.6,62.28,,,,
326,11/15/23 12:00:00 AM,2.6,62.49,,,,
327,11/15/23 01:00:00 AM,-1.5,62.33,,,,
328,11/15/23 02:00:00 AM,-3.4,62.47,,,,
329,11/15/23 03:00:00 AM,-1.9,62.73,,,,
330,11/15/23 04:00:00 AM,-2.6,63.72,,,,
331,11/15/23 05:00:00 AM,-1.9,64.00,,,,
332,11/15/23 06:00:00 AM,-1.9,64.06,,,,
333,11/15/23 07:00:00 AM,-1.9,64.69,,,,
334,11/15/23 08:00:00 AM,-3.0,64.60,,,,
335,11/15/23 09:00:00 AM,-1.9,65.30,,,,
336,11/15/23 10:00:00 AM,-4.1,66.20,,,,
337,11/15/23 11:00:00 AM,-1.9,66.25,,,,
338,11/15/23 12:00:00 PM,-3.4,67.06,,,,
339,11/15/23 01:00:00 PM,-3.4,66.83,,,,
340,11/15/23 02:00:00 PM,11.8,67.91,,,,
341,11/15/23 03:00:00 PM,-0.4,68.32,,,,
342,11/15/23 04:00:00 PM,4.7,67.87,,,,
343,11/15/23 05:00:00 PM,-3.0,67.23,,,,
344,11/15/23 06:00:00 PM,-1.9,66.94,,,,
345,11/15/23 07:00:00 PM,-3.0,66.81,,,,
346,11/15/23 08:00:00 PM,-1.9,66.69,,,,
347,11/15/23 09:00:00 PM,4.7,66.94,,,,
348,11/15/23 10:00:00 PM,-1.9,66.78,,,,
349,11/15/23 11:00:00 PM,4.7,66.76,,,,
350,11/16/23 12:00:00 AM,4.7,66.61,,,,
351,11/16/23 01:00:00 AM,3.6,66.58,,,,
352,11/16/23 02:00:00 AM,-1.9,65.70,,,,
353,11/16/23 03:00:00 AM,-1.9,65.59,,,,
354,11/16/23 04:00:00 AM,4.8,65.88,,,,
355,11/16/23 05:00:00 AM,4.8,65.80,,,,
356,11/16/23 06:00:00 AM,4.8,65.52,,,,
357,11/16/23 07:00:00 AM,4.8,65.52,,,,
358,11/16/23 08:00:00 AM,-1.9,65.59,,,,
359,11/16/23 09:00:00 AM,4.8,66.09,,,,
360,11/16/23 10:00:00 AM,11.8,66.65,,,,
361,11/16/23 11:00:00 AM,-0.4,67.41,,,,
362,11/16/23 12:00:00 PM,-0.4,67.46,,,,
363,11/16/23 01:00:00 PM,-3.0,66.85,,,,
364,11/16/23 02:00:00 PM,-1.9,67.41,,,,
365,11/16/23 03:00:00 PM,-1.9,67.12,,,,
366,11/16/23 04:00:00 PM,-3.0,66.87,,,,
367,11/16/23 05:00:00 PM,-1.9,66.51,,,,
368,11/16/23 06:00:00 PM,-0.8,66.22,,,,
369,11/16/23 07:00:00 PM,-0.8,65.98,,,,
370,11/16/23 08:00:00 PM,-0.8,66.00,,,,
371,11/16/23 09:00:00 PM,-3.8,65.70,,,,
372,11/16/23 10:00:00 PM,-1.9,65.86,,,,
373,11/16/23 11:00:00 PM,-1.9,66.02,,,,
374,11/17/23 12:00:00 AM,-3.0,66.34,,,,
375,11/17/23 01:00:00 AM,-1.9,66.43,,,,
376,11/17/23 02:00:00 AM,4.7,66.31,,,,
377,11/17/23 03:00:00 AM,-3.0,66.38,,,,
378,11/17/23 04:00:00 AM,4.7,66.42,,,,
379,11/17/23 05:00:00 AM,4.7,66.54,,,,
380,11/17/23 06:00:00 AM,-1.9,66.43,,,,
381,11/17/23 07:00:00 AM,-3.0,66.25,,,,
382,11/17/23 08:00:00 AM,-3.0,66.07,,,,
383,11/17/23 09:00:00 AM,4.7,66.79,,,,
384,11/17/23 10:00:00 AM,-3.0,67.62,,,,
385,11/17/23 11:00:00 AM,-1.9,68.20,,,,
386,11/17/23 12:00:00 PM,-4.1,68.86,,,,
387,11/17/23 01:00:00 PM,-4.1,69.19,,,,
388,11/17/23 02:00:00 PM,-3.4,69.35,,,,
389,11/17/23 03:00:00 PM,-3.8,69.66,,,,
390,11/17/23 04:00:00 PM,-3.4,69.80,,,,
391,11/17/23 05:00:00 PM,-3.8,69.55,,,,
392,11/17/23 06:00:00 PM,-3.8,69.15,,,,
393,11/17/23 07:00:00 PM,-3.8,68.94,,,,
394,11/17/23 08:00:00 PM,-3.8,68.59,,,,
395,11/17/23 09:00:00 PM,-3.8,68.45,,,,
396,11/17/23 10:00:00 PM,-4.1,68.34,,,,
397,11/17/23 11:00:00 PM,-4.1,68.16,,,,
398,11/18/23 12:00:00 AM,-4.1,68.05,,,,
399,11/18/23 01:00:00 AM,-4.1,67.80,,,,
400,11/18/23 02:00:00 AM,-4.1,67.68,,,,
401,11/18/23 03:00:00 AM,-4.1,67.62,,,,
402,11/18/23 04:00:00 AM,-3.4,67.51,,,,
403,11/18/23 05:00:00 AM,-3.8,67.37,,,,
404,11/18/23 06:00:00 AM,-3.8,67.26,,,,
405,11/18/23 07:00:00 AM,-3.0,67.17,,,,
406,11/18/23 08:00:00 AM,-2.3,67.23,,,,
407,11/18/23 09:00:00 AM,0.3,67.96,,,,
408,11/18/23 10:00:00 AM,-0.4,70.14,,,,
409,11/18/23 11:00:00 AM,-3.0,76.48,,,,
410,11/18/23 12:00:00 PM,-2.7,73.98,,,,
411,11/18/23 01:00:00 PM,-4.5,72.64,,,,
412,11/18/23 02:00:00 PM,-0.5,74.34,,,,
413,11/18/23 03:00:00 PM,-0.4,72.50,,,,
414,11/18/23 04:00:00 PM,-0.4,71.44,,,,
415,11/18/23 05:00:00 PM,-0.4,70.05,,,,
416,11/18/23 06:00:00 PM,-0.4,68.11,,,,
417,11/18/23 07:00:00 PM,-0.4,66.67,,,,
418,11/18/23 08:00:00 PM,-0.4,65.59,,,,
419,11/18/23 09:00:00 PM,-0.4,64.62,,,,
420,11/18/23 10:00:00 PM,-0.4,63.50,,,,
421,11/18/23 11:00:00 PM,-0.4,63.21,,,,
422,11/19/23 12:00:00 AM,4.8,62.71,,,,
423,11/19/23 01:00:00 AM,15.2,61.92,,,,
424,11/19/23 02:00:00 AM,-0.4,61.07,,,,
425,11/19/23 03:00:00 AM,-0.4,60.51,,,,
426,11/19/23 04:00:00 AM,-0.4,59.94,,,,
427,11/19/23 05:00:00 AM,-0.4,59.40,,,,
428,11/19/23 06:00:00 AM,-0.4,58.68,,,,
429,11/19/23 07:00:00 AM,-0.4,58.05,,,,
430,11/19/23 08:00:00 AM,15.2,58.68,,,,
431,11/19/23 09:00:00 AM,-0.4,62.56,,,,
432,11/19/23 10:00:00 AM,-0.4,70.32,,,,
433,11/19/23 11:00:00 AM,-0.5,89.67,,,,
434,11/19/23 12:00:00 PM,-0.5,79.00,,,,
435,11/19/23 01:00:00 PM,-3.0,74.91,,,,
436,11/19/23 02:00:00 PM,-0.4,71.13,,,,
437,11/19/23 03:00:00 PM,-0.4,72.82,,,,
438,11/19/23 04:00:00 PM,-0.4,71.38,,,,
439,11/19/23 05:00:00 PM,-0.4,69.21,,,,
440,11/19/23 06:00:00 PM,-0.4,67.01,,,,
441,11/19/23 07:00:00 PM,-0.4,65.97,,,,
442,11/19/23 08:00:00 PM,-0.4,65.16,,,,
443,11/19/23 09:00:00 PM,-0.4,64.49,,,,
444,11/19/23 10:00:00 PM,-0.4,63.54,,,,
445,11/19/23 11:00:00 PM,-0.4,62.67,,,,
446,11/20/23 12:00:00 AM,-0.4,61.86,,,,
447,11/20/23 01:00:00 AM,-0.4,61.72,,,,
448,11/20/23 02:00:00 AM,-0.4,61.39,,,,
449,11/20/23 03:00:00 AM,-0.4,60.85,,,,
450,11/20/23 04:00:00 AM,-0.4,61.34,,,,
451,11/20/23 05:00:00 AM,-0.4,62.02,,,,
452,11/20/23 06:00:00 AM,4.8,62.67,,,,
453,11/20/23 07:00:00 AM,11.8,63.61,,,,
454,11/20/23 08:00:00 AM,-0.4,64.44,,,,
455,11/20/23 09:00:00 AM,-0.4,65.59,,,,
456,11/20/23 10:00:00 AM,11.8,66.92,,,,
