"Plot Title: Bradford_14cond"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21415362, SEN S/N: 21415362)","Temp, °F (LGR S/N: 21415362, SEN S/N: 21415362)","Coupler Detached (LGR S/N: 21415362, SEN S/N: 21415362)","Coupler Attached (LGR S/N: 21415362, SEN S/N: 21415362)","Host Connected (LGR S/N: 21415362, SEN S/N: 21415362)","Stopped (LGR S/N: 21415362, SEN S/N: 21415362)","End Of File (LGR S/N: 21415362, SEN S/N: 21415362)"
28,02/09/24 05:00:00 PM,60.8,62.47,,,,,
29,02/09/24 06:00:00 PM,62.3,62.71,,,,,
30,02/09/24 07:00:00 PM,64.2,62.69,,,,,
31,02/09/24 08:00:00 PM,65.6,62.51,,,,,
32,02/09/24 09:00:00 PM,66.0,62.29,,,,,
33,02/09/24 10:00:00 PM,65.3,62.02,,,,,
34,02/09/24 11:00:00 PM,63.4,61.72,,,,,
35,02/10/24 12:00:00 AM,62.7,61.41,,,,,
36,02/10/24 01:00:00 AM,62.0,61.07,,,,,
37,02/10/24 02:00:00 AM,60.9,60.73,,,,,
38,02/10/24 03:00:00 AM,59.8,60.33,,,,,
39,02/10/24 04:00:00 AM,59.1,59.99,,,,,
40,02/10/24 05:00:00 AM,58.3,59.63,,,,,
41,02/10/24 06:00:00 AM,57.6,59.27,,,,,
42,02/10/24 07:00:00 AM,57.6,58.95,,,,,
43,02/10/24 08:00:00 AM,57.2,58.73,,,,,
44,02/10/24 09:00:00 AM,57.2,58.66,,,,,
45,02/10/24 10:00:00 AM,56.9,58.84,,,,,
46,02/10/24 11:00:00 AM,57.2,59.34,,,,,
47,02/10/24 12:00:00 PM,57.9,60.10,,,,,
48,02/10/24 01:00:00 PM,60.9,61.07,,,,,
49,02/10/24 02:00:00 PM,62.3,61.93,,,,,
50,02/10/24 03:00:00 PM,63.8,62.87,,,,,
51,02/10/24 04:00:00 PM,64.5,63.59,,,,,
52,02/10/24 05:00:00 PM,66.3,64.09,,,,,
53,02/10/24 06:00:00 PM,67.8,64.31,,,,,
54,02/10/24 07:00:00 PM,67.8,64.26,,,,,
55,02/10/24 08:00:00 PM,67.1,64.08,,,,,
56,02/10/24 09:00:00 PM,65.6,63.84,,,,,
57,02/10/24 10:00:00 PM,64.5,63.57,,,,,
58,02/10/24 11:00:00 PM,63.8,63.28,,,,,
59,02/11/24 12:00:00 AM,63.0,63.01,,,,,
60,02/11/24 01:00:00 AM,62.7,62.67,,,,,
61,02/11/24 02:00:00 AM,61.9,62.35,,,,,
62,02/11/24 03:00:00 AM,63.1,62.02,,,,,
63,02/11/24 04:00:00 AM,60.5,61.68,,,,,
64,02/11/24 05:00:00 AM,60.5,61.32,,,,,
65,02/11/24 06:00:00 AM,60.1,61.03,,,,,
66,02/11/24 07:00:00 AM,59.8,60.75,,,,,
67,02/11/24 08:00:00 AM,59.4,60.49,,,,,
68,02/11/24 09:00:00 AM,59.4,60.46,,,,,
69,02/11/24 10:00:00 AM,59.0,60.64,,,,,
70,02/11/24 11:00:00 AM,59.8,61.23,,,,,
71,02/11/24 12:00:00 PM,60.5,62.13,,,,,
72,02/11/24 01:00:00 PM,61.9,63.28,,,,,
73,02/11/24 02:00:00 PM,62.6,64.26,,,,,
74,02/11/24 03:00:00 PM,64.4,65.08,,,,,
75,02/11/24 04:00:00 PM,65.9,65.82,,,,,
76,02/11/24 05:00:00 PM,66.6,66.24,,,,,
77,02/11/24 06:00:00 PM,66.6,66.38,,,,,
78,02/11/24 07:00:00 PM,66.6,66.34,,,,,
79,02/11/24 08:00:00 PM,66.2,66.20,,,,,
80,02/11/24 09:00:00 PM,65.5,66.04,,,,,
81,02/11/24 10:00:00 PM,65.1,65.82,,,,,
82,02/11/24 11:00:00 PM,65.2,65.62,,,,,
83,02/12/24 12:00:00 AM,64.4,65.46,,,,,
84,02/12/24 01:00:00 AM,64.4,65.30,,,,,
85,02/12/24 02:00:00 AM,65.5,65.16,,,,,
86,02/12/24 03:00:00 AM,64.1,65.03,,,,,
87,02/12/24 04:00:00 AM,64.1,64.92,,,,,
88,02/12/24 05:00:00 AM,63.7,64.76,,,,,
89,02/12/24 06:00:00 AM,66.7,64.58,,,,,
90,02/12/24 07:00:00 AM,63.7,64.36,,,,,
91,02/12/24 08:00:00 AM,63.4,64.18,,,,,
92,02/12/24 09:00:00 AM,63.4,64.15,,,,,
93,02/12/24 10:00:00 AM,63.4,64.27,,,,,
94,02/12/24 11:00:00 AM,63.7,64.65,,,,,
95,02/12/24 12:00:00 PM,64.1,65.03,,,,,
96,02/12/24 01:00:00 PM,70.0,65.55,,,,,
97,02/12/24 02:00:00 PM,67.4,66.06,,,,,
98,02/12/24 03:00:00 PM,71.8,66.58,,,,,
99,02/12/24 04:00:00 PM,71.8,67.06,,,,,
100,02/12/24 05:00:00 PM,72.1,67.41,,,,,
101,02/12/24 06:00:00 PM,71.7,67.69,,,,,
102,02/12/24 07:00:00 PM,71.4,67.66,,,,,
103,02/12/24 08:00:00 PM,72.1,67.62,,,,,
104,02/12/24 09:00:00 PM,75.1,67.55,,,,,
105,02/12/24 10:00:00 PM,74.0,67.44,,,,,
106,02/12/24 11:00:00 PM,72.1,67.21,,,,,
107,02/13/24 12:00:00 AM,70.3,66.92,,,,,
108,02/13/24 01:00:00 AM,69.2,66.51,,,,,
109,02/13/24 02:00:00 AM,68.5,66.07,,,,,
110,02/13/24 03:00:00 AM,67.4,65.62,,,,,
111,02/13/24 04:00:00 AM,67.0,65.17,,,,,
112,02/13/24 05:00:00 AM,65.9,64.72,,,,,
113,02/13/24 06:00:00 AM,65.2,64.27,,,,,
114,02/13/24 07:00:00 AM,65.2,63.86,,,,,
115,02/13/24 08:00:00 AM,64.9,63.50,,,,,
116,02/13/24 09:00:00 AM,64.9,63.19,,,,,
117,02/13/24 10:00:00 AM,64.5,62.92,,,,,
118,02/13/24 11:00:00 AM,64.5,62.80,,,,,
119,02/13/24 12:00:00 PM,64.5,62.96,,,,,
120,02/13/24 01:00:00 PM,66.7,63.18,,,,,
121,02/13/24 02:00:00 PM,68.6,63.54,,,,,
122,02/13/24 03:00:00 PM,69.3,63.86,,,,,
123,02/13/24 04:00:00 PM,70.0,64.17,,,,,
124,02/13/24 05:00:00 PM,69.3,64.18,,,,,
125,02/13/24 06:00:00 PM,68.9,64.04,,,,,
126,02/13/24 07:00:00 PM,68.6,63.70,,,,,
127,02/13/24 08:00:00 PM,73.0,63.30,,,,,
128,02/13/24 09:00:00 PM,68.6,62.83,,,,,
129,02/13/24 10:00:00 PM,67.9,62.29,,,,,
130,02/13/24 11:00:00 PM,67.2,61.77,,,,,
131,02/14/24 12:00:00 AM,66.8,61.20,,,,,
132,02/14/24 01:00:00 AM,65.7,60.64,,,,,
133,02/14/24 02:00:00 AM,64.6,60.04,,,,,
134,02/14/24 03:00:00 AM,63.5,59.47,,,,,
135,02/14/24 04:00:00 AM,62.4,58.89,,,,,
136,02/14/24 05:00:00 AM,60.6,58.32,,,,,
137,02/14/24 06:00:00 AM,60.2,57.76,,,,,
138,02/14/24 07:00:00 AM,59.5,57.18,,,,,
139,02/14/24 08:00:00 AM,58.8,56.62,,,,,
140,02/14/24 09:00:00 AM,58.1,56.35,,,,,
141,02/14/24 10:00:00 AM,57.7,56.21,,,,,
142,02/14/24 11:00:00 AM,57.7,56.32,,,,,
143,02/14/24 12:00:00 PM,60.6,56.84,,,,,
144,02/14/24 01:00:00 PM,58.8,57.79,,,,,
145,02/14/24 02:00:00 PM,66.5,58.51,,,,,
146,02/14/24 03:00:00 PM,63.2,59.34,,,,,
147,02/14/24 04:00:00 PM,64.2,60.15,,,,,
148,02/14/24 05:00:00 PM,65.3,60.82,,,,,
149,02/14/24 06:00:00 PM,65.7,61.16,,,,,
150,02/14/24 07:00:00 PM,66.4,61.12,,,,,
151,02/14/24 08:00:00 PM,66.8,60.87,,,,,
152,02/14/24 09:00:00 PM,67.6,60.49,,,,,
153,02/14/24 10:00:00 PM,68.0,60.06,,,,,
154,02/14/24 11:00:00 PM,68.0,59.63,,,,,
155,02/15/24 12:00:00 AM,67.3,59.18,,,,,
156,02/15/24 01:00:00 AM,66.5,58.73,,,,,
157,02/15/24 02:00:00 AM,65.4,58.35,,,,,
158,02/15/24 03:00:00 AM,64.0,58.01,,,,,
159,02/15/24 04:00:00 AM,62.8,57.70,,,,,
160,02/15/24 05:00:00 AM,62.1,57.45,,,,,
161,02/15/24 06:00:00 AM,61.4,57.33,,,,,
162,02/15/24 07:00:00 AM,60.6,57.13,,,,,
163,02/15/24 08:00:00 AM,59.9,57.00,,,,,
164,02/15/24 09:00:00 AM,59.5,56.97,,,,,
165,02/15/24 10:00:00 AM,59.5,57.06,,,,,
166,02/15/24 11:00:00 AM,59.1,57.22,,,,,
167,02/15/24 12:00:00 PM,59.5,57.74,,,,,
168,02/15/24 01:00:00 PM,60.6,58.64,,,,,
169,02/15/24 02:00:00 PM,62.0,59.34,,,,,
170,02/15/24 03:00:00 PM,64.2,60.15,,,,,
171,02/15/24 04:00:00 PM,65.3,60.78,,,,,
172,02/15/24 05:00:00 PM,66.1,61.16,,,,,
173,02/15/24 06:00:00 PM,66.8,61.41,,,,,
174,02/15/24 07:00:00 PM,66.8,61.41,,,,,
175,02/15/24 08:00:00 PM,66.4,61.30,,,,,
176,02/15/24 09:00:00 PM,66.4,61.11,,,,,
177,02/15/24 10:00:00 PM,67.2,60.84,,,,,
178,02/15/24 11:00:00 PM,67.2,60.57,,,,,
179,02/16/24 12:00:00 AM,67.2,60.31,,,,,
180,02/16/24 01:00:00 AM,67.2,59.99,,,,,
181,02/16/24 02:00:00 AM,67.2,59.68,,,,,
182,02/16/24 03:00:00 AM,66.9,59.40,,,,,
183,02/16/24 04:00:00 AM,66.9,59.09,,,,,
184,02/16/24 05:00:00 AM,66.2,58.78,,,,,
185,02/16/24 06:00:00 AM,65.4,58.53,,,,,
186,02/16/24 07:00:00 AM,64.7,58.33,,,,,
187,02/16/24 08:00:00 AM,64.3,58.17,,,,,
188,02/16/24 09:00:00 AM,63.9,58.10,,,,,
189,02/16/24 10:00:00 AM,63.6,58.17,,,,,
190,02/16/24 11:00:00 AM,62.5,58.33,,,,,
191,02/16/24 12:00:00 PM,62.4,58.69,,,,,
192,02/16/24 01:00:00 PM,62.8,59.32,,,,,
193,02/16/24 02:00:00 PM,65.4,59.97,,,,,
194,02/16/24 03:00:00 PM,67.2,60.53,,,,,
195,02/16/24 04:00:00 PM,68.7,61.00,,,,,
196,02/16/24 05:00:00 PM,69.0,61.25,,,,,
197,02/16/24 06:00:00 PM,69.0,61.39,,,,,
198,02/16/24 07:00:00 PM,69.4,61.48,,,,,
199,02/16/24 08:00:00 PM,69.8,61.45,,,,,
200,02/16/24 09:00:00 PM,69.4,61.38,,,,,
201,02/16/24 10:00:00 PM,69.4,61.25,,,,,
202,02/16/24 11:00:00 PM,69.8,61.12,,,,,
203,02/17/24 12:00:00 AM,69.4,60.98,,,,,
204,02/17/24 01:00:00 AM,69.4,60.82,,,,,
205,02/17/24 02:00:00 AM,68.7,60.67,,,,,
206,02/17/24 03:00:00 AM,68.3,60.55,,,,,
207,02/17/24 04:00:00 AM,71.7,60.40,,,,,
208,02/17/24 05:00:00 AM,66.1,60.26,,,,,
209,02/17/24 06:00:00 AM,67.2,60.13,,,,,
210,02/17/24 07:00:00 AM,65.4,60.01,,,,,
211,02/17/24 08:00:00 AM,64.6,59.90,,,,,
212,02/17/24 09:00:00 AM,64.6,59.85,,,,,
213,02/17/24 10:00:00 AM,64.6,59.88,,,,,
214,02/17/24 11:00:00 AM,64.2,60.01,,,,,
215,02/17/24 12:00:00 PM,64.2,60.13,,,,,
216,02/17/24 01:00:00 PM,65.0,60.37,,,,,
217,02/17/24 02:00:00 PM,67.6,60.62,,,,,
218,02/17/24 03:00:00 PM,69.4,60.82,,,,,
219,02/17/24 04:00:00 PM,70.1,61.00,,,,,
220,02/17/24 05:00:00 PM,69.8,61.14,,,,,
221,02/17/24 06:00:00 PM,69.0,61.25,,,,,
222,02/17/24 07:00:00 PM,69.0,61.32,,,,,
223,02/17/24 08:00:00 PM,69.0,61.39,,,,,
224,02/17/24 09:00:00 PM,70.5,61.41,,,,,
225,02/17/24 10:00:00 PM,71.6,61.45,,,,,
226,02/17/24 11:00:00 PM,73.5,61.45,,,,,
227,02/18/24 12:00:00 AM,71.6,61.29,,,,,
228,02/18/24 01:00:00 AM,72.4,61.00,,,,,
229,02/18/24 02:00:00 AM,73.1,60.57,,,,,
230,02/18/24 03:00:00 AM,72.8,60.06,,,,,
231,02/18/24 04:00:00 AM,68.7,59.63,,,,,
232,02/18/24 05:00:00 AM,69.5,59.16,,,,,
233,02/18/24 06:00:00 AM,71.4,58.69,,,,,
234,02/18/24 07:00:00 AM,70.3,58.37,,,,,
235,02/18/24 08:00:00 AM,66.9,58.12,,,,,
236,02/18/24 09:00:00 AM,63.6,57.87,,,,,
237,02/18/24 10:00:00 AM,60.6,57.63,,,,,
238,02/18/24 11:00:00 AM,60.3,57.51,,,,,
239,02/18/24 12:00:00 PM,57.7,57.51,,,,,
240,02/18/24 01:00:00 PM,56.9,57.60,,,,,
241,02/18/24 02:00:00 PM,56.9,57.78,,,,,
242,02/18/24 03:00:00 PM,56.9,57.96,,,,,
243,02/18/24 04:00:00 PM,56.9,58.10,,,,,
244,02/18/24 05:00:00 PM,55.0,58.17,,,,,
245,02/18/24 06:00:00 PM,53.5,58.17,,,,,
246,02/18/24 07:00:00 PM,52.4,58.10,,,,,
247,02/18/24 08:00:00 PM,51.7,57.96,,,,,
248,02/18/24 09:00:00 PM,51.3,57.78,,,,,
249,02/18/24 10:00:00 PM,51.0,57.60,,,,,
250,02/18/24 11:00:00 PM,50.6,57.42,,,,,
251,02/19/24 12:00:00 AM,50.2,57.22,,,,,
252,02/19/24 01:00:00 AM,50.2,57.02,,,,,
253,02/19/24 02:00:00 AM,50.2,56.84,,,,,
254,02/19/24 03:00:00 AM,49.9,56.64,,,,,
255,02/19/24 04:00:00 AM,49.9,56.46,,,,,
256,02/19/24 05:00:00 AM,49.9,56.26,,,,,
257,02/19/24 06:00:00 AM,49.9,55.98,,,,,
258,02/19/24 07:00:00 AM,49.9,55.63,,,,,
259,02/19/24 08:00:00 AM,49.9,55.22,,,,,
260,02/19/24 09:00:00 AM,49.6,54.99,,,,,
261,02/19/24 10:00:00 AM,49.6,55.11,,,,,
262,02/19/24 11:00:00 AM,49.9,55.65,,,,,
263,02/19/24 12:00:00 PM,51.0,56.79,,,,,
264,02/19/24 01:00:00 PM,52.1,58.01,,,,,
265,02/19/24 02:00:00 PM,53.1,59.31,,,,,
266,02/19/24 03:00:00 PM,54.2,60.31,,,,,
267,02/19/24 04:00:00 PM,54.6,60.91,,,,,
268,02/19/24 05:00:00 PM,56.1,61.11,,,,,
269,02/19/24 06:00:00 PM,54.9,61.00,,,,,
270,02/19/24 07:00:00 PM,55.3,60.66,,,,,
271,02/19/24 08:00:00 PM,54.6,60.08,,,,,
272,02/19/24 09:00:00 PM,54.3,59.41,,,,,
273,02/19/24 10:00:00 PM,54.3,58.78,,,,,
274,02/19/24 11:00:00 PM,54.3,58.19,,,,,
275,02/20/24 12:00:00 AM,53.6,57.60,,,,,
276,02/20/24 01:00:00 AM,53.6,56.95,,,,,
277,02/20/24 02:00:00 AM,52.9,56.28,,,,,
278,02/20/24 03:00:00 AM,52.5,55.69,,,,,
279,02/20/24 04:00:00 AM,52.2,55.06,,,,,
280,02/20/24 05:00:00 AM,52.2,54.46,,,,,
281,02/20/24 06:00:00 AM,51.8,53.91,,,,,
282,02/20/24 07:00:00 AM,51.5,53.35,,,,,
283,02/20/24 08:00:00 AM,51.1,52.84,,,,,
284,02/20/24 09:00:00 AM,50.7,52.61,,,,,
285,02/20/24 10:00:00 AM,50.0,52.90,,,,,
286,02/20/24 11:00:00 AM,49.6,53.71,,,,,
287,02/20/24 12:00:00 PM,51.0,55.04,,,,,
288,02/20/24 01:00:00 PM,53.2,56.35,,,,,
289,02/20/24 02:00:00 PM,53.2,57.74,,,,,
290,02/20/24 03:00:00 PM,54.3,58.84,,,,,
291,02/20/24 04:00:00 PM,54.2,59.49,,,,,
292,02/20/24 05:00:00 PM,54.6,59.65,,,,,
293,02/20/24 06:00:00 PM,55.0,59.65,,,,,
294,02/20/24 07:00:00 PM,55.4,59.43,,,,,
295,02/20/24 08:00:00 PM,55.4,59.16,,,,,
296,02/20/24 09:00:00 PM,55.0,58.66,,,,,
297,02/20/24 10:00:00 PM,54.3,58.19,,,,,
298,02/20/24 11:00:00 PM,54.3,57.69,,,,,
299,02/21/24 12:00:00 AM,53.9,57.20,,,,,
300,02/21/24 01:00:00 AM,53.6,56.68,,,,,
301,02/21/24 02:00:00 AM,53.2,56.17,,,,,
302,02/21/24 03:00:00 AM,52.9,55.65,,,,,
303,02/21/24 04:00:00 AM,52.9,55.17,,,,,
304,02/21/24 05:00:00 AM,52.5,54.66,,,,,
305,02/21/24 06:00:00 AM,51.8,54.18,,,,,
306,02/21/24 07:00:00 AM,51.8,53.71,,,,,
307,02/21/24 08:00:00 AM,51.5,53.28,,,,,
308,02/21/24 09:00:00 AM,51.1,53.08,,,,,
309,02/21/24 10:00:00 AM,51.5,53.31,,,,,
310,02/21/24 11:00:00 AM,50.3,53.98,,,,,
311,02/21/24 12:00:00 PM,51.4,55.17,,,,,
312,02/21/24 01:00:00 PM,52.5,56.32,,,,,
313,02/21/24 02:00:00 PM,53.6,57.70,,,,,
314,02/21/24 03:00:00 PM,54.6,58.86,,,,,
315,02/21/24 04:00:00 PM,55.4,59.63,,,,,
316,02/21/24 05:00:00 PM,55.7,59.83,,,,,
317,02/21/24 06:00:00 PM,55.4,59.72,,,,,
318,02/21/24 07:00:00 PM,55.4,59.40,,,,,
319,02/21/24 08:00:00 PM,54.3,58.98,,,,,
320,02/21/24 09:00:00 PM,54.3,58.42,,,,,
321,02/21/24 10:00:00 PM,54.3,57.79,,,,,
322,02/21/24 11:00:00 PM,53.9,57.13,,,,,
323,02/22/24 12:00:00 AM,53.2,56.52,,,,,
324,02/22/24 01:00:00 AM,52.5,55.94,,,,,
325,02/22/24 02:00:00 AM,52.5,55.38,,,,,
326,02/22/24 03:00:00 AM,51.8,54.88,,,,,
327,02/22/24 04:00:00 AM,51.4,54.37,,,,,
328,02/22/24 05:00:00 AM,50.3,53.89,,,,,
329,02/22/24 06:00:00 AM,50.3,53.40,,,,,
330,02/22/24 07:00:00 AM,50.4,52.97,,,,,
331,02/22/24 08:00:00 AM,50.0,52.57,,,,,
332,02/22/24 09:00:00 AM,50.0,52.41,,,,,
333,02/22/24 10:00:00 AM,49.6,52.70,,,,,
334,02/22/24 11:00:00 AM,50.0,53.42,,,,,
335,02/22/24 12:00:00 PM,51.0,54.81,,,,,
336,02/22/24 01:00:00 PM,52.1,56.12,,,,,
337,02/22/24 02:00:00 PM,53.2,57.69,,,,,
338,02/22/24 03:00:00 PM,54.6,59.02,,,,,
339,02/22/24 04:00:00 PM,55.3,60.01,,,,,
340,02/22/24 05:00:00 PM,55.7,60.49,,,,,
341,02/22/24 06:00:00 PM,55.7,60.46,,,,,
342,02/22/24 07:00:00 PM,55.7,60.26,,,,,
343,02/22/24 08:00:00 PM,55.0,59.95,,,,,
344,02/22/24 09:00:00 PM,54.6,59.52,,,,,
345,02/22/24 10:00:00 PM,54.6,59.09,,,,,
346,02/22/24 11:00:00 PM,55.0,58.57,,,,,
347,02/23/24 12:00:00 AM,53.9,58.01,,,,,
348,02/23/24 01:00:00 AM,55.4,57.45,,,,,
349,02/23/24 02:00:00 AM,53.2,57.02,,,,,
350,02/23/24 03:00:00 AM,52.8,56.68,,,,,
351,02/23/24 04:00:00 AM,52.9,56.44,,,,,
352,02/23/24 05:00:00 AM,52.5,56.30,,,,,
353,02/23/24 06:00:00 AM,52.5,56.28,,,,,
354,02/23/24 07:00:00 AM,52.9,56.43,,,,,
355,02/23/24 08:00:00 AM,52.9,56.59,,,,,
356,02/23/24 09:00:00 AM,53.2,56.88,,,,,
357,02/23/24 10:00:00 AM,53.2,57.27,,,,,
358,02/23/24 11:00:00 AM,53.6,57.92,,,,,
359,02/23/24 12:00:00 PM,55.4,58.78,,,,,
360,02/23/24 01:00:00 PM,55.7,59.76,,,,,
361,02/23/24 02:00:00 PM,56.4,60.53,,,,,
362,02/23/24 03:00:00 PM,56.8,61.05,,,,,
363,02/23/24 04:00:00 PM,57.5,61.61,,,,,
364,02/23/24 05:00:00 PM,57.9,62.06,,,,,
365,02/23/24 06:00:00 PM,59.0,62.35,,,,,
366,02/23/24 07:00:00 PM,58.2,62.46,,,,,
367,02/23/24 08:00:00 PM,57.9,62.37,,,,,
368,02/23/24 09:00:00 PM,57.5,62.19,,,,,
369,02/23/24 10:00:00 PM,57.1,61.95,,,,,
370,02/23/24 11:00:00 PM,57.1,61.72,,,,,
371,02/24/24 12:00:00 AM,56.8,61.41,,,,,
372,02/24/24 01:00:00 AM,56.4,61.12,,,,,
373,02/24/24 02:00:00 AM,55.7,60.78,,,,,
374,02/24/24 03:00:00 AM,55.7,60.39,,,,,
375,02/24/24 04:00:00 AM,55.3,60.01,,,,,
376,02/24/24 05:00:00 AM,54.6,59.59,,,,,
377,02/24/24 06:00:00 AM,54.3,59.18,,,,,
378,02/24/24 07:00:00 AM,53.9,58.75,,,,,
379,02/24/24 08:00:00 AM,53.9,58.33,,,,,
380,02/24/24 09:00:00 AM,53.5,58.08,,,,,
381,02/24/24 10:00:00 AM,53.5,58.15,,,,,
382,02/24/24 11:00:00 AM,54.3,58.50,,,,,
383,02/24/24 12:00:00 PM,55.4,59.47,,,,,
384,02/24/24 01:00:00 PM,56.8,60.31,,,,,
385,02/24/24 02:00:00 PM,56.8,61.38,,,,,
386,02/24/24 03:00:00 PM,57.5,62.35,,,,,
387,02/24/24 04:00:00 PM,57.8,63.01,,,,,
388,02/24/24 05:00:00 PM,57.8,63.30,,,,,
389,02/24/24 06:00:00 PM,57.5,63.14,,,,,
390,02/24/24 07:00:00 PM,57.5,62.78,,,,,
391,02/24/24 08:00:00 PM,57.5,62.31,,,,,
392,02/24/24 09:00:00 PM,56.8,61.84,,,,,
393,02/24/24 10:00:00 PM,56.0,61.38,,,,,
394,02/24/24 11:00:00 PM,55.7,60.91,,,,,
395,02/25/24 12:00:00 AM,55.7,60.42,,,,,
396,02/25/24 01:00:00 AM,54.6,59.92,,,,,
397,02/25/24 02:00:00 AM,54.3,59.36,,,,,
398,02/25/24 03:00:00 AM,53.9,58.84,,,,,
399,02/25/24 04:00:00 AM,53.2,58.33,,,,,
400,02/25/24 05:00:00 AM,53.2,57.79,,,,,
401,02/25/24 06:00:00 AM,52.5,57.33,,,,,
402,02/25/24 07:00:00 AM,52.5,56.79,,,,,
403,02/25/24 08:00:00 AM,51.7,56.30,,,,,
404,02/25/24 09:00:00 AM,51.4,56.03,,,,,
405,02/25/24 10:00:00 AM,51.4,56.05,,,,,
406,02/25/24 11:00:00 AM,51.7,56.37,,,,,
407,02/25/24 12:00:00 PM,52.8,57.33,,,,,
408,02/25/24 01:00:00 PM,53.5,58.26,,,,,
409,02/25/24 02:00:00 PM,54.6,59.41,,,,,
410,02/25/24 03:00:00 PM,55.7,60.55,,,,,
411,02/25/24 04:00:00 PM,55.7,61.47,,,,,
412,02/25/24 05:00:00 PM,56.8,62.04,,,,,
413,02/25/24 06:00:00 PM,57.1,62.22,,,,,
414,02/25/24 07:00:00 PM,56.8,62.02,,,,,
415,02/25/24 08:00:00 PM,56.0,61.65,,,,,
416,02/25/24 09:00:00 PM,55.7,61.14,,,,,
417,02/25/24 10:00:00 PM,55.7,60.62,,,,,
418,02/25/24 11:00:00 PM,54.6,60.08,,,,,
419,02/26/24 12:00:00 AM,54.6,59.50,,,,,
420,02/26/24 01:00:00 AM,53.9,58.93,,,,,
421,02/26/24 02:00:00 AM,53.5,58.26,,,,,
422,02/26/24 03:00:00 AM,52.8,57.61,,,,,
423,02/26/24 04:00:00 AM,52.5,56.97,,,,,
424,02/26/24 05:00:00 AM,51.7,56.32,,,,,
425,02/26/24 06:00:00 AM,51.4,55.72,,,,,
426,02/26/24 07:00:00 AM,51.0,55.22,,,,,
427,02/26/24 08:00:00 AM,50.7,54.79,,,,,
428,02/26/24 09:00:00 AM,50.7,54.59,,,,,
429,02/26/24 10:00:00 AM,50.7,54.79,,,,,
430,02/26/24 11:00:00 AM,51.0,55.27,,,,,
431,02/26/24 12:00:00 PM,52.1,56.44,,,,,
432,02/26/24 01:00:00 PM,53.6,57.52,,,,,
433,02/26/24 02:00:00 PM,56.1,58.91,,,,,
434,02/26/24 03:00:00 PM,56.8,60.13,,,,,
435,02/26/24 04:00:00 PM,57.9,61.25,,,,,
436,02/26/24 05:00:00 PM,60.1,62.02,,,,,
437,02/26/24 06:00:00 PM,59.3,62.29,,,,,
438,02/26/24 07:00:00 PM,60.5,62.26,,,,,
439,02/26/24 08:00:00 PM,59.4,62.04,,,,,
440,02/26/24 09:00:00 PM,59.4,61.74,,,,,
441,02/26/24 10:00:00 PM,58.6,61.36,,,,,
442,02/26/24 11:00:00 PM,58.3,60.98,,,,,
443,02/27/24 12:00:00 AM,57.9,60.57,,,,,
444,02/27/24 01:00:00 AM,57.2,60.10,,,,,
445,02/27/24 02:00:00 AM,56.8,59.59,,,,,
446,02/27/24 03:00:00 AM,55.7,59.14,,,,,
447,02/27/24 04:00:00 AM,55.8,58.60,,,,,
448,02/27/24 05:00:00 AM,55.0,58.12,,,,,
449,02/27/24 06:00:00 AM,54.3,57.67,,,,,
