Result(NPOC),Unit,Vial,Ran
11.371704,PPM,26,3/5/2024
11.371704,PPM,26,3/5/2024
11.371704,PPM,26,3/5/2024
17.775368,PPM,27,3/5/2024
17.775368,PPM,27,3/5/2024
17.775368,PPM,27,3/5/2024
17.775368,PPM,27,3/5/2024
-0.6926788,PPM,28,3/5/2024
-0.6926788,PPM,28,3/5/2024
-0.6926788,PPM,28,3/5/2024
-0.6926788,PPM,28,3/5/2024
-0.6926788,PPM,28,3/5/2024
24.294916,PPM,29,3/5/2024
24.294916,PPM,29,3/5/2024
24.294916,PPM,29,3/5/2024
24.294916,PPM,29,3/5/2024
20.144552,PPM,30,3/5/2024
20.144552,PPM,30,3/5/2024
20.144552,PPM,30,3/5/2024
20.144552,PPM,30,3/5/2024
45.14116,PPM,31,3/5/2024
45.14116,PPM,31,3/5/2024
45.14116,PPM,31,3/5/2024
45.14116,PPM,31,3/5/2024
30.908888,PPM,32,3/5/2024
30.908888,PPM,32,3/5/2024
30.908888,PPM,32,3/5/2024
30.908888,PPM,32,3/5/2024
30.908888,PPM,32,3/5/2024
11.517632,PPM,33,3/5/2024
11.517632,PPM,33,3/5/2024
11.517632,PPM,33,3/5/2024
19.590884,PPM,34,3/5/2024
19.590884,PPM,34,3/5/2024
19.590884,PPM,34,3/5/2024
19.590884,PPM,34,3/5/2024
19.590884,PPM,34,3/5/2024
33.119268,PPM,35,3/5/2024
33.119268,PPM,35,3/5/2024
33.119268,PPM,35,3/5/2024
33.119268,PPM,35,3/5/2024
22.5867,PPM,36,3/5/2024
22.5867,PPM,36,3/5/2024
22.5867,PPM,36,3/5/2024
48.27432,PPM,37,3/5/2024
48.27432,PPM,37,3/5/2024
48.27432,PPM,37,3/5/2024
48.27432,PPM,37,3/5/2024
0.6975,PPM,38,3/5/2024
0.6975,PPM,38,3/5/2024
0.6975,PPM,38,3/5/2024
0.6975,PPM,38,3/5/2024
0.6975,PPM,38,3/5/2024
11.779444,PPM,39,3/5/2024
11.779444,PPM,39,3/5/2024
11.779444,PPM,39,3/5/2024
11.779444,PPM,39,3/5/2024
23.492312,PPM,40,3/5/2024
23.492312,PPM,40,3/5/2024
23.492312,PPM,40,3/5/2024
23.492312,PPM,40,3/5/2024
23.492312,PPM,40,3/5/2024
31.196452,PPM,41,3/5/2024
31.196452,PPM,41,3/5/2024
31.196452,PPM,41,3/5/2024
31.196452,PPM,41,3/5/2024
4.272736,PPM,42,3/5/2024
4.272736,PPM,42,3/5/2024
4.272736,PPM,42,3/5/2024
4.272736,PPM,42,3/5/2024
4.272736,PPM,42,3/5/2024
11.16998,PPM,43,3/5/2024
11.16998,PPM,43,3/5/2024
11.16998,PPM,43,3/5/2024
11.16998,PPM,43,3/5/2024
11.16998,PPM,43,3/5/2024
9.869504,PPM,44,3/5/2024
9.869504,PPM,44,3/5/2024
9.869504,PPM,44,3/5/2024
9.869504,PPM,44,3/5/2024
9.869504,PPM,44,3/5/2024
5.105384,PPM,45,3/5/2024
5.105384,PPM,45,3/5/2024
5.105384,PPM,45,3/5/2024
5.105384,PPM,45,3/5/2024
18.135896,PPM,46,3/5/2024
18.135896,PPM,46,3/5/2024
18.135896,PPM,46,3/5/2024
18.135896,PPM,46,3/5/2024
-0.2883724,PPM,47,3/5/2024
-0.2883724,PPM,47,3/5/2024
-0.2883724,PPM,47,3/5/2024
-0.2883724,PPM,47,3/5/2024
-0.2883724,PPM,47,3/5/2024
4.804944,PPM,48,3/5/2024
4.804944,PPM,48,3/5/2024
4.804944,PPM,48,3/5/2024
4.804944,PPM,48,3/5/2024
4.804944,PPM,48,3/5/2024
3.521636,PPM,49,3/5/2024
3.521636,PPM,49,3/5/2024
3.521636,PPM,49,3/5/2024
3.521636,PPM,49,3/5/2024
31.179284,PPM,50,3/5/2024
31.179284,PPM,50,3/5/2024
31.179284,PPM,50,3/5/2024
31.179284,PPM,50,3/5/2024
8.328676,PPM,51,3/5/2024
8.328676,PPM,51,3/5/2024
8.328676,PPM,51,3/5/2024
8.328676,PPM,51,3/5/2024
20.444992,PPM,52,3/5/2024
20.444992,PPM,52,3/5/2024
20.444992,PPM,52,3/5/2024
20.444992,PPM,52,3/5/2024
17.26462,PPM,53,3/5/2024
17.26462,PPM,53,3/5/2024
17.26462,PPM,53,3/5/2024
17.26462,PPM,53,3/5/2024
19.037216,PPM,54,3/5/2024
19.037216,PPM,54,3/5/2024
19.037216,PPM,54,3/5/2024
19.037216,PPM,54,3/5/2024
17.99426,PPM,55,3/5/2024
17.99426,PPM,55,3/5/2024
17.99426,PPM,55,3/5/2024
17.99426,PPM,55,3/5/2024
46.5146,PPM,56,3/5/2024
46.5146,PPM,56,3/5/2024
46.5146,PPM,56,3/5/2024
46.5146,PPM,56,3/5/2024
14.006992,PPM,57,3/5/2024
14.006992,PPM,57,3/5/2024
14.006992,PPM,57,3/5/2024
14.006992,PPM,57,3/5/2024
15.135788,PPM,58,3/5/2024
15.135788,PPM,58,3/5/2024
15.135788,PPM,58,3/5/2024
15.135788,PPM,58,3/5/2024
23.16612,PPM,59,3/5/2024
23.16612,PPM,59,3/5/2024
23.16612,PPM,59,3/5/2024
23.16612,PPM,59,3/5/2024
86.001,PPM,60,3/5/2024
86.001,PPM,60,3/5/2024
86.001,PPM,60,3/5/2024
86.001,PPM,60,3/5/2024
40.5058,PPM,61,3/5/2024
40.5058,PPM,61,3/5/2024
40.5058,PPM,61,3/5/2024
40.5058,PPM,61,3/5/2024
49.64776,PPM,62,3/5/2024
49.64776,PPM,62,3/5/2024
49.64776,PPM,62,3/5/2024
49.64776,PPM,62,3/5/2024
28.83156,PPM,63,3/5/2024
28.83156,PPM,63,3/5/2024
28.83156,PPM,63,3/5/2024
68.70424,PPM,64,3/5/2024
68.70424,PPM,64,3/5/2024
68.70424,PPM,64,3/5/2024
68.70424,PPM,64,3/5/2024
72.39536,PPM,65,3/5/2024
72.39536,PPM,65,3/5/2024
72.39536,PPM,65,3/5/2024
72.39536,PPM,65,3/5/2024
42.73764,PPM,66,3/5/2024
42.73764,PPM,66,3/5/2024
42.73764,PPM,66,3/5/2024
42.73764,PPM,66,3/5/2024
14.869684,PPM,67,3/5/2024
14.869684,PPM,67,3/5/2024
14.869684,PPM,67,3/5/2024
14.869684,PPM,67,3/5/2024
39.56156,PPM,68,3/5/2024
39.56156,PPM,68,3/5/2024
39.56156,PPM,68,3/5/2024
46.12832,PPM,69,3/5/2024
46.12832,PPM,69,3/5/2024
46.12832,PPM,69,3/5/2024
46.12832,PPM,69,3/5/2024
39.862,PPM,70,3/5/2024
39.862,PPM,70,3/5/2024
39.862,PPM,70,3/5/2024
39.862,PPM,70,3/5/2024
18.002844,PPM,71,3/5/2024
18.002844,PPM,71,3/5/2024
18.002844,PPM,71,3/5/2024
18.002844,PPM,71,3/5/2024
27.363696,PPM,72,3/5/2024
27.363696,PPM,72,3/5/2024
27.363696,PPM,72,3/5/2024
33.591388,PPM,73,3/5/2024
33.591388,PPM,73,3/5/2024
33.591388,PPM,73,3/5/2024
33.591388,PPM,73,3/5/2024
41.40712,PPM,74,3/5/2024
41.40712,PPM,74,3/5/2024
41.40712,PPM,74,3/5/2024
41.40712,PPM,74,3/5/2024
30.153496,PPM,75,3/5/2024
30.153496,PPM,75,3/5/2024
30.153496,PPM,75,3/5/2024
38.61732,PPM,76,3/5/2024
38.61732,PPM,76,3/5/2024
38.61732,PPM,76,3/5/2024
38.61732,PPM,76,3/5/2024
13.303104,PPM,77,3/5/2024
13.303104,PPM,77,3/5/2024
13.303104,PPM,77,3/5/2024
13.303104,PPM,77,3/5/2024
17.410548,PPM,78,3/5/2024
17.410548,PPM,78,3/5/2024
17.410548,PPM,78,3/5/2024
17.410548,PPM,78,3/5/2024
21.70684,PPM,79,3/5/2024
21.70684,PPM,79,3/5/2024
21.70684,,79,3/5/2024
